method,alpha,total_rejections,fdp,recall,threshold
score_oracle,0.05,708.7,0.04950984377184811,0.19231159954870866,0.6954660236835479
score_oracle,0.1,1105.85,0.09969884756019827,0.2843062553145179,0.5849889904260636
score_oracle,0.15,1454.95,0.149727544983603,0.35339533816175883,0.4999218940734863
score_oracle,0.2,1772.65,0.1998433289784709,0.4052158618636216,0.4413948282599449
