method,alpha,total_rejections,fdp,recall
betting,0.05,459.55,0.04924283620939761,0.12474799452871425
betting,0.1,615.1,0.06444612612597876,0.16433210587559713
betting,0.15,731.4,0.0859449951484299,0.19094392175783464
betting,0.2,822.95,0.10140877830020327,0.2112235165586009
binary,0.05,7.25,0.009310344827586208,0.0016329919734292832
binary,0.1,8.7,0.013218390804597701,0.0017713811237199003
binary,0.15,10.8,0.01898148148148148,0.0018544146138942705
binary,0.2,59.45,0.12665619694154862,0.00832531074869
pvalue_bh,0.05,1267.95,0.178606217281863,0.2968434552409505
pvalue_bh,0.1,1808.0,0.2706959750112924,0.3733740134184645
pvalue_bh,0.15,2314.15,0.3497984217224175,0.4257039673713724
pvalue_bh,0.2,2860.75,0.4234440584660567,0.4656422154356414
