alpha,score_threshold,k_max,template,cal_null,sum_phi_cal,phi_max,num_test_families,num_test_candidates,gated_tp_total,total_rejections,fp,tp,fdp,gated_recall,full_recall,frontier_supported_family_frac,frontier_T1_median
0.1,0.4,20,all,91.05,861.1608860205167,12.844148440659634,140.45,144.45,53.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104.89332892259662
0.1,0.4,30,all,106.85,966.0572099042304,12.844148440659634,164.05,168.9,60.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,98.58364643115087
0.1,0.4,all,all,134.05,1148.4443384619778,12.844148440659634,194.95,200.15,63.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,91.69257084170378
0.1,0.45,20,all,69.1,753.257797784881,12.844148440659634,113.35,114.2,45.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,125.24168210778218
0.1,0.45,30,all,78.05,824.2281720672576,12.844148440659634,126.7,127.9,49.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119.25195942382716
0.1,0.45,all,all,91.5,938.8453490896261,12.844148440659634,140.9,142.1,50.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,113.61623501096798
0.1,0.5,20,all,52.142857142857146,671.7061259829414,12.88742859735645,85.85714285714286,85.85714285714286,39.714285714285715,0.0,0.0,0.0,0.0,0.0,0.0,0.0,155.799539498918
0.1,0.5,30,all,55.285714285714285,712.0254791399544,12.88742859735645,89.85714285714286,89.85714285714286,41.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,153.96486984635524
0.1,0.5,all,all,56.23076923076923,726.5574392494289,12.925772737876716,94.53846153846153,94.53846153846153,41.46153846153846,0.0,0.0,0.0,0.0,0.0,0.0,0.0,154.107305446826
0.1,none,5,all,101.8,304.3241122975766,12.844148440659634,37.25,131.55,36.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,175.47641494598795
0.1,none,10,all,463.9,955.9132478500238,12.844148440659634,90.55,553.1,88.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.01269377084515
0.1,none,20,all,1566.2,2377.7798543086983,12.844148440659634,170.85,1755.45,202.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,162.63410929053322
