seed,alpha,score_threshold,k_max,template,cal_null,sum_phi_cal,phi_max,num_test_families,num_test_candidates,gated_tp_total,full_tp_total,num_rejected_families,total_rejections,fp,tp,fdp,mean_family_fdp,gated_recall,full_recall,frontier_supported_family_frac,frontier_T1_median,frontier_T1_mean
0,0.05,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,339.35150236460163,805.4681055009171
0,0.1,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,166.07778714325988,340.59012233396317
0,0.15,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,8,8,2,6,0.25,0.006688963210702341,0.013761467889908258,0.013761467889908258,0.026755852842809364,109.94142434478465,218.2593990747072
0,0.2,none,all,all,8186,7832.0330560442035,13.023583131882889,299,9556,436,436,8,8,2,6,0.25,0.006688963210702341,0.013761467889908258,0.013761467889908258,0.026755852842809364,82.16771288123392,160.733533929355
0,0.05,none,5,all,97,309.8510738128907,13.023583131882889,32,115,26,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,489.238537599301,804.3329405667519
0,0.1,none,5,all,97,309.8510738128907,13.023583131882889,32,115,26,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,213.69039573302805,195.36792490262434
0,0.15,none,5,all,97,309.8510738128907,13.023583131882889,32,115,26,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,115.83217712631429,104.35933935103341
0,0.2,none,5,all,97,309.8510738128907,13.023583131882889,32,115,26,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,79.4489932853566,71.3910838165104
0,0.05,none,10,all,343,694.7241431998748,13.023583131882889,92,582,81,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,476.77147082344356,459.3837656682144
0,0.1,none,10,all,343,694.7241431998748,13.023583131882889,92,582,81,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,177.48427016055197,162.60976525368315
0,0.15,none,10,all,343,694.7241431998748,13.023583131882889,92,582,81,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,109.03742157845569,99.23699557413691
0,0.2,none,10,all,343,694.7241431998748,13.023583131882889,92,582,81,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,78.69043693202465,71.44597146753414
0,0.05,none,20,all,1542,2173.0921247101005,13.023583131882889,168,1694,208,436,0,0,0,0,0.0,0.0,0.0,0.0,0.0,323.61759117052867,340.2648432551755
