prompt,sum_phi,n_null,min_null
pantyhose,124.34481741494676,164,100
clementine,150.76081889574505,155,100
tequila,127.1113004917952,145,100
baseball_cap,84.78099492569068,144,100
griddle,158.9500325248015,137,100
hinge,84.1042234633638,131,100
milestone,88.20752031861639,120,100
streetlight,111.8935803559633,119,100
strawberry,75.8223025602151,114,100
turnip,93.07035123121119,113,100
person,82.10343498475387,112,100
drone,104.64004050263789,109,100
file_(tool),70.47420569767479,108,100
wooden_leg,58.84033652696494,103,100
bait,64.56939712653822,94,100
paperweight,80.96993386369599,89,100
date_(fruit),69.44788659683773,89,100
brass_plaque,65.72972753268223,88,100
bubble_gum,55.3443094283763,87,100
spear,70.00992880387587,84,100
button,51.48723919875453,84,100
log,59.910498665745415,83,100
bolo_tie,77.01937005610577,81,100
shower_cap,80.38549577598546,80,100
necktie,58.9225490933145,80,100
radar,87.49026827692454,78,100
gag,68.34450485120733,77,100
sparkler_(fireworks),57.59526956902097,76,100
paperback_book,52.47454960575794,76,100
rag_doll,102.63096402831681,75,100
jelly_bean,63.19286307298252,75,100
pistol,49.2575052901211,75,100
plume,44.20701630508002,75,100
fudge,65.91680136551096,74,100
soup_bowl,65.43250723451683,74,100
salad_plate,61.33890764997292,74,100
canteen,95.1004803956426,72,100
steering_wheel,54.91280514036868,71,100
cellular_telephone,47.54113190133388,70,100
pencil_sharpener,70.72352039893632,69,100
car_battery,56.44428700744458,69,100
street_sign,50.09726608299057,69,100
ax,48.11348338554238,69,100
shoe,111.649500130191,68,100
lamb-chop,66.09992491424458,68,100
broccoli,65.8760976786428,68,100
water_gun,56.41668465078408,68,100
coil,49.27076003789554,68,100
fork,45.86676191920998,66,100
dropper,52.80133698492207,65,100
pinwheel,48.82502658460542,65,100
Bible,43.05187527155723,65,100
pencil_box,52.2379005273291,63,100
earplug,43.75226066740487,63,100
bench,33.20346706355937,61,100
carnation,56.453860695036546,59,100
elephant,70.73439768149011,58,100
dollhouse,116.00241854546317,57,100
gorilla,60.89737252868429,57,100
hardback_book,42.190474466092276,57,100
stew,48.667335677097675,56,100
