method,alpha,total_rejections,fdp,recall
betting,0.05,82.85,0.04114036449594425,0.14934479503848416
betting,0.1,119.25,0.06635949508235488,0.20809578878102092
betting,0.15,150.25,0.08874914356431982,0.25557668542072637
betting,0.2,206.15,0.16185423147502243,0.3211706882265218
binary,0.05,0.0,0.0,0.0
binary,0.1,10.4,0.011778846153846154,0.01778523489932886
binary,0.15,0.0,0.0,0.0
binary,0.2,36.45,0.03522948803078285,0.05160656304122806
pvalue_bh,0.05,242.85,0.19966161397758425,0.36415348231013217
pvalue_bh,0.1,242.85,0.19966161397758425,0.36415348231013217
pvalue_bh,0.15,242.85,0.19966161397758425,0.36415348231013217
pvalue_bh,0.2,242.85,0.19966161397758425,0.36415348231013217
