alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method,stratum_fine
0.05,61,14,15,0,15,0.0,0.20270270270270271,0.0,0.4,189,19,betting,3<=K<=5
0.05,87,29,31,1,30,0.03225806451612903,0.4225352112676056,0.011494252873563218,0.4,75,19,betting,K<=2
0.05,45,21,30,2,28,0.06666666666666667,0.345679012345679,0.044444444444444446,0.4,292,19,betting,6<=K<=10
0.05,21,5,23,9,14,0.391304347826087,0.125,0.07653061224489796,0.4,628,19,betting,21<=K<=50
0.05,29,10,14,1,13,0.07142857142857142,0.12871287128712872,0.034482758620689655,0.4,365,19,betting,11<=K<=20
0.05,6,0,0,0,0,0.0,0.0,0.0,0.4,455,19,betting,K>50
0.1,61,18,20,0,20,0.0,0.2702702702702703,0.0,0.4,189,19,betting,3<=K<=5
0.1,87,31,33,1,32,0.030303030303030304,0.4507042253521127,0.011494252873563218,0.4,75,19,betting,K<=2
0.1,45,23,32,3,29,0.09375,0.35802469135802467,0.06666666666666667,0.4,292,19,betting,6<=K<=10
0.1,21,6,27,11,16,0.4074074074074074,0.14285714285714285,0.07804232804232804,0.4,628,19,betting,21<=K<=50
0.1,29,15,20,2,18,0.1,0.1782178217821782,0.05172413793103448,0.4,365,19,betting,11<=K<=20
0.1,6,0,0,0,0,0.0,0.0,0.0,0.4,455,19,betting,K>50
0.15,61,21,23,1,22,0.043478260869565216,0.2972972972972973,0.01639344262295082,0.4,189,19,betting,3<=K<=5
0.15,87,33,36,2,34,0.05555555555555555,0.4788732394366197,0.017241379310344827,0.4,75,19,betting,K<=2
0.15,45,26,39,5,34,0.1282051282051282,0.41975308641975306,0.1,0.4,292,19,betting,6<=K<=10
0.15,21,9,33,11,22,0.3333333333333333,0.19642857142857142,0.07804232804232804,0.4,628,19,betting,21<=K<=50
0.15,29,17,28,6,22,0.21428571428571427,0.21782178217821782,0.10344827586206895,0.4,365,19,betting,11<=K<=20
0.15,6,0,0,0,0,0.0,0.0,0.0,0.4,455,19,betting,K>50
0.2,61,32,37,3,34,0.08108108108108109,0.4594594594594595,0.03278688524590164,0.4,189,19,betting,3<=K<=5
0.2,87,41,44,3,41,0.06818181818181818,0.5774647887323944,0.028735632183908046,0.4,75,19,betting,K<=2
0.2,45,30,47,7,40,0.14893617021276595,0.49382716049382713,0.11851851851851851,0.4,292,19,betting,6<=K<=10
0.2,21,13,57,18,39,0.3157894736842105,0.3482142857142857,0.15309901738473167,0.4,628,19,betting,21<=K<=50
0.2,29,21,44,10,34,0.22727272727272727,0.33663366336633666,0.15804597701149425,0.4,365,19,betting,11<=K<=20
0.2,6,4,25,7,18,0.28,0.26865671641791045,0.22916666666666666,0.4,455,19,betting,K>50
