seed,score_floor,n_tp_surviving,n_tp_reachable,n_tp_rejected,n_total_rejected,recall_ceiling,recall_actual,fdp,efficiency,total_tp_all
0,0.0,533,159,186,203,0.29831144465290804,0.34896810506566606,0.08374384236453201,1.1698113207547172,533
0,0.05,533,159,186,203,0.29831144465290804,0.34896810506566606,0.08374384236453201,1.1698113207547172,533
0,0.1,422,198,217,246,0.3714821763602251,0.4071294559099437,0.11788617886178862,1.095959595959596,533
0,0.15,384,216,229,266,0.4052532833020638,0.42964352720450283,0.13909774436090225,1.0601851851851853,533
0,0.2,364,221,235,276,0.4146341463414634,0.44090056285178236,0.14855072463768115,1.0633484162895928,533
0,0.25,343,224,242,283,0.4202626641651032,0.4540337711069418,0.14487632508833923,1.0803571428571428,533
0,0.3,332,225,244,286,0.42213883677298314,0.45778611632270166,0.14685314685314685,1.0844444444444443,533
0,0.35,313,229,246,289,0.42964352720450283,0.46153846153846156,0.14878892733564014,1.074235807860262,533
0,0.4,306,230,246,289,0.43151969981238275,0.46153846153846156,0.14878892733564014,1.0695652173913044,533
0,0.5,275,235,247,290,0.44090056285178236,0.4634146341463415,0.1482758620689655,1.0510638297872341,533
1,0.0,544,128,171,180,0.23529411764705882,0.31433823529411764,0.05,1.3359375,544
1,0.05,544,128,171,180,0.23529411764705882,0.31433823529411764,0.05,1.3359375,544
1,0.1,430,164,201,219,0.3014705882352941,0.3694852941176471,0.0821917808219178,1.2256097560975612,544
1,0.15,392,183,217,238,0.33639705882352944,0.39889705882352944,0.08823529411764706,1.185792349726776,544
1,0.2,369,193,219,240,0.3547794117647059,0.4025735294117647,0.0875,1.1347150259067358,544
1,0.25,348,194,221,243,0.35661764705882354,0.40625,0.09053497942386832,1.1391752577319587,544
1,0.3,334,197,226,249,0.36213235294117646,0.41544117647058826,0.09236947791164658,1.1472081218274113,544
1,0.35,322,199,227,252,0.36580882352941174,0.4172794117647059,0.0992063492063492,1.1407035175879399,544
1,0.4,308,201,228,253,0.3694852941176471,0.41911764705882354,0.09881422924901186,1.1343283582089552,544
1,0.5,265,207,233,258,0.3805147058823529,0.42830882352941174,0.09689922480620156,1.1256038647342994,544
2,0.0,566,139,200,211,0.24558303886925795,0.35335689045936397,0.052132701421800945,1.4388489208633095,566
2,0.05,566,139,200,211,0.24558303886925795,0.35335689045936397,0.052132701421800945,1.4388489208633095,566
2,0.1,454,196,236,249,0.3462897526501767,0.4169611307420495,0.05220883534136546,1.2040816326530612,566
2,0.15,418,227,250,272,0.4010600706713781,0.4416961130742049,0.08088235294117647,1.1013215859030836,566
2,0.2,399,232,264,286,0.4098939929328622,0.4664310954063604,0.07692307692307693,1.1379310344827585,566
2,0.25,381,240,276,299,0.42402826855123676,0.4876325088339223,0.07692307692307693,1.15,566
2,0.3,374,242,282,308,0.4275618374558304,0.49823321554770317,0.08441558441558442,1.1652892561983472,566
2,0.35,360,248,285,311,0.4381625441696113,0.5035335689045937,0.08360128617363344,1.1491935483870968,566
2,0.4,347,249,287,313,0.43992932862190814,0.5070671378091873,0.08306709265175719,1.1526104417670684,566
2,0.5,313,254,295,325,0.44876325088339225,0.5212014134275619,0.09230769230769231,1.1614173228346456,566
3,0.0,577,159,203,218,0.2755632582322357,0.35181975736568455,0.06880733944954129,1.2767295597484276,577
3,0.05,577,159,203,218,0.2755632582322357,0.35181975736568455,0.06880733944954129,1.2767295597484276,577
3,0.1,447,202,240,275,0.35008665511265163,0.41594454072790293,0.12727272727272726,1.188118811881188,577
3,0.15,403,218,253,304,0.3778162911611785,0.43847487001733104,0.16776315789473684,1.1605504587155964,577
3,0.2,390,226,272,326,0.39168110918544197,0.4714038128249567,0.1656441717791411,1.2035398230088494,577
3,0.25,373,235,280,349,0.4072790294627383,0.4852686308492201,0.1977077363896848,1.1914893617021276,577
3,0.3,358,241,287,359,0.41767764298093585,0.49740034662045063,0.20055710306406685,1.190871369294606,577
3,0.35,347,244,293,368,0.42287694974003465,0.5077989601386482,0.20380434782608695,1.2008196721311477,577
3,0.4,323,257,302,378,0.44540727902946275,0.5233968804159446,0.20105820105820105,1.1750972762645915,577
3,0.5,292,256,292,351,0.4436741767764298,0.5060658578856152,0.16809116809116809,1.140625,577
4,0.0,543,122,168,175,0.22467771639042358,0.30939226519337015,0.04,1.3770491803278688,543
4,0.05,543,122,168,175,0.22467771639042358,0.30939226519337015,0.04,1.3770491803278688,543
4,0.1,437,157,201,223,0.289134438305709,0.3701657458563536,0.09865470852017937,1.2802547770700639,543
4,0.15,400,170,229,256,0.31307550644567217,0.42173112338858193,0.10546875,1.3470588235294119,543
4,0.2,385,178,240,268,0.3278084714548803,0.4419889502762431,0.1044776119402985,1.348314606741573,543
4,0.25,364,183,250,279,0.3370165745856354,0.4604051565377532,0.1039426523297491,1.366120218579235,543
4,0.3,355,192,262,291,0.35359116022099446,0.48250460405156537,0.09965635738831616,1.3645833333333333,543
4,0.35,342,197,264,294,0.36279926335174956,0.4861878453038674,0.10204081632653061,1.3401015228426394,543
4,0.4,329,199,264,294,0.3664825046040516,0.4861878453038674,0.10204081632653061,1.3266331658291457,543
4,0.5,294,205,266,297,0.3775322283609576,0.48987108655616945,0.10437710437710437,1.2975609756097561,543
5,0.0,556,142,166,182,0.25539568345323743,0.29856115107913667,0.08791208791208792,1.169014084507042,556
5,0.05,556,142,166,182,0.25539568345323743,0.29856115107913667,0.08791208791208792,1.169014084507042,556
5,0.1,441,177,208,245,0.3183453237410072,0.37410071942446044,0.1510204081632653,1.1751412429378532,556
5,0.15,395,201,226,271,0.36151079136690645,0.4064748201438849,0.16605166051660517,1.1243781094527365,556
5,0.2,371,211,235,281,0.37949640287769787,0.4226618705035971,0.16370106761565836,1.1137440758293837,556
5,0.25,347,214,241,287,0.38489208633093525,0.43345323741007197,0.1602787456445993,1.1261682242990656,556
5,0.3,333,222,244,291,0.39928057553956836,0.43884892086330934,0.16151202749140894,1.099099099099099,556
5,0.35,323,223,244,291,0.4010791366906475,0.43884892086330934,0.16151202749140894,1.094170403587444,556
5,0.4,308,225,246,293,0.40467625899280574,0.44244604316546765,0.16040955631399317,1.0933333333333335,556
5,0.5,277,229,247,294,0.4118705035971223,0.4442446043165468,0.1598639455782313,1.0786026200873362,556
6,0.0,614,137,186,196,0.22312703583061888,0.30293159609120524,0.05102040816326531,1.3576642335766425,614
6,0.05,614,137,186,196,0.22312703583061888,0.30293159609120524,0.05102040816326531,1.3576642335766425,614
6,0.1,496,181,234,259,0.2947882736156352,0.3811074918566775,0.09652509652509653,1.292817679558011,614
6,0.15,445,218,262,297,0.3550488599348534,0.42671009771986973,0.11784511784511785,1.2018348623853212,614
6,0.2,425,228,271,307,0.3713355048859935,0.44136807817589574,0.11726384364820847,1.1885964912280702,614
6,0.25,394,236,286,322,0.38436482084690554,0.46579804560260585,0.11180124223602485,1.211864406779661,614
6,0.3,383,244,292,328,0.3973941368078176,0.4755700325732899,0.10975609756097561,1.1967213114754098,614
6,0.35,371,251,293,329,0.40879478827361565,0.4771986970684039,0.1094224924012158,1.1673306772908365,614
6,0.4,361,253,294,330,0.41205211726384366,0.4788273615635179,0.10909090909090909,1.1620553359683794,614
