seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,pass,config
0,0.05,pertemplate,92,0.010869565217391304,0.046169457128361235,0.000835421888053467,1,isotonic_clip500
0,0.1,pertemplate,125,0.032,0.061390157280568236,0.003341687552213868,1,isotonic_clip500
0,0.15,pertemplate,144,0.0625,0.0684931506849315,0.007518796992481203,1,isotonic_clip500
0,0.2,pertemplate,164,0.10365853658536585,0.0745814307458143,0.014202172096908938,1,isotonic_clip500
0,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
0,0.1,global,3,0.3333333333333333,0.0010147133434804667,0.000835421888053467,0,isotonic_clip500
0,0.15,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,0,isotonic_clip500
0,0.2,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,0,isotonic_clip500
1,0.05,pertemplate,65,0.046153846153846156,0.04369274136715997,0.002506265664160401,1,isotonic_clip500
1,0.1,pertemplate,85,0.07058823529411765,0.05567300916138125,0.005012531328320802,1,isotonic_clip500
1,0.15,pertemplate,104,0.09615384615384616,0.06624383368569416,0.00835421888053467,1,isotonic_clip500
1,0.2,pertemplate,126,0.14285714285714285,0.07610993657505286,0.015037593984962405,1,isotonic_clip500
1,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
1,0.1,global,1,1.0,0.0,0.000835421888053467,0,isotonic_clip500
1,0.15,global,28,0.35714285714285715,0.012684989429175475,0.00835421888053467,0,isotonic_clip500
1,0.2,global,59,0.3389830508474576,0.02748414376321353,0.01670843776106934,0,isotonic_clip500
2,0.05,pertemplate,83,0.0,0.042346938775510205,0.0,1,isotonic_clip500
2,0.1,pertemplate,96,0.010416666666666666,0.04846938775510204,0.000835421888053467,1,isotonic_clip500
2,0.15,pertemplate,111,0.018018018018018018,0.055612244897959184,0.001670843776106934,1,isotonic_clip500
2,0.2,pertemplate,130,0.06923076923076923,0.06173469387755102,0.007518796992481203,1,isotonic_clip500
2,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
2,0.1,global,3,0.0,0.001530612244897959,0.0,1,isotonic_clip500
2,0.15,global,32,0.1875,0.013265306122448979,0.005012531328320802,0,isotonic_clip500
2,0.2,global,32,0.1875,0.013265306122448979,0.005012531328320802,1,isotonic_clip500
3,0.05,pertemplate,82,0.04878048780487805,0.05094709340300457,0.003341687552213868,1,isotonic_clip500
3,0.1,pertemplate,105,0.047619047619047616,0.06531678641410843,0.004177109440267335,1,isotonic_clip500
3,0.15,pertemplate,120,0.075,0.07250163291966036,0.007518796992481203,1,isotonic_clip500
3,0.2,pertemplate,134,0.11194029850746269,0.07772697583278902,0.012531328320802004,1,isotonic_clip500
3,0.05,global,0,0.0,0.0,0.0,1,isotonic_clip500
3,0.1,global,4,0.25,0.001959503592423253,0.000835421888053467,0,isotonic_clip500
