method,alpha,total_rejections,fdp,recall
betting,0.05,78.0,0.034572737613671314,0.14155787233485953
betting,0.1,108.25,0.05751963341745949,0.19122570026644845
betting,0.15,136.4,0.07777866361715122,0.23536539568924386
betting,0.2,180.15,0.1224071188844436,0.29368228553112863
binary,0.05,0.0,0.0,0.0
binary,0.1,15.8,0.014715189873417722,0.024944071588366888
binary,0.15,0.0,0.0,0.0
binary,0.2,56.95,0.04847244784237139,0.07107933728884999
pvalue_bh,0.05,327.8,0.25961258273303944,0.4483596496618131
pvalue_bh,0.1,369.35,0.2921268445053488,0.48913344498573463
pvalue_bh,0.15,369.35,0.2921268445053488,0.48913344498573463
pvalue_bh,0.2,369.35,0.2921268445053488,0.48913344498573463
