dataset,n_full,n_clean,fam_ratio,image_retention,cat_retention,candidates_per_family_full_mean,candidates_per_family_clean_mean,KS_cand_per_fam_all,KS_cand_per_fam_all_p,KS_cand_per_fam_present,KS_cand_per_fam_present_p,KL_cat_clean||full,Wasserstein_cat_share,Top50_cat_Jaccard,pct_absent_full,pct_absent_clean
LVIS_GDino,2992,929,0.3105,0.912,0.5054,22.01,17.37,0.1703,1.92e-18,0.0457,0.264,1.0622,0.001089,0.2048,0.6684,0.0205
OI_GDino,2784,784,0.2816,0.784,0.3508,14.14,13.67,0.0537,0.056,0.0,1.0,0.8138,0.001622,0.5873,0.7184,0.0
