alpha,total_rejections,fp,tp,fdp,recall,threshold,seed,method
0.05,115,5,110,0.043478260869565216,0.1732283464566929,0.7574806213378906,0,score_oracle
0.1,171,17,154,0.09941520467836257,0.24251968503937008,0.6884703040122986,0,score_oracle
0.15,250,37,213,0.148,0.3354330708661417,0.5478846430778503,0,score_oracle
0.2,327,65,262,0.19877675840978593,0.4125984251968504,0.4428799152374267,0,score_oracle
0.05,195,9,186,0.046153846153846156,0.24093264248704663,0.6274132132530212,1,score_oracle
0.1,271,27,244,0.0996309963099631,0.3160621761658031,0.521160900592804,1,score_oracle
0.15,316,47,269,0.14873417721518986,0.3484455958549223,0.4814486503601074,1,score_oracle
0.2,385,77,308,0.2,0.39896373056994816,0.4190156459808349,1,score_oracle
0.05,145,7,138,0.04827586206896552,0.19827586206896552,0.7024151086807251,2,score_oracle
0.1,264,26,238,0.09848484848484848,0.34195402298850575,0.5305459499359131,2,score_oracle
0.15,307,46,261,0.1498371335504886,0.375,0.4917833805084228,2,score_oracle
0.2,361,72,289,0.1994459833795014,0.41522988505747127,0.4479823708534241,2,score_oracle
0.05,162,8,154,0.04938271604938271,0.2219020172910663,0.6995660066604614,3,score_oracle
0.1,266,26,240,0.09774436090225563,0.345821325648415,0.5396183729171753,3,score_oracle
0.15,324,48,276,0.14814814814814814,0.3976945244956772,0.4559673368930816,3,score_oracle
0.2,402,80,322,0.19900497512437812,0.46397694524495675,0.3855726420879364,3,score_oracle
0.05,146,7,139,0.04794520547945205,0.23924268502581755,0.6680585741996765,4,score_oracle
0.1,207,20,187,0.0966183574879227,0.3218588640275387,0.5567792057991028,4,score_oracle
0.15,245,36,209,0.1469387755102041,0.35972461273666095,0.4862808883190155,4,score_oracle
0.2,330,66,264,0.2,0.45438898450946646,0.3744071125984192,4,score_oracle
