method,alpha,total_rejections,fdp,recall
betting,0.05,145.1,0.010693168279151297,0.36848288261776013
betting,0.1,161.35,0.013372580579066262,0.40892590229367604
betting,0.15,167.1,0.013618606408196182,0.4234051690341755
betting,0.2,170.25,0.014658550631138417,0.43069091414291333
binary,0.05,6.15,0.0008130081300813009,0.015473145780051151
binary,0.1,22.75,0.0069144679893554245,0.052700073046570275
binary,0.15,8.5,0.002352941176470588,0.02071611253196931
binary,0.2,35.65,0.017733615725540927,0.07956489020830622
pvalue_bh,0.05,228.5,0.03402353556100628,0.5670492541145461
pvalue_bh,0.1,278.55,0.054714680664907867,0.6764788113420467
pvalue_bh,0.15,310.75,0.07417038118473776,0.7387945707410863
pvalue_bh,0.2,331.55,0.08895389550198621,0.7752964584967703
