method,alpha,total_rejections,fdp,recall
betting,0.05,21.2427077270989,0.008635646852627469,0.04822431441375114
betting,0.1,19.076783906374953,0.011186897671249836,0.04322452369677063
betting,0.15,22.913797268527052,0.011086261945178867,0.05368884582331551
betting,0.2,28.057975693196397,0.01457741674009491,0.06547019192622025
binary,0.05,27.503636123247414,0.0036358828902435607,0.06919801157991677
binary,0.1,55.59143724294994,0.017809130321431162,0.12888771217985387
binary,0.15,38.013155617496416,0.010522672835293128,0.0926452717020373
binary,0.2,73.19352502279936,0.036738097689916906,0.16369656970247873
pvalue_bh,0.05,25.714014200738653,0.01692000667158117,0.054693939329973434
pvalue_bh,0.1,23.4935041414027,0.02001161091094417,0.043173007783535985
pvalue_bh,0.15,23.253466068750402,0.023244821643649084,0.031846203372167134
pvalue_bh,0.2,26.35281868475513,0.022769711907687916,0.03119554394191068
