seed,mean_loo_evalue,std_loo_evalue,max_loo_evalue,p95_loo_evalue,p99_loo_evalue,mondrian
0,1.0,9.591017572147507,92.99380881507408,0.00040053820566422017,20.459668924654927,none
1,0.9999999999999998,12.628143201267074,160.48499962129662,0.0004622915396067852,0.0018394337049617464,none
2,1.0,7.466282476495172,56.74768695568118,0.00020358232695350626,56.74768695568118,none
3,1.0,15.872378806549438,252.96620216617828,0.0005910999172516292,0.0017634480864673595,none
4,1.0,11.246232830439242,127.48887591945869,0.0004584592579781041,0.0020486579413650143,none
5,0.9999999999999997,15.745917105728596,248.96695043978474,0.0002608798447138754,0.003689586375239095,none
6,1.0000000000000002,2.185669078537221,23.275888343670776,3.8793147239451287,7.112076993899404,none
7,1.0000000000000002,2.7737805838029326,21.54231362273105,2.937588221281507,18.634101283662247,none
8,0.9999999999999998,8.90639899323261,80.32863803038204,0.00037274447281171187,48.1976514112803,none
9,1.0,17.201699862836904,296.94923460350736,0.0005843527509791001,0.004480037757506434,none
10,1.0000000000000002,10.76956070064129,116.99171853604057,0.00039934673154129235,0.0008785628093908431,none
11,1.0000000000000002,15.617719931076225,244.95658392331842,0.0008214620100453549,0.0037787252462086317,none
12,1.0000000000000002,6.441929311864445,42.499226621576796,0.0001143007429411783,42.499226621576796,none
13,1.0000000000000002,14.557803102317132,212.9648125602355,0.000628669105900328,0.0033783620176887,none
14,1.0000000000000002,15.097540919139316,228.96786856071787,0.0005671949845365331,0.0032010659472119308,none
15,0.9999999999999999,11.268385384694863,127.98825401294793,0.0004246133920687071,0.002038144281929794,none
16,1.0000000000000002,10.931012338473815,120.49351519040992,0.00015499335768757913,0.000852463467281685,none
17,0.9999999999999999,10.699370356889107,115.48826237638013,0.0005271675752879869,0.0017321220330890998,none
18,1.0,11.312813378868482,128.98987285521477,0.0003164884693138441,0.0013351857299177868,none
19,1.0,2.4981312629591086,29.744432531147485,3.879708591019236,9.483732111380355,none
