bin,left,right,null_count,tp_count,p0,p1,raw_phi,regularized_raw_phi,phi
0,0.001002095057629,0.0011928993684704836,157,79,0.010810438614611307,0.018140068886337544,1.678014142906243,1.678014142906243,1.678014142906243
1,0.0011928993684704836,0.0013956345792393674,159,77,0.01094815120842801,0.017680826636050518,1.614960032926803,1.614960032926803,1.614960032926803
2,0.0013956345792393674,0.0016186631284653675,170,66,0.011705570474419886,0.01515499425947187,1.2946822448841764,1.2946822448841764,1.2946822448841764
3,0.0016186631284653675,0.001899845188017875,177,59,0.012187564552778352,0.013547646383467279,1.1115958668197474,1.1115958668197474,1.1115958668197474
4,0.001899845188017875,0.0022459913307101872,168,68,0.011567857880603181,0.015614236509758898,1.3497949811382648,1.3497949811382648,1.3497949811382648
5,0.0022459913307101872,0.0025860766298137477,165,71,0.011361288989878125,0.016303099885189437,1.434969209894583,1.434969209894583,1.434969209894583
6,0.0025860766298137477,0.00302356503379993,173,63,0.011912139365144942,0.014466130884041332,1.214402420976487,1.214402420976487,1.214402420976487
7,0.00302356503379993,0.00345409314613788,181,55,0.01246298974041176,0.012629161882893225,1.0133332487583333,1.0133332487583333,1.0133332487583333
8,0.00345409314613788,0.00392620363272719,156,80,0.010741582317702954,0.018369690011481057,1.710147487414996,1.710147487414996,1.710147487414996
9,0.00392620363272719,0.004407739732414425,177,59,0.012187564552778352,0.013547646383467279,1.1115958668197474,1.1115958668197474,1.1115958668197474
10,0.004407739732414425,0.0050270689302123524,181,55,0.01246298974041176,0.012629161882893225,1.0133332487583333,1.0133332487583333,1.0133332487583333
11,0.0050270689302123524,0.00570730026811358,178,58,0.012256420849686703,0.013318025258323766,1.0866161844193036,1.0866161844193036,1.0866161844193036
12,0.00570730026811358,0.006410251447232376,167,69,0.011499001583694829,0.01584385763490241,1.3778463738424416,1.3778463738424416,1.3778463738424416
13,0.006410251447232376,0.007185783260501858,183,53,0.012600702334228464,0.0121699196326062,0.965812802318797,0.965812802318797,0.965812802318797
14,0.007185783260501858,0.008014802355319208,184,52,0.012669558631136817,0.011940298507462687,0.9424399740428293,0.9424399740428293,0.9424399740428293
15,0.008014802355319208,0.008961536362767182,185,51,0.01273841492804517,0.011710677382319174,0.9193198249914668,0.9193198249914668,0.9193198249914668
