prompt,sum_phi,n_null,min_null
streetlight,180.961109306901,223,100
wooden_leg,142.88121697218094,217,100
space_shuttle,123.91129759939675,163,100
flash,106.07094324358835,160,100
dollar,124.3780390542636,151,100
sunflower,152.81006969696367,143,100
grits,127.63232545921137,139,100
sparkler_(fireworks),99.56920315197817,127,100
traffic_light,87.54930565094736,127,100
penny_(coin),86.818623944073,121,100
bait,79.95149659459375,118,100
bolo_tie,79.0090536187067,118,100
water_bottle,76.07773655868185,104,100
stew,85.86117467230861,98,100
cockroach,84.06574230062262,96,100
tequila,93.04266764245561,94,100
banner,65.29004672604647,94,100
pencil_sharpener,103.86271501243118,92,100
stylus,71.96381991108368,92,100
crowbar,61.54101803832415,92,100
bagpipe,88.70917465405392,90,100
spear,59.72688642691781,89,100
chinaware,85.91888342017803,87,100
snake,66.76541925695045,87,100
dove,69.5632320761648,86,100
ferret,76.22672001765021,85,100
syringe,54.0391362682317,84,100
strap,51.15183214840626,83,100
beeper,48.01545097865816,81,100
Tabasco_sauce,57.383074211990966,79,100
applesauce,55.38585101549502,79,100
griddle,103.27181955643105,78,100
funnel,84.49798768594626,73,100
chocolate_mousse,55.84759815442748,72,100
surfboard,69.1262618545462,71,100
keg,71.00317949349989,70,100
jelly_bean,53.24039180314526,70,100
diary,58.823684868476164,68,100
fedora,80.7154547220792,67,100
reflector,55.155477401822154,67,100
salad_plate,49.56236424222477,67,100
coloring_material,54.507328265330834,66,100
steak_knife,62.284074384925944,64,100
drumstick,61.00161353949142,64,100
wine_bottle,45.696845296622925,64,100
armor,62.42525887283079,63,100
water_gun,52.86233329275946,63,100
corkboard,64.50252834449046,61,100
mallard,58.74812507253636,60,100
saucepan,57.55156377664177,60,100
broach,47.05146783109444,60,100
checkerboard,79.89078649384939,59,100
bookmark,56.18724008603284,59,100
race_car,41.42902982834961,59,100
bus_(vehicle),29.73333595025962,59,100
apricot,99.59078398927684,57,100
scarecrow,85.94085767114339,54,100
smoothie,74.26325907683369,54,100
paperback_book,46.00034491241285,54,100
lightbulb,40.34323760872192,53,100
scraper,63.32151817179877,52,100
pipe_bowl,45.3358214171898,52,100
hat,41.294432270284155,52,100
quiche,68.89693461857136,51,100
passenger_ship,64.67092541632123,51,100
blimp,72.59071172145245,50,100
mouse_(computer_equipment),45.00059336558773,50,100
earplug,40.156724286185856,50,100
street_sign,29.454322865776238,50,100
hinge,42.400728980201464,49,100
egg_roll,45.88573386207942,48,100
ax,33.91091093967174,48,100
pegboard,66.47292040650616,47,100
waffle_iron,42.41741684008138,47,100
shears,37.56422897695562,47,100
speaker_(stero_equipment),35.43068259443445,47,100
convertible_(automobile),34.56957729649597,47,100
roller_skate,51.66522138903845,46,100
fig_(fruit),34.52805533442118,46,100
seaplane,34.1880434309397,46,100
wet_suit,80.72268060244721,45,100
shoe,50.09802290234485,45,100
curling_iron,75.84386951046953,44,100
plume,58.63837842655927,44,100
cornbread,49.36080230748764,44,100
poker_chip,41.12528301097982,44,100
hardback_book,36.55099449094311,44,100
cabinet,51.67182096454027,43,100
hair_curler,43.995665836767124,43,100
ballet_skirt,34.507555915228714,43,100
coil,34.11452179222305,43,100
computer_keyboard,27.9225030618143,42,100
chocolate_milk,43.01322893697021,41,100
tennis_racket,38.48906111575768,41,100
dropper,30.947233294150998,41,100
bowling_ball,29.01233601286461,41,100
car_battery,26.303204111359957,41,100
pirate_flag,25.69388420974149,41,100
skullcap,65.60622882060323,40,100
wheel,46.55168923077796,40,100
leather,38.78722995953174,40,100
chalice,33.55138528994295,40,100
clippers_(for_plants),28.683617116404246,40,100
zucchini,28.226312068303375,40,100
elephant,27.689845618700637,40,100
garbage,51.24522091253116,39,100
canteen,48.11599938173809,39,100
hand_glass,44.68847702149221,39,100
toy,25.101542355039793,39,100
necktie,21.295342960027522,39,100
dragonfly,58.10765181761142,38,100
rib_(food),36.95423838352011,38,100
truffle_(chocolate),32.844095687214896,38,100
milestone,31.13192277957336,38,100
beetle,48.74227992107737,37,100
pan_(metal_container),34.92886291018446,37,100
lanyard,28.333881874383582,37,100
joystick,26.796012145495144,37,100
pencil_box,22.61204060152274,37,100
crape,97.31054826719816,36,100
bracelet,57.62396710485238,36,100
bedpan,39.66387925627619,36,100
cream_pitcher,38.01180462784837,36,100
electric_chair,36.21576871681915,36,100
vat,36.03551772855704,36,100
octopus_(food),27.1541220585535,36,100
apple,26.925485318958273,36,100
hockey_stick,20.630523041279556,36,100
rag_doll,60.32807658702565,35,100
chime,35.91170629188021,35,100
chair,29.878125442824558,35,100
hamper,48.75437648252803,34,100
tachometer,29.646989337743797,34,100
beanie,23.737110345040083,34,100
lasagna,77.65750431121472,33,100
poncho,51.70873599869143,33,100
pendulum,24.372718366830263,33,100
mint_candy,21.621429461293847,33,100
falcon,56.10007920282809,32,100
die,39.90619243113267,32,100
bass_horn,30.220844980055393,32,100
shredder_(for_paper),29.33242901166577,32,100
drone,28.610277630340804,32,100
koala,75.7051894456346,31,100
rodent,38.279726918236555,31,100
puncher,37.66194971687612,31,100
futon,29.724695161400287,31,100
dishwasher_detergent,18.41944968320184,31,100
candy_bar,44.15919421535686,30,100
baboon,34.61286003275365,30,100
knocker_(on_a_door),25.294905465326394,30,100
ski_parka,25.150787848573927,30,100
jersey,30.394778237132968,29,100
arctic_(type_of_shoe),27.837142718631537,29,100
ice_skate,19.57016307961395,29,100
hummus,33.54035712078363,28,100
sofa_bed,32.61542265319009,28,100
lion,27.223656315373127,28,100
knife,25.53156105913136,28,100
statue_(sculpture),21.203983409954613,28,100
pinwheel,20.236145057245437,28,100
cloak,17.68834917213069,28,100
bulldozer,55.51477233870405,27,100
chessboard,54.317104332832365,27,100
masher,49.04947943003937,27,100
vinegar,41.26426630241791,27,100
root_beer,33.35824667011619,27,100
cooking_utensil,29.329466926880276,27,100
scarf,29.554850935116697,26,100
inhaler,21.86524000405501,26,100
table-tennis_table,21.562727511596304,26,100
motorcycle,17.809159798166572,26,100
blanket,17.65244001696402,26,100
mallet,56.93246128748841,25,100
wolf,53.221246085147634,25,100
armoire,52.6808549762205,25,100
stepladder,35.358694865510245,25,100
goggles,23.759351640743517,25,100
milkshake,21.663639423384854,25,100
tights_(clothing),21.158242034935537,25,100
plastic_bag,20.7937939708042,25,100
puppet,60.99407048445967,24,100
taillight,41.16579633935183,24,100
bench,27.40562580843907,24,100
cabana,26.624514725998893,24,100
milk_can,21.515235870189866,24,100
army_tank,20.6832564855496,24,100
cellular_telephone,17.615152371949502,24,100
taco,56.198151038120756,23,100
chap,42.0607875471102,23,100
neckerchief,27.897349648587657,23,100
compass,27.101711822252955,23,100
fleece,25.767658334448384,23,100
gasmask,25.73233892384889,23,100
omelet,21.77614788843755,23,100
lawn_mower,18.030557161226707,23,100
dagger,17.644962013433634,23,100
detergent,35.78107643631277,22,100
airplane,22.418386115465598,22,100
cargo_ship,21.438227805200928,22,100
boom_microphone,20.836574590562268,22,100
beachball,20.48366061971291,22,100
soya_milk,20.216512590403774,22,100
brass_plaque,55.01692525273626,21,100
hourglass,26.209427752184567,21,100
combination_lock,18.414427596267423,21,100
baseball_cap,9.231768385784179,21,100
salmon_(food),16.589070771923044,20,100
potato,13.541624559435773,20,100
train_(railroad_vehicle),10.484830686734876,20,100
puffin,68.99911782025895,19,100
swimsuit,31.985458567651772,19,100
shawl,21.48334927913854,19,100
carrot,18.009254122353443,19,100
date_(fruit),13.702635319770627,19,100
patty_(food),13.650368359954372,19,100
trash_can,12.722745882386102,19,100
hotplate,39.5094219847148,18,100
crabmeat,30.225494914070925,18,100
popsicle,26.57769401704679,18,100
martini,24.708819594373583,18,100
fork,19.309879307313956,18,100
sheep,13.781566216846445,18,100
kite,13.753724774154284,18,100
shirt,8.773158908282976,18,100
rat,23.896132341398225,17,100
tobacco_pipe,21.760205366808773,17,100
breechcloth,19.654431208873955,17,100
unicycle,19.57610478350462,17,100
escargot,18.462906144243462,17,100
shaver_(electric),18.328616054730794,17,100
comic_book,16.141633084705,17,100
kitchen_table,14.756126756067221,17,100
chaise_longue,14.421031996432808,17,100
necklace,12.528980063906591,17,100
baseball_bat,11.662571690816293,17,100
ski_pole,10.296303339826375,17,100
barge,37.11610912874395,16,100
sling_(bandage),18.57898886154253,16,100
suitcase,17.776460761840827,16,100
birthday_card,15.340355795229396,16,100
tag,14.539255569548432,16,100
handcuff,46.03083855858992,15,100
walrus,37.62732343354684,15,100
polo_shirt,35.3205284484239,15,100
hookah,21.557353154430338,15,100
keycard,21.00914818111144,15,100
pizza,20.046324427820416,15,100
weathervane,19.002535130709543,15,100
peanut_butter,17.27387775182011,15,100
rearview_mirror,16.87730151698289,15,100
soup_bowl,15.805693847671453,15,100
teddy_bear,15.753421506418556,15,100
fishing_rod,11.062841105981537,15,100
toilet_tissue,17.897339362501725,14,100
doorknob,16.085364135920095,14,100
generator,15.946184621489174,14,100
pennant,14.416267508442191,14,100
shepherd_dog,12.184073539699943,14,100
grape,37.37576666307391,13,100
lab_coat,17.004618595244366,13,100
zebra,11.894476567246585,13,100
underwear,11.881459062546856,13,100
clarinet,10.658077675178543,13,100
manhole,9.315193945804753,13,100
table,43.614349137491985,12,100
baguet,35.20158393471209,12,100
limousine,23.781919082854692,12,100
gondola_(boat),20.501598906782426,12,100
wardrobe,18.864820295861243,12,100
gargoyle,18.247606086288428,12,100
quesadilla,17.145085952568213,12,100
baseball_glove,9.771072155510193,12,100
jar,9.662198740444586,12,100
ski_boot,9.401528810247905,12,100
ladder,7.731170457695665,12,100
crawfish,6.260335740525116,12,100
dinghy,66.76547050986909,11,100
subwoofer,34.31482336451401,11,100
persimmon,18.49476311824122,11,100
river_boat,14.110745660128053,11,100
doughnut,9.957647052131906,11,100
ring,9.033237431457371,11,100
dog,6.344740155618452,11,100
satchel,4.792630645064273,11,100
octopus_(animal),44.299157516845554,10,100
brussels_sprouts,34.23433690728922,10,100
baby_buggy,32.59474063277848,10,100
camera,32.30966286804797,9,100
diving_board,15.39337686106026,9,100
horse_buggy,12.527886817593126,9,100
pin_(non_jewelry),12.332117697995828,9,100
receipt,12.148243987328302,9,100
safety_pin,11.854617686155173,9,100
dollhouse,18.15734350466066,8,100
banjo,16.035136858109272,8,100
pug-dog,12.423202000958517,8,100
plow_(farm_equipment),9.081351626273051,8,100
person,4.071463455137859,8,100
goose,4.053769166457398,8,100
bullet_train,3.6844494936005407,8,100
manatee,50.691263600690725,7,100
turnip,31.646212672988277,7,100
puffer_(fish),12.931545480189016,7,100
cornmeal,3.4445672116303103,7,100
hose,3.385166768874124,7,100
napkin,3.2763018324961792,7,100
stagecoach,61.13844088808184,6,100
ski,8.7738289380551,6,100
basket,4.244337361687041,6,100
faucet,4.06205415553694,6,100
belt,3.903097709300601,6,100
spoon,2.0429102127857224,6,100
flower_arrangement,1.9459077935796152,6,100
bed,31.745357225854242,5,100
burrito,31.237410694290983,5,100
dustpan,31.214838574137964,5,100
sugarcane_(plant),9.169083471952558,5,100
barrel,4.418265357212488,5,100
handbag,4.38361098649097,5,100
inkpad,34.53719943259101,4,100
parchment,31.1278063535707,4,100
snowboard,2.7511167362713453,4,100
fireplug,2.0998106023036627,4,100
apron,2.3775737090392375,3,100
curtain,2.3327768928857533,3,100
plate,2.1344294308367644,3,100
giraffe,1.938124999615312,3,100
car_(automobile),1.4020983909187255,3,100
cat,1.0816190219372197,3,100
signboard,0.9889994458651763,3,100
bear,0.8613055473130784,3,100
dalmatian,30.32113728775644,2,100
softball,1.4673385170514988,2,100
gameboard,1.3474744295830055,2,100
bicycle,1.0338211375423936,2,100
skateboard,1.0330112616040725,2,100
laptop_computer,0.905076171313596,2,100
mask,0.8367306176909863,2,100
dumbbell,0.7743193230599841,2,100
tablecloth,29.527660638386536,1,100
box,1.9827919900354511,1,100
scissors,0.6281690140845071,1,100
business_card,0.4662697836503557,1,100
clock,0.37148393440726496,1,100
frisbee,0.307674619143432,1,100
banana,0.21449673651666096,1,100
