seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,max_phi,0.5,1593,380,1597,72,0,72,0.0,0.0,0.18947368421052632,22,0,22,0.0,0.0,0.013775829680651221,0.05789473684210526
0,0.1,max_phi,0.5,1593,380,1597,86,0,86,0.0,0.0,0.22631578947368422,60,0,60,0.0,0.0,0.03757044458359424,0.15789473684210525
0,0.15,max_phi,0.5,1593,380,1597,101,2,99,0.019801980198019802,0.008287292817679558,0.26052631578947366,72,0,72,0.0,0.0,0.045084533500313086,0.18947368421052632
0,0.2,max_phi,0.5,1593,380,1597,113,3,110,0.02654867256637168,0.009668508287292817,0.2894736842105263,78,0,78,0.0,0.0,0.048841577958672514,0.20526315789473684
1,0.05,max_phi,0.5,1423,331,1316,54,0,54,0.0,0.0,0.16314199395770393,11,0,11,0.0,0.0,0.008358662613981762,0.03323262839879154
1,0.1,max_phi,0.5,1423,331,1316,72,0,72,0.0,0.0,0.2175226586102719,44,0,44,0.0,0.0,0.03343465045592705,0.13293051359516617
1,0.15,max_phi,0.5,1423,331,1316,89,0,89,0.0,0.0,0.2688821752265861,62,0,62,0.0,0.0,0.04711246200607903,0.18731117824773413
1,0.2,max_phi,0.5,1423,331,1316,95,0,95,0.0,0.0,0.28700906344410876,68,0,68,0.0,0.0,0.05167173252279635,0.2054380664652568
2,0.05,max_phi,0.5,1718,357,1468,72,0,72,0.0,0.0,0.20168067226890757,30,0,30,0.0,0.0,0.020435967302452316,0.08123249299719888
2,0.1,max_phi,0.5,1718,357,1468,81,0,81,0.0,0.0,0.226890756302521,64,0,64,0.0,0.0,0.043596730245231606,0.17647058823529413
2,0.15,max_phi,0.5,1718,357,1468,85,0,85,0.0,0.0,0.23809523809523808,75,0,75,0.0,0.0,0.05108991825613079,0.20728291316526612
2,0.2,max_phi,0.5,1718,357,1468,95,0,95,0.0,0.0,0.2661064425770308,78,0,78,0.0,0.0,0.05313351498637602,0.21568627450980393
3,0.05,max_phi,0.5,1489,397,1541,67,0,67,0.0,0.0,0.16876574307304787,32,0,32,0.0,0.0,0.020765736534717714,0.08060453400503778
3,0.1,max_phi,0.5,1489,397,1541,76,0,76,0.0,0.0,0.19143576826196473,59,0,59,0.0,0.0,0.038286826735885786,0.14357682619647355
3,0.15,max_phi,0.5,1489,397,1541,90,1,89,0.011111111111111112,0.0018416206261510127,0.22418136020151133,70,0,70,0.0,0.0,0.045425048669695,0.1712846347607053
3,0.2,max_phi,0.5,1489,397,1541,93,1,92,0.010752688172043012,0.0018416206261510127,0.23173803526448364,72,0,72,0.0,0.0,0.04672290720311486,0.17632241813602015
4,0.05,max_phi,0.5,1527,330,1323,49,0,49,0.0,0.0,0.1484848484848485,20,0,20,0.0,0.0,0.015117157974300832,0.06060606060606061
4,0.1,max_phi,0.5,1527,330,1323,69,0,69,0.0,0.0,0.20909090909090908,40,0,40,0.0,0.0,0.030234315948601664,0.12121212121212122
4,0.15,max_phi,0.5,1527,330,1323,80,2,78,0.025,0.008287292817679558,0.23636363636363636,59,0,59,0.0,0.0,0.044595616024187455,0.1787878787878788
4,0.2,max_phi,0.5,1527,330,1323,85,2,83,0.023529411764705882,0.008287292817679558,0.2515151515151515,61,0,61,0.0,0.0,0.04610733182161754,0.18484848484848485
5,0.05,max_phi,0.5,1331,345,1412,47,0,47,0.0,0.0,0.13623188405797101,13,0,13,0.0,0.0,0.009206798866855524,0.03768115942028986
