method,alpha,total_rejections,fdp,recall
betting,0.05,44.15,0.01506692876171351,0.08194439827946712
betting,0.1,60.9,0.023126840745530605,0.11203360184812025
betting,0.15,73.8,0.03532432072063415,0.13403494087635076
betting,0.2,84.95,0.0380209358944394,0.1536473722969824
binary,0.05,0.0,0.0,0.0
binary,0.1,1.95,0.0038461538461538464,0.004026845637583892
binary,0.15,0.0,0.0,0.0
binary,0.2,9.35,0.018968253968253967,0.015130898372644122
pvalue_bh,0.05,160.25,0.08340516381275985,0.27440955910790227
pvalue_bh,0.1,226.85,0.1482870837477237,0.3584737612306327
pvalue_bh,0.15,289.8,0.2141829110583921,0.42142928343933495
pvalue_bh,0.2,361.25,0.26100460206957526,0.4920868812704522
