method,alpha,total_rejections,fdp,recall
betting,0.05,11.908753967255835,0.017121226055589436,0.023542583833200362
betting,0.1,12.375272458457333,0.018446307069595533,0.025114419245195904
betting,0.15,14.006013745981818,0.030223603457989325,0.028320529966440654
betting,0.2,17.3401724024696,0.03014670724286686,0.03317139159455258
binary,0.05,0.0,0.0,0.0
binary,0.1,8.720665112249181,0.017200522903844537,0.018008601161072134
binary,0.15,0.0,0.0,0.0
binary,0.2,22.983460872640794,0.047122093602195894,0.036999763136883655
pvalue_bh,0.05,31.89765706624531,0.03820368176913919,0.0503250698790523
pvalue_bh,0.1,50.57487934788013,0.059431117374666144,0.0640008071596032
pvalue_bh,0.15,64.7583361835614,0.06682083758633771,0.07287788143191841
pvalue_bh,0.2,83.79792423003781,0.07017655988606032,0.08364523849918108
