seed,mean_loo_evalue,std_loo_evalue,max_loo_evalue,p95_loo_evalue,p99_loo_evalue,mondrian
0,1.0,7.57756627603601,186.04794334320252,1.1873457356218127,9.187552757689012,none
1,1.0,16.409102220594356,1105.8750812985909,1.640469193691158,4.681890040396803,none
2,1.0,9.992663001048749,576.5357209728367,1.291775876707098,8.357965072692826,none
3,1.0,5.851532745021926,190.79018752029978,1.645215759013795,9.921916577437042,none
4,1.0000000000000002,12.572305407875488,785.783674411629,1.0137690753590398,6.95155937389056,none
5,1.0000000000000002,14.181530188889466,953.5389153319875,1.2194791834053949,7.895345995124671,none
6,1.0,16.665250016424814,1129.7662298694843,1.4505665183279852,7.639029932525966,none
7,1.0,6.183013977557582,207.28540606790486,1.358001874134597,9.479313421077837,none
8,1.0,5.419679145763709,215.105128282787,1.5792257769021816,11.407705677609465,none
9,1.0,7.558128804398631,246.53533872462393,1.3440582133939392,9.359947282458112,none
10,0.9999999999999997,10.491176476242,594.1661762309617,0.9623059345539028,6.886955389981178,none
11,1.0000000000000002,6.282704867297356,211.27454525294058,1.551415218813315,10.387736682489155,none
12,1.0,24.044378646364958,963.9793194569365,0.6495525713963455,2.189569545669148,none
13,1.0000000000000002,12.024508626030256,827.0997923261666,1.2486768971135513,7.819787212820747,none
14,1.0,6.988905436223658,206.1318621620013,1.6442715618433752,9.571006572909406,none
15,1.0,6.3107706718393,176.5219631346381,1.4477104152700981,11.322108422629851,none
16,1.0,7.098273939306431,223.32216796482055,1.44326253079809,8.58143404776604,none
17,1.0,7.577985035972013,219.06177409063935,1.3571927915012847,5.302224638135502,none
18,0.9999999999999998,5.6327179349498016,227.94750024944653,1.5807732333526114,10.275026016791974,none
19,1.0,14.090419307350508,953.0672810235509,1.289310591485888,7.955858875762206,none
