seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
0,0.05,0.5,2650,2222,0.8384905660377359,1.1926192619261926,12,60,1,59,70,0.016666666666666666,0.004016064257028112,0.10296684118673648,0.12216404886561955,64,1,63,0.015625,0.004016064257028112,0.1099476439790576,449,59,62,0.13140311804008908,0.13808463251670378
0,0.1,0.5,2650,2222,0.8384905660377359,1.1926192619261926,12,63,1,62,75,0.015873015873015872,0.004016064257028112,0.1082024432809773,0.13089005235602094,64,1,63,0.015625,0.004016064257028112,0.1099476439790576,449,62,62,0.13808463251670378,0.13808463251670378
0,0.15,0.5,2650,2222,0.8384905660377359,1.1926192619261926,12,67,1,66,80,0.014925373134328358,0.004016064257028112,0.11518324607329843,0.13961605584642234,66,1,65,0.015151515151515152,0.004016064257028112,0.11343804537521815,449,66,64,0.14699331848552338,0.14253897550111358
0,0.2,0.5,2650,2222,0.8384905660377359,1.1926192619261926,12,67,1,66,80,0.014925373134328358,0.004016064257028112,0.11518324607329843,0.13961605584642234,68,1,67,0.014705882352941176,0.004016064257028112,0.1169284467713787,449,66,66,0.14699331848552338,0.14699331848552338
1,0.05,0.5,2415,1994,0.8256728778467909,1.2111334002006018,10,30,0,30,32,0.0,0.0,0.05847953216374269,0.06237816764132553,34,0,34,0.0,0.0,0.06627680311890838,403,30,34,0.07444168734491315,0.08436724565756824
1,0.1,0.5,2415,1994,0.8256728778467909,1.2111334002006018,10,48,0,48,52,0.0,0.0,0.0935672514619883,0.10136452241715399,52,0,52,0.0,0.0,0.10136452241715399,403,48,52,0.11910669975186104,0.12903225806451613
1,0.15,0.5,2415,1994,0.8256728778467909,1.2111334002006018,10,66,0,66,72,0.0,0.0,0.1286549707602339,0.14035087719298245,75,0,75,0.0,0.0,0.14619883040935672,403,66,75,0.16377171215880892,0.18610421836228289
1,0.2,0.5,2415,1994,0.8256728778467909,1.2111334002006018,10,86,0,86,94,0.0,0.0,0.16764132553606237,0.18323586744639375,93,0,93,0.0,0.0,0.18128654970760233,403,86,93,0.21339950372208435,0.23076923076923078
10,0.05,0.5,2122,1821,0.8581526861451461,1.1652937946183415,10,40,0,40,44,0.0,0.0,0.0894854586129754,0.09843400447427293,45,0,45,0.0,0.0,0.10067114093959731,358,40,42,0.11173184357541899,0.11731843575418995
10,0.1,0.5,2122,1821,0.8581526861451461,1.1652937946183415,10,54,0,54,63,0.0,0.0,0.12080536912751678,0.14093959731543623,58,0,58,0.0,0.0,0.1297539149888143,358,54,55,0.15083798882681565,0.15363128491620112
10,0.15,0.5,2122,1821,0.8581526861451461,1.1652937946183415,10,65,0,65,75,0.0,0.0,0.14541387024608501,0.16778523489932887,72,0,72,0.0,0.0,0.1610738255033557,358,65,69,0.18156424581005587,0.19273743016759776
10,0.2,0.5,2122,1821,0.8581526861451461,1.1652937946183415,10,69,1,68,79,0.014492753623188406,0.004016064257028112,0.15212527964205816,0.1767337807606264,73,0,73,0.0,0.0,0.16331096196868009,358,68,70,0.18994413407821228,0.19553072625698323
11,0.05,0.5,2135,1743,0.8163934426229508,1.2248995983935742,11,53,0,53,58,0.0,0.0,0.09925093632958802,0.10861423220973783,53,1,52,0.018867924528301886,0.004016064257028112,0.09737827715355805,398,53,52,0.13316582914572864,0.1306532663316583
11,0.1,0.5,2135,1743,0.8163934426229508,1.2248995983935742,11,69,2,67,74,0.028985507246376812,0.006024096385542169,0.1254681647940075,0.13857677902621723,74,2,72,0.02702702702702703,0.004016064257028112,0.1348314606741573,398,67,71,0.16834170854271358,0.17839195979899497
11,0.15,0.5,2135,1743,0.8163934426229508,1.2248995983935742,11,82,3,79,93,0.036585365853658534,0.008032128514056224,0.14794007490636704,0.17415730337078653,86,3,83,0.03488372093023256,0.008032128514056224,0.15543071161048688,398,79,82,0.1984924623115578,0.20603015075376885
11,0.2,0.5,2135,1743,0.8163934426229508,1.2248995983935742,11,90,3,87,105,0.03333333333333333,0.008032128514056224,0.16292134831460675,0.19662921348314608,96,3,93,0.03125,0.008032128514056224,0.17415730337078653,398,87,92,0.2185929648241206,0.23115577889447236
12,0.05,0.5,2547,2093,0.8217510797016098,1.2169135212613473,12,40,0,40,43,0.0,0.0,0.07326007326007326,0.07875457875457875,41,0,41,0.0,0.0,0.07509157509157509,422,40,41,0.0947867298578199,0.0971563981042654
12,0.1,0.5,2547,2093,0.8217510797016098,1.2169135212613473,12,49,0,49,54,0.0,0.0,0.08974358974358974,0.0989010989010989,54,0,54,0.0,0.0,0.0989010989010989,422,49,54,0.11611374407582939,0.12796208530805686
12,0.15,0.5,2547,2093,0.8217510797016098,1.2169135212613473,12,60,0,60,67,0.0,0.0,0.10989010989010989,0.1227106227106227,65,0,65,0.0,0.0,0.11904761904761904,422,60,65,0.14218009478672985,0.15402843601895735
12,0.2,0.5,2547,2093,0.8217510797016098,1.2169135212613473,12,65,2,63,71,0.03076923076923077,0.004016064257028112,0.11538461538461539,0.13003663003663005,70,2,68,0.02857142857142857,0.004016064257028112,0.12454212454212454,422,63,68,0.14928909952606634,0.16113744075829384
13,0.05,0.5,2096,1724,0.8225190839694656,1.2157772621809744,11,37,1,36,36,0.02702702702702703,0.004016064257028112,0.06741573033707865,0.06741573033707865,36,1,35,0.027777777777777776,0.004016064257028112,0.06554307116104868,414,36,35,0.08695652173913043,0.08454106280193237
13,0.1,0.5,2096,1724,0.8225190839694656,1.2157772621809744,11,58,1,57,61,0.017241379310344827,0.004016064257028112,0.10674157303370786,0.11423220973782772,65,1,64,0.015384615384615385,0.004016064257028112,0.1198501872659176,414,57,64,0.13768115942028986,0.15458937198067632
13,0.15,0.5,2096,1724,0.8225190839694656,1.2157772621809744,11,71,2,69,75,0.028169014084507043,0.008032128514056224,0.12921348314606743,0.1404494382022472,82,2,80,0.024390243902439025,0.008032128514056224,0.149812734082397,414,69,80,0.16666666666666666,0.1932367149758454
13,0.2,0.5,2096,1724,0.8225190839694656,1.2157772621809744,11,99,3,96,111,0.030303030303030304,0.012048192771084338,0.1797752808988764,0.20786516853932585,103,2,101,0.019417475728155338,0.008032128514056224,0.1891385767790262,414,96,101,0.2318840579710145,0.24396135265700483
14,0.05,0.5,2492,2061,0.8270465489566613,1.2091217855409995,15,34,1,33,36,0.029411764705882353,0.004016064257028112,0.059674502712477394,0.0650994575045208,37,1,36,0.02702702702702703,0.004016064257028112,0.0650994575045208,410,33,36,0.08048780487804878,0.08780487804878048
14,0.1,0.5,2492,2061,0.8270465489566613,1.2091217855409995,15,50,1,49,55,0.02,0.004016064257028112,0.08860759493670886,0.09945750452079566,56,1,55,0.017857142857142856,0.002008032128514056,0.09945750452079566,410,49,55,0.11951219512195121,0.13414634146341464
14,0.15,0.5,2492,2061,0.8270465489566613,1.2091217855409995,15,65,3,62,73,0.046153846153846156,0.006024096385542169,0.11211573236889692,0.13200723327305605,68,3,65,0.04411764705882353,0.006024096385542169,0.11754068716094032,410,62,65,0.15121951219512195,0.15853658536585366
14,0.2,0.5,2492,2061,0.8270465489566613,1.2091217855409995,15,79,3,76,89,0.0379746835443038,0.006024096385542169,0.13743218806509946,0.1609403254972875,81,3,78,0.037037037037037035,0.006024096385542169,0.1410488245931284,410,76,78,0.18536585365853658,0.1902439024390244
15,0.05,0.5,2360,1992,0.8440677966101695,1.1847389558232932,11,43,0,43,48,0.0,0.0,0.08037383177570094,0.08971962616822429,50,0,50,0.0,0.0,0.09345794392523364,410,43,48,0.1048780487804878,0.11707317073170732
