prompt,sum_phi,n_null,min_null
person,1987.703618029999,1469,200
chair,293.22294829487055,387,200
boat,145.45110360708304,237,200
car,121.21579870534667,211,200
broccoli,129.96208731342873,199,200
truck,66.39918238944651,123,200
motorcycle,62.26026792847109,103,200
cup,73.96763246407589,88,200
train,37.376111956843374,80,200
remote,36.57591804949402,78,200
horse,142.44623244104673,77,200
vase,43.65041690275938,73,200
suitcase,48.51452360884205,71,200
handbag,50.019553507262245,70,200
traffic light,31.488925719730215,68,200
skis,56.42480392975016,64,200
bicycle,41.139955933105185,62,200
bench,45.64060663608632,61,200
microwave,33.810561110277284,61,200
donut,30.921439862474195,60,200
knife,29.029725413008354,60,200
sink,51.45114942299171,57,200
scissors,29.116518342590744,56,200
fork,37.09637177370325,52,200
tie,23.684550782384736,47,200
backpack,30.167210860149787,46,200
oven,23.44841912587773,44,200
bottle,34.67148018053273,43,200
couch,208.23379693034295,42,200
cell phone,107.45313739091957,41,200
airplane,27.079132649390356,40,200
refrigerator,30.28609486379556,39,200
toilet,28.284000382421986,39,200
bear,22.729939741517843,39,200
dining table,15.923357381198237,38,200
banana,19.418952292158554,36,200
baseball bat,16.320829355806314,35,200
sports ball,15.010738418476107,34,200
bird,21.534906168512745,33,200
stop sign,16.209228773243655,33,200
potted plant,22.952343325852034,31,200
orange,15.82833166448078,31,200
bus,30.429397424921596,30,200
cat,16.20188275427282,30,200
baseball glove,12.126039758391363,30,200
laptop,23.254889795879595,29,200
bed,21.928199249281633,29,200
keyboard,18.28441483119487,29,200
sandwich,12.979745490162452,28,200
bowl,207.4442877089351,27,200
wine glass,9.14200442134445,26,200
elephant,10.695624734164923,24,200
tennis racket,16.114540296986757,23,200
umbrella,13.160736971287422,23,200
snowboard,12.801265729976395,22,200
apple,13.460296578199566,19,200
tv,8.822685477198505,19,200
kite,8.941943729758702,18,200
carrot,20.632045011606053,17,200
skateboard,14.230007757812238,17,200
book,11.935587057477337,17,200
clock,9.461164377319715,17,200
fire hydrant,9.148040180338239,17,200
spoon,5.248302793358817,16,200
frisbee,12.65109598396434,15,200
surfboard,4.728648391975076,15,200
pizza,11.26920781687716,14,200
parking meter,7.798888611390796,14,200
zebra,5.746895523315124,14,200
cow,6.712484141513943,13,200
cake,8.696485079832906,12,200
sheep,14.459512224471817,11,200
toaster,5.501925089535449,10,200
hot dog,7.647364055217921,9,200
dog,7.998465020256907,7,200
mouse,3.8444096177267624,7,200
toothbrush,2.1756446490026953,6,200
teddy bear,21.323241781255685,5,200
giraffe,0.34905799338567484,1,200
