method,alpha,total_rejections,fdp,recall
betting,0.05,97.6,0.020951817746613723,0.09062183473341097
betting,0.1,119.4,0.033937080405932865,0.10911216617530581
betting,0.15,138.8,0.03846742334073198,0.12647467032065002
betting,0.2,151.6,0.04720652540395202,0.13677783254980086
binary,0.05,4.0,0.01,0.0040339702760084925
binary,0.1,6.4,0.0375,0.005520169851380043
binary,0.15,9.0,0.04444444444444444,0.0074309978768577496
binary,0.2,20.8,0.17142857142857143,0.011913774735362785
pvalue_bh,0.05,233.4,0.08183671332972506,0.2025719398153028
pvalue_bh,0.1,311.6,0.17420409201176726,0.2429679550679848
pvalue_bh,0.15,381.2,0.2421346139174986,0.27012147677874754
pvalue_bh,0.2,477.6,0.32716127471357126,0.29901883454677175
