alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,seed,method,stratum
0.05,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.05,313,61,73,1,72,0.0136986301369863,0.5538461538461539,0.003194888178913738,0,betting,K<=5
0.05,182,17,32,2,30,0.0625,0.06896551724137931,0.002197802197802198,0,betting,5<K<=30
0.1,42,0,0,0,0,0.0,0.0,0.0,0,betting,K>30
0.1,313,62,76,2,74,0.02631578947368421,0.5692307692307692,0.004259850905218317,0,betting,K<=5
0.1,182,29,49,2,47,0.04081632653061224,0.10804597701149425,0.002197802197802198,0,betting,5<K<=30
0.15,42,2,7,0,7,0.0,0.011945392491467578,0.0,0,betting,K>30
0.15,313,63,79,3,76,0.0379746835443038,0.5846153846153846,0.007454739084132055,0,betting,K<=5
0.15,182,37,59,2,57,0.03389830508474576,0.1310344827586207,0.002197802197802198,0,betting,5<K<=30
0.2,42,4,10,0,10,0.0,0.017064846416382253,0.0,0,betting,K>30
0.2,313,67,84,4,80,0.047619047619047616,0.6153846153846154,0.010649627263045792,0,betting,K<=5
0.2,182,41,67,3,64,0.04477611940298507,0.1471264367816092,0.004578754578754578,0,betting,5<K<=30
0.05,322,48,54,0,54,0.0,0.54,0.0,1,betting,K<=5
0.05,172,12,37,0,37,0.0,0.09840425531914894,0.0,1,betting,5<K<=30
0.05,43,0,0,0,0,0.0,0.0,0.0,1,betting,K>30
0.1,322,52,60,1,59,0.016666666666666666,0.59,0.003105590062111801,1,betting,K<=5
0.1,172,24,57,2,55,0.03508771929824561,0.14627659574468085,0.005813953488372093,1,betting,5<K<=30
0.1,43,1,5,0,5,0.0,0.00909090909090909,0.0,1,betting,K>30
0.15,322,52,60,1,59,0.016666666666666666,0.59,0.003105590062111801,1,betting,K<=5
0.15,172,31,68,2,66,0.029411764705882353,0.17553191489361702,0.005813953488372093,1,betting,5<K<=30
0.15,43,5,31,2,29,0.06451612903225806,0.05272727272727273,0.007602862254025045,1,betting,K>30
0.2,322,54,63,2,61,0.031746031746031744,0.61,0.006211180124223602,1,betting,K<=5
0.2,172,33,71,2,69,0.028169014084507043,0.18351063829787234,0.005813953488372093,1,betting,5<K<=30
0.2,43,8,39,2,37,0.05128205128205128,0.06727272727272728,0.007602862254025045,1,betting,K>30
0.05,179,18,31,0,31,0.0,0.07673267326732673,0.0,2,betting,5<K<=30
0.05,309,50,52,3,49,0.057692307692307696,0.48514851485148514,0.009708737864077669,2,betting,K<=5
0.05,49,2,6,2,4,0.3333333333333333,0.006462035541195477,0.013605442176870748,2,betting,K>30
0.1,179,28,50,2,48,0.04,0.1188118811881188,0.00186219739292365,2,betting,5<K<=30
0.1,309,52,54,3,51,0.05555555555555555,0.504950495049505,0.009708737864077669,2,betting,K<=5
0.1,49,3,8,2,6,0.25,0.009693053311793215,0.013605442176870748,2,betting,K>30
0.15,179,31,54,3,51,0.05555555555555555,0.12623762376237624,0.0037243947858473,2,betting,5<K<=30
0.15,309,54,57,4,53,0.07017543859649122,0.5247524752475248,0.012944983818770227,2,betting,K<=5
0.15,49,4,12,2,10,0.16666666666666666,0.01615508885298869,0.013605442176870748,2,betting,K>30
0.2,179,33,56,3,53,0.05357142857142857,0.1311881188118812,0.0037243947858473,2,betting,5<K<=30
0.2,309,57,60,6,54,0.1,0.5346534653465347,0.019417475728155338,2,betting,K<=5
0.2,49,6,21,2,19,0.09523809523809523,0.030694668820678513,0.013605442176870748,2,betting,K>30
0.05,168,24,45,1,44,0.022222222222222223,0.12021857923497267,0.002976190476190476,3,betting,5<K<=30
0.05,334,59,69,0,69,0.0,0.4859154929577465,0.0,3,betting,K<=5
0.05,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.1,168,30,55,3,52,0.05454545454545454,0.14207650273224043,0.008928571428571428,3,betting,5<K<=30
0.1,334,61,71,0,71,0.0,0.5,0.0,3,betting,K<=5
0.1,35,0,0,0,0,0.0,0.0,0.0,3,betting,K>30
0.15,168,36,61,3,58,0.04918032786885246,0.15846994535519127,0.008928571428571428,3,betting,5<K<=30
0.15,334,61,71,0,71,0.0,0.5,0.0,3,betting,K<=5
0.15,35,3,11,0,11,0.0,0.02534562211981567,0.0,3,betting,K>30
0.2,168,37,64,3,61,0.046875,0.16666666666666666,0.008928571428571428,3,betting,5<K<=30
0.2,334,66,76,2,74,0.02631578947368421,0.5211267605633803,0.005988023952095809,3,betting,K<=5
0.2,35,4,14,0,14,0.0,0.03225806451612903,0.0,3,betting,K>30
0.05,322,47,49,1,48,0.02040816326530612,0.41025641025641024,0.003105590062111801,4,betting,K<=5
0.05,40,1,3,0,3,0.0,0.005454545454545455,0.0,4,betting,K>30
0.05,175,20,37,0,37,0.0,0.08851674641148326,0.0,4,betting,5<K<=30
0.1,322,51,53,1,52,0.018867924528301886,0.4444444444444444,0.003105590062111801,4,betting,K<=5
0.1,40,2,6,0,6,0.0,0.01090909090909091,0.0,4,betting,K>30
0.1,175,29,53,2,51,0.03773584905660377,0.12200956937799043,0.0038095238095238095,4,betting,5<K<=30
0.15,322,55,59,2,57,0.03389830508474576,0.48717948717948717,0.006211180124223602,4,betting,K<=5
0.15,40,2,6,0,6,0.0,0.01090909090909091,0.0,4,betting,K>30
0.15,175,33,59,2,57,0.03389830508474576,0.13636363636363635,0.0038095238095238095,4,betting,5<K<=30
0.2,322,58,63,4,59,0.06349206349206349,0.5042735042735043,0.012422360248447204,4,betting,K<=5
0.2,40,2,6,0,6,0.0,0.01090909090909091,0.0,4,betting,K>30
