method,alpha,total_rejections,fdp,recall
betting,0.05,207.35,0.08020427228866969,0.27364845441698304
betting,0.1,261.0,0.11926727510042874,0.3290342478322444
betting,0.15,316.5,0.16424600457910704,0.3759396079949904
betting,0.2,374.9,0.21059371155495582,0.41994541964396503
binary,0.05,62.7,0.0368796550982156,0.05539626044418198
binary,0.1,62.7,0.0368796550982156,0.05539626044418198
binary,0.15,62.7,0.0368796550982156,0.05539626044418198
binary,0.2,126.9,0.07551856253372395,0.10760633973041109
pvalue_bh,0.05,580.1,0.3542792299269273,0.5328348480234917
pvalue_bh,0.1,581.75,0.3553750121640139,0.5334927427603338
pvalue_bh,0.15,581.75,0.3553750121640139,0.5334927427603338
pvalue_bh,0.2,581.75,0.3553750121640139,0.5334927427603338
