method,alpha,total_rejections,fdp,recall,threshold
score_oracle,0.05,109.6,0.046590158520999556,0.18196376442386097,0.5684577330946923
score_oracle,0.1,161.4,0.09787485436059659,0.25242866663677843,0.4661489248275757
score_oracle,0.15,209.55,0.14831774145950716,0.30910722943816843,0.39703261107206345
score_oracle,0.2,261.35,0.1989712541735496,0.3640407628467374,0.34021893739700315
