method,alpha,total_rejections,fdp,recall
betting,0.05,14.907698470394767,0.01144760673788923,0.02703392296390196
betting,0.1,21.570935611555996,0.022721823207860207,0.03711198426450153
betting,0.15,26.84512108960937,0.02433738471038521,0.045493953544319135
betting,0.2,31.77718479796803,0.026485043945696677,0.05373509377135219
binary,0.05,2.4596747752497685,0.0,0.004614774437616826
binary,0.1,2.906888370749727,0.0,0.005453824335365341
binary,0.15,2.906888370749727,0.0,0.005453824335365341
binary,0.2,6.073887162530919,0.03455214192631054,0.010309862186614486
pvalue_bh,0.05,30.271403910899835,0.027866862972434202,0.03984405576284032
pvalue_bh,0.1,30.559519147498307,0.031286656246472686,0.036949044399308247
pvalue_bh,0.15,31.053264935557014,0.03366096138574848,0.034951135621366425
pvalue_bh,0.2,39.64699497473064,0.04252739877030671,0.03939977854522425
