method,alpha,total_rejections,fdp,recall
betting,0.05,104.6,0.032724450044537653,0.15386724196675966
betting,0.1,132.8,0.046589902859938255,0.1926745001476521
betting,0.15,150.0,0.05194678208876992,0.21609477209354627
betting,0.2,165.8,0.06287622471563054,0.23612847355792246
binary,0.05,0.0,0.0,0.0
binary,0.1,6.2,0.06451612903225806,0.00625
binary,0.15,0.0,0.0,0.0
binary,0.2,9.2,0.1,0.006845238095238096
pvalue_bh,0.05,225.4,0.09696708437462839,0.30872453720132664
pvalue_bh,0.1,303.0,0.1919444047345061,0.37146157771504196
pvalue_bh,0.15,373.4,0.2740576047781328,0.4072559545084594
pvalue_bh,0.2,465.6,0.36351838769801254,0.44381035912780575
