method,alpha,total_rejections,fdp,recall,mean_family_fdp,cal_bound,cal_loss
crc_scoregate,0.05,39.35,0.34662239836292297,0.06506439820813827,0.0459866220735786,0.04583333333333333,0.042642140468227424
crc_scoregate,0.1,62.6,0.45698358718616017,0.08607242361593323,0.0959866220735786,0.0945,0.0914715719063545
crc_scoregate,0.15,81.95,0.528602581066941,0.09786737430936032,0.14498327759197324,0.14333333333333334,0.14046822742474915
crc_scoregate,0.2,99.2,0.570480228178257,0.10774601281118576,0.18946488294314381,0.195,0.19230769230769232
