dataset,stratum,num_test_families,rejection_rate,recall,fdp,total_rejections
COCO-1000,K<=5,320.0,0.17693352515376456,0.6365403568834942,0.04267589903514338,64.8
LVIS-1000,K<=5,79.6,0.36505558252546205,0.3992703144060044,0.1856242323984259,35.4
COCO-1000,5<K<=30,175.2,0.1773042705854191,0.2101948762480143,0.04574423008136788,56.8
LVIS-1000,5<K<=30,384.8,0.0026061086402324814,0.00641305321809396,0.13333333333333333,2.8
COCO-1000,K>30,41.8,0.05704002531245056,0.034148914679264904,0.05873015873015872,11.2
LVIS-1000,K>30,128.6,0.0,0.0,0.0,0.0
