seed,alpha,method,total_rejections,fp,tp,pooled_fdp,mean_family_fdp,recall,n_test_families,n_cal_null
0,0.05,pvalue_by,177,14,163,0.07909604519774012,0.015799256505576207,0.23726346433770015,538,5108
0,0.1,pvalue_by,222,23,199,0.1036036036036036,0.02935254027261462,0.28966521106259097,538,5108
0,0.15,pvalue_by,252,31,221,0.12301587301587301,0.04143432465923172,0.32168850072780203,538,5108
0,0.2,pvalue_by,273,42,231,0.15384615384615385,0.05597893432465923,0.33624454148471616,538,5108
1,0.05,pvalue_by,197,12,185,0.06091370558375635,0.014745972738537795,0.2565880721220527,538,7017
1,0.1,pvalue_by,250,21,229,0.084,0.02512109947054185,0.31761442441054094,538,7017
1,0.15,pvalue_by,273,30,243,0.10989010989010989,0.03572836704806965,0.33703190013869627,538,7017
1,0.2,pvalue_by,296,41,255,0.13851351351351351,0.0498237821657896,0.3536754507628294,538,7017
2,0.05,pvalue_by,161,15,146,0.09316770186335403,0.02168525402726146,0.1959731543624161,538,6149
2,0.1,pvalue_by,191,26,165,0.13612565445026178,0.041201982651796774,0.2214765100671141,538,6149
2,0.15,pvalue_by,218,35,183,0.16055045871559634,0.050805452292441135,0.24563758389261744,538,6149
2,0.2,pvalue_by,259,52,207,0.20077220077220076,0.07806691449814127,0.2778523489932886,538,6149
3,0.05,pvalue_by,133,15,118,0.11278195488721804,0.02695167286245353,0.1659634317862166,538,4943
3,0.1,pvalue_by,190,26,164,0.1368421052631579,0.0405381483448398,0.23066104078762306,538,4943
3,0.15,pvalue_by,221,40,181,0.18099547511312217,0.05624446804744203,0.2545710267229255,538,4943
3,0.2,pvalue_by,263,62,201,0.23574144486692014,0.08297928836962293,0.28270042194092826,538,4943
4,0.05,pvalue_by,158,15,143,0.0949367088607595,0.022473808719161877,0.22136222910216719,538,5726
4,0.1,pvalue_by,198,32,166,0.16161616161616163,0.045811272577071835,0.25696594427244585,538,5726
4,0.15,pvalue_by,231,45,186,0.19480519480519481,0.05947251323645376,0.28792569659442724,538,5726
4,0.2,pvalue_by,265,64,201,0.24150943396226415,0.0787428185197702,0.3111455108359133,538,5726
5,0.05,pvalue_by,171,10,161,0.05847953216374269,0.012560549735270925,0.27710843373493976,538,5480
5,0.1,pvalue_by,202,23,179,0.11386138613861387,0.030138077535847053,0.3080895008605852,538,5480
5,0.15,pvalue_by,219,32,187,0.1461187214611872,0.04121304655691272,0.3218588640275387,538,5480
5,0.2,pvalue_by,264,55,209,0.20833333333333334,0.0641921266647923,0.35972461273666095,538,5480
6,0.05,pvalue_by,158,13,145,0.08227848101265822,0.015179677819083023,0.201949860724234,538,5220
6,0.1,pvalue_by,196,22,174,0.11224489795918367,0.03066914498141264,0.24233983286908078,538,5220
6,0.15,pvalue_by,241,39,202,0.16182572614107885,0.05117156697082348,0.28133704735376047,538,5220
6,0.2,pvalue_by,292,63,229,0.21575342465753425,0.08164156166014902,0.318941504178273,538,5220
