rho,m_cal_mean,rejections_mean,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,loo_mean,loo_std,pass_pooled,pass_family
0.0,5288.7,59.75,0.06030067178058555,0.029609079909866054,0.06823844381839234,0.08145446273550255,0.9534607793543491,0.1882321549651834,0.95,0.95
0.05,5024.35,88.35,0.07983420462865967,0.028822100797561413,0.08808036959192711,0.1179958658161528,1.7433855718127784,0.30323195055223695,0.75,0.45
0.1,4759.8,97.45,0.08773301050144024,0.02547223385194353,0.10041827307105758,0.12925018761141632,2.0452269470612845,0.3125972353821662,0.7,0.45
0.2,4230.9,105.35,0.0963430222858347,0.02801464279214066,0.11055849071299292,0.13844409670576222,2.397309526008773,0.3404544441944024,0.5,0.4
0.3,3702.15,113.1,0.10531719954278981,0.02616886068912511,0.12132326643757556,0.14729427271364706,2.7466649953344127,0.36080072142038944,0.5,0.2
