table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered
score_floor,VOC 2012,GDino,0.1,betting_eBH_sf0.30,0.116109,0.03295,0.042468,0.478619,307.8,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.30,,,
score_floor,VOC 2012,GDino,0.15,betting_eBH_sf0.30,0.163788,0.037409,0.071587,0.5199,353.7,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.30,,,
score_floor,VOC 2012,GDino,0.2,betting_eBH_sf0.30,0.192751,0.04369,0.091137,0.541608,382.8,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.30,,,
score_floor,VOC 2012,GDino,0.05,betting_eBH_sf0.40,0.090158,0.030566,0.030186,0.445285,278.2,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.40,,,
score_floor,VOC 2012,GDino,0.1,betting_eBH_sf0.40,0.119734,0.036006,0.044216,0.490257,316.7,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.40,,,
score_floor,VOC 2012,GDino,0.15,betting_eBH_sf0.40,0.174367,0.036825,0.076408,0.538911,371.6,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.40,,,
score_floor,VOC 2012,GDino,0.2,betting_eBH_sf0.40,0.206536,0.048473,0.097641,0.56023,403.5,,1.0,20,outputs/voc_gdino_1000_20seed_sf0.40,,,
score_floor,COCO val,OWL-ViT,0.05,betting_eBH_sf0.30,0.034573,0.030877,0.00688,0.141558,78.0,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.30,,,
score_floor,COCO val,OWL-ViT,0.1,betting_eBH_sf0.30,0.05752,0.036047,0.015511,0.191226,108.2,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.30,,,
score_floor,COCO val,OWL-ViT,0.15,betting_eBH_sf0.30,0.077779,0.040238,0.024259,0.235365,136.4,,1.0,20,outputs/coco_owlvit_1000_20seed_sf0.30,,,
