table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered,pooled_bound_eps_stratified
table2_baselines,COCO val,GDino,0.05,crc_family,0.20052955255929125,0.048739029404179075,0.04709999351213231,0.4060528254746272,352.45,,,20,outputs/coco_groundingdino_gonogo_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,GDino,0.1,crc_family,0.3393845991485933,0.06567575635391001,0.09731565126061392,0.4912289760918293,520.55,,,20,outputs/coco_groundingdino_gonogo_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,GDino,0.15,crc_family,0.42921749307609885,0.06221698195568103,0.14932733601072268,0.5475500040795336,673.55,,,20,outputs/coco_groundingdino_gonogo_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,GDino,0.2,crc_family,0.4958623258376633,0.05242154412587729,0.20010556305812882,0.5918309255497356,822.35,,,20,outputs/coco_groundingdino_gonogo_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,OWL-ViT,0.05,crc_family,0.17429587262727536,0.055949709369350085,0.05043528145811851,0.32717753149922724,212.3,,,20,outputs/coco_owlvit_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,OWL-ViT,0.1,crc_family,0.2750620991560971,0.03967933427098555,0.09245824326481875,0.4614978650002876,340.0,,,20,outputs/coco_owlvit_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,OWL-ViT,0.15,crc_family,0.355506914644175,0.04407731234976137,0.14643962580835318,0.5777749476929017,479.7,,,20,outputs/coco_owlvit_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,OWL-ViT,0.2,crc_family,0.4240195102176932,0.03791895441782663,0.19442129036727387,0.6729275674523161,625.45,,,20,outputs/coco_owlvit_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,YOLO-World,0.05,crc_family,0.0964862924595464,0.03289087264459864,0.04585800802861736,0.5099089557582669,222.75,,,20,outputs/coco_yoloworld_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,YOLO-World,0.1,crc_family,0.20341155541749298,0.06761918702609833,0.1007479179060932,0.665387299646784,331.95,,,20,outputs/coco_yoloworld_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,YOLO-World,0.15,crc_family,0.3063592399183378,0.08013439443324354,0.15523338096761638,0.7810174486925705,451.4,,,20,outputs/coco_yoloworld_val_1000_mix_crc_baseline,,,,
table2_baselines,COCO val,YOLO-World,0.2,crc_family,0.37196877126837247,0.0781069947504326,0.20426631570288728,0.8516155016378896,545.0,,,20,outputs/coco_yoloworld_val_1000_mix_crc_baseline,,,,
table2_baselines,VOC 2012,GDino,0.05,crc_family,0.12529086486855912,0.025112681334922178,0.045710107076386106,0.5098899250903554,330.35,,,20,outputs/voc_1000_gdino_crc_baseline,,,,
table2_baselines,VOC 2012,GDino,0.1,crc_family,0.20202025640371923,0.02557242714401986,0.09250257494443537,0.5661289434661045,402.25,,,20,outputs/voc_1000_gdino_crc_baseline,,,,
table2_baselines,VOC 2012,GDino,0.15,crc_family,0.2597271227162011,0.02545468884626376,0.13683751475119985,0.5939200493547662,455.05,,,20,outputs/voc_1000_gdino_crc_baseline,,,,
table2_baselines,VOC 2012,GDino,0.2,crc_family,0.31857801193945534,0.03048583509555531,0.18715603642034764,0.6154521562680537,512.6,,,20,outputs/voc_1000_gdino_crc_baseline,,,,
table2_baselines,VOC 2012,OWL-ViT,0.05,crc_family,0.18535762342550752,0.04115684652276604,0.048580950368798934,0.28661172216480524,154.2,,,20,outputs/voc_1000_owlvit_crc_baseline,,,,
table2_baselines,VOC 2012,OWL-ViT,0.1,crc_family,0.27143104920629313,0.04153655326233774,0.09852981946856444,0.49068316665254985,295.55,,,20,outputs/voc_1000_owlvit_crc_baseline,,,,
table2_baselines,VOC 2012,OWL-ViT,0.15,crc_family,0.3388615587812246,0.038661053067707715,0.15054893398458763,0.7152712062955651,474.45,,,20,outputs/voc_1000_owlvit_crc_baseline,,,,
table2_baselines,VOC 2012,OWL-ViT,0.2,crc_family,0.40868460233628845,0.04065108448132613,0.19810859726385138,0.8152363928654452,604.4,,,20,outputs/voc_1000_owlvit_crc_baseline,,,,
table2_baselines,VOC 2012,YOLO-World,0.05,crc_family,0.07084696000375267,0.027004949194331905,0.0469397759103641,0.7624012134855975,319.8,,,20,outputs/voc_yoloworld_1000_mix_crc_baseline,,,,
table2_baselines,VOC 2012,YOLO-World,0.1,crc_family,0.1263925941911898,0.030941130284669844,0.0900902157232158,0.8417804819008252,375.75,,,20,outputs/voc_yoloworld_1000_mix_crc_baseline,,,,
table2_baselines,VOC 2012,YOLO-World,0.15,crc_family,0.19002370056525306,0.03562858416193939,0.14084594554298221,0.8915649262535581,429.3,,,20,outputs/voc_yoloworld_1000_mix_crc_baseline,,,,
table2_baselines,VOC 2012,YOLO-World,0.2,crc_family,0.252449290304556,0.037819311883293925,0.19247553735639758,0.9241964885173001,482.2,,,20,outputs/voc_yoloworld_1000_mix_crc_baseline,,,,
