dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,per_family_fdp,pass_rate
COCO val,GDino,0.05,fork,51.3,0.35,0.0,0.22916666666666666,0.4947048832904183,0.0,1.0
COCO val,GDino,0.05,frisbee,22.05,2.0,0.0,0.8233333333333333,0.46453375922081985,0.0,1.0
COCO val,GDino,0.05,giraffe,29.8,2.7,0.0,0.33509873167767906,0.49574803409298945,0.0,1.0
COCO val,GDino,0.05,hair drier,8.7,0.0,0.0,0.0,0.4508300838478886,0.0,1.0
COCO val,GDino,0.05,handbag,156.26315789473685,0.21052631578947367,0.0,0.05087719298245614,0.6891730054445189,0.0,1.0
COCO val,GDino,0.05,horse,42.4,2.9,0.04047619047619048,0.40816680739281364,1.3288833492567786,0.06,0.8
COCO val,GDino,0.05,hot dog,33.1,0.45,0.0,0.05089285714285714,0.7740064503047557,0.0,1.0
COCO val,GDino,0.05,keyboard,14.0,0.75,0.0,0.5083333333333333,0.7727966141390659,0.0,1.0
COCO val,GDino,0.05,kite,42.15,0.75,0.0,0.21857142857142858,0.6019066995733559,0.0,1.0
COCO val,GDino,0.05,knife,48.35,0.2,0.0,0.08416666666666667,0.4612376552581162,0.0,1.0
COCO val,GDino,0.05,laptop,24.75,1.1,0.0,0.4633333333333334,0.7781967733564228,0.0,1.0
COCO val,GDino,0.05,microwave,33.95,0.05,0.0,0.05,0.9779222815927315,0.0,1.0
COCO val,GDino,0.05,motorcycle,40.3,0.65,0.0,0.17083189686130862,0.5651948737462584,0.0,1.0
COCO val,GDino,0.05,mouse,17.6,0.5,0.0,0.4,0.701816868339592,0.0,1.0
COCO val,GDino,0.05,orange,40.85,0.25,0.0,0.21666666666666665,1.6806973800068896,0.0,1.0
COCO val,GDino,0.05,oven,25.94736842105263,0.0,0.0,0.0,0.9998056081327271,0.0,1.0
COCO val,GDino,0.05,parking meter,29.4,0.2,0.2,0.0,2.841194529575408,0.2,0.8
COCO val,GDino,0.05,person,1227.7,34.85,0.0156232588490653,0.17937194996471592,1.5177791086790158,0.005957466129090843,0.75
COCO val,GDino,0.05,pizza,43.78947368421053,0.8421052631578947,0.0,0.19276432631695792,0.9097088197909537,0.0,1.0
COCO val,GDino,0.05,potted plant,29.6,0.5,0.0,0.11388888888888889,1.5325486644496824,0.0,1.0
COCO val,GDino,0.05,refrigerator,27.35,0.45,0.0,0.2583333333333333,0.7249856608462684,0.0,1.0
COCO val,GDino,0.05,remote,61.35,0.05,0.0,0.05,0.4757892797196156,0.0,1.0
