dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,pass_rate
COCO val,GDino,0.05,Q1 (low),1130.9,0.0,0.0,0.0,0.2561180146670682,1.0
COCO val,GDino,0.05,Q2,1124.3,0.0,0.0,0.0,0.21860855205050383,1.0
COCO val,GDino,0.05,Q3,1144.6,0.0,0.0,0.0,0.3668124046186884,1.0
COCO val,GDino,0.05,Q4,1171.8,0.0,0.0,0.0,0.5351213501282184,1.0
COCO val,GDino,0.05,Q5 (high),1592.3,104.0,0.02741385459262589,0.2043546515536998,3.2932546859110574,0.95
COCO val,GDino,0.1,Q1 (low),1130.9,0.0,0.0,0.0,0.2561180146670682,1.0
COCO val,GDino,0.1,Q2,1124.3,0.0,0.0,0.0,0.21860855205050383,1.0
COCO val,GDino,0.1,Q3,1144.6,0.0,0.0,0.0,0.3668124046186884,1.0
COCO val,GDino,0.1,Q4,1171.8,0.0,0.0,0.0,0.5351213501282184,1.0
COCO val,GDino,0.1,Q5 (high),1592.3,134.0,0.039629685549485434,0.25946253706695466,3.2932546859110574,1.0
COCO val,GDino,0.15,Q1 (low),1130.9,0.0,0.0,0.0,0.2561180146670682,1.0
COCO val,GDino,0.15,Q2,1124.3,0.0,0.0,0.0,0.21860855205050383,1.0
COCO val,GDino,0.15,Q3,1144.6,0.0,0.0,0.0,0.3668124046186884,1.0
COCO val,GDino,0.15,Q4,1171.8,0.0,0.0,0.0,0.5351213501282184,1.0
COCO val,GDino,0.15,Q5 (high),1592.3,152.45,0.050699711896335084,0.29155148468919473,3.2932546859110574,1.0
COCO val,GDino,0.2,Q1 (low),1130.9,0.0,0.0,0.0,0.2561180146670682,1.0
COCO val,GDino,0.2,Q2,1124.3,0.0,0.0,0.0,0.21860855205050383,1.0
COCO val,GDino,0.2,Q3,1144.6,0.0,0.0,0.0,0.3668124046186884,1.0
COCO val,GDino,0.2,Q4,1171.8,0.0,0.0,0.0,0.5351213501282184,1.0
COCO val,GDino,0.2,Q5 (high),1592.3,166.85,0.059829906010127776,0.31592934509212023,3.2932546859110574,1.0
COCO val,OWL-ViT,0.05,Q1 (low),409.95,0.0,0.0,0.0,0.1728039428440414,1.0
COCO val,OWL-ViT,0.05,Q2,417.2,0.0,0.0,0.0,0.23638423272995582,1.0
COCO val,OWL-ViT,0.05,Q3,425.0,0.0,0.0,0.0,0.2944069868277576,1.0
COCO val,OWL-ViT,0.05,Q4,448.05,0.0,0.0,0.0,0.46375466208524385,1.0
COCO val,OWL-ViT,0.05,Q5 (high),786.95,44.15,0.01506692876171351,0.11040792387192702,3.4811973424768468,0.95
COCO val,OWL-ViT,0.1,Q1 (low),409.95,0.0,0.0,0.0,0.1728039428440414,1.0
COCO val,OWL-ViT,0.1,Q2,417.2,0.0,0.0,0.0,0.23638423272995582,1.0
COCO val,OWL-ViT,0.1,Q3,425.0,0.0,0.0,0.0,0.2944069868277576,1.0
COCO val,OWL-ViT,0.1,Q4,448.05,0.0,0.0,0.0,0.46375466208524385,1.0
COCO val,OWL-ViT,0.1,Q5 (high),786.95,60.9,0.023126840745530605,0.15091399451977489,3.4811973424768468,1.0
COCO val,OWL-ViT,0.15,Q1 (low),409.95,0.0,0.0,0.0,0.1728039428440414,1.0
COCO val,OWL-ViT,0.15,Q2,417.2,0.0,0.0,0.0,0.23638423272995582,1.0
COCO val,OWL-ViT,0.15,Q3,425.0,0.0,0.0,0.0,0.2944069868277576,1.0
COCO val,OWL-ViT,0.15,Q4,448.05,0.0,0.0,0.0,0.46375466208524385,1.0
COCO val,OWL-ViT,0.15,Q5 (high),786.95,73.8,0.03532432072063415,0.18051035435246204,3.4811973424768468,1.0
COCO val,OWL-ViT,0.2,Q1 (low),409.95,0.0,0.0,0.0,0.1728039428440414,1.0
COCO val,OWL-ViT,0.2,Q2,417.2,0.0,0.0,0.0,0.23638423272995582,1.0
COCO val,OWL-ViT,0.2,Q3,425.0,0.0,0.0,0.0,0.2944069868277576,1.0
COCO val,OWL-ViT,0.2,Q4,448.05,0.0,0.0,0.0,0.46375466208524385,1.0
COCO val,OWL-ViT,0.2,Q5 (high),786.95,84.95,0.0380209358944394,0.2069476806936476,3.4811973424768468,1.0
COCO val,YOLO-World,0.05,Q1 (low),101.65,0.0,0.0,0.0,0.06703550484193065,1.0
COCO val,YOLO-World,0.05,Q2,106.7,0.0,0.0,0.0,0.07132607391254663,1.0
COCO val,YOLO-World,0.05,Q3,113.75,0.0,0.0,0.0,0.10064908716210304,1.0
COCO val,YOLO-World,0.05,Q4,126.35,0.0,0.0,0.0,0.1452739494912791,1.0
COCO val,YOLO-World,0.05,Q5 (high),355.9,53.3,0.029169292701228432,0.18940161343876316,5.422140744726759,0.75
COCO val,YOLO-World,0.1,Q1 (low),101.65,0.0,0.0,0.0,0.06703550484193065,1.0
COCO val,YOLO-World,0.1,Q2,106.7,0.0,0.0,0.0,0.07132607391254663,1.0
COCO val,YOLO-World,0.1,Q3,113.75,0.0,0.0,0.0,0.10064908716210304,1.0
COCO val,YOLO-World,0.1,Q4,126.35,0.0,0.0,0.0,0.1452739494912791,1.0
COCO val,YOLO-World,0.1,Q5 (high),355.9,62.5,0.03082049144369391,0.22073865216048202,5.422140744726759,1.0
COCO val,YOLO-World,0.15,Q1 (low),101.65,0.0,0.0,0.0,0.06703550484193065,1.0
COCO val,YOLO-World,0.15,Q2,106.7,0.0,0.0,0.0,0.07132607391254663,1.0
COCO val,YOLO-World,0.15,Q3,113.75,0.0,0.0,0.0,0.10064908716210304,1.0
COCO val,YOLO-World,0.15,Q4,126.35,0.0,0.0,0.0,0.1452739494912791,1.0
COCO val,YOLO-World,0.15,Q5 (high),355.9,67.85,0.0342222379635397,0.23788116433355774,5.422140744726759,1.0
COCO val,YOLO-World,0.2,Q1 (low),101.65,0.0,0.0,0.0,0.06703550484193065,1.0
COCO val,YOLO-World,0.2,Q2,106.7,0.0,0.0,0.0,0.07132607391254663,1.0
