seed,alpha,method,total_rejections,fp,tp,pooled_fdp,mean_family_fdp,recall,n_test_families,n_cal_null
0,0.05,pvalue_by,240,33,207,0.1375,0.05223214285714286,0.37163375224416517,560,5115
0,0.1,pvalue_by,305,58,247,0.1901639344262295,0.0900297619047619,0.44344703770197486,560,5115
0,0.15,pvalue_by,354,81,273,0.2288135593220339,0.11535714285714285,0.49012567324955114,560,5115
0,0.2,pvalue_by,388,98,290,0.25257731958762886,0.137891156462585,0.5206463195691203,560,5115
1,0.05,pvalue_by,209,26,183,0.12440191387559808,0.04285714285714286,0.3376383763837638,560,5098
1,0.1,pvalue_by,258,44,214,0.17054263565891473,0.06934523809523808,0.3948339483394834,560,5098
1,0.15,pvalue_by,294,60,234,0.20408163265306123,0.0863095238095238,0.4317343173431734,560,5098
1,0.2,pvalue_by,332,84,248,0.25301204819277107,0.11702380952380952,0.4575645756457565,560,5098
2,0.05,pvalue_by,261,36,225,0.13793103448275862,0.05725198412698412,0.40834845735027225,560,5273
2,0.1,pvalue_by,330,56,274,0.1696969696969697,0.08176835317460317,0.49727767695099817,560,5273
2,0.15,pvalue_by,382,87,295,0.22774869109947643,0.11835884353741498,0.5353901996370236,560,5273
2,0.2,pvalue_by,408,102,306,0.25,0.13389455782312923,0.5553539019963702,560,5273
3,0.05,pvalue_by,225,17,208,0.07555555555555556,0.027142857142857142,0.38661710037174724,560,5129
3,0.1,pvalue_by,276,28,248,0.10144927536231885,0.04157738095238095,0.46096654275092935,560,5129
3,0.15,pvalue_by,304,47,257,0.15460526315789475,0.06997023809523809,0.47769516728624534,560,5129
3,0.2,pvalue_by,343,66,277,0.1924198250728863,0.09809948979591836,0.5148698884758365,560,5129
4,0.05,pvalue_by,235,25,210,0.10638297872340426,0.03943452380952381,0.38391224862888484,560,4923
4,0.1,pvalue_by,309,44,265,0.1423948220064725,0.06551445578231292,0.4844606946983547,560,4923
4,0.15,pvalue_by,339,60,279,0.17699115044247787,0.08752232142857143,0.5100548446069469,560,4923
4,0.2,pvalue_by,375,80,295,0.21333333333333335,0.10643849206349205,0.5393053016453382,560,4923
