table,dataset,detector,alpha,method,fdp_pooled_mean,fdp_pooled_std,fdp_family_mean,recall_mean,rejections_mean,phi_max_median,loo_mean,n_seeds,source,pooled_bound_eps,pooled_bound_delta,pooled_bound_covered,pooled_bound_eps_stratified
table2_baselines,COCO val,GDino,0.05,topk_calibrated,0.6736499068901304,0.019854120580498607,0.6736499068901304,0.2548368725189435,537.0,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,GDino,0.1,topk_calibrated,0.6736499068901304,0.019854120580498607,0.6736499068901304,0.2548368725189435,537.0,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,GDino,0.15,topk_calibrated,0.6736499068901304,0.019854120580498607,0.6736499068901304,0.2548368725189435,537.0,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,GDino,0.2,topk_calibrated,0.6736499068901304,0.019854120580498607,0.6736499068901304,0.2548368725189435,537.0,,,20,outputs/coco_groundingdino_gonogo_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,GDino,0.05,ihw_lite_K,0.052793793056262306,0.02280694175261565,0.05596943038645695,0.19197493927189205,140.45,,,20,outputs/coco_gdino_1000_20seed_formal_hist,,0.55,0.3,
table2_baselines,COCO val,GDino,0.1,ihw_lite_K,0.08072411140341536,0.03793379385218384,0.0790031842276468,0.2751661133366431,209.35,,,20,outputs/coco_gdino_1000_20seed_formal_hist,,0.8,0.8,
table2_baselines,COCO val,GDino,0.15,ihw_lite_K,0.13844799499380547,0.09031159993758543,0.11259397715066036,0.3312532060882927,279.05,,,20,outputs/coco_gdino_1000_20seed_formal_hist,,0.75,0.85,
table2_baselines,COCO val,GDino,0.2,ihw_lite_K,0.18678273816693788,0.12142940600306927,0.1496394740692112,0.36497518295936565,337.85,,,20,outputs/coco_gdino_1000_20seed_formal_hist,,0.75,0.85,
table2_baselines,COCO val,OWL-ViT,0.05,topk_calibrated,0.29899598393574295,0.02428849650003974,0.29899598393574295,0.32822079201544063,249.0,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,OWL-ViT,0.1,topk_calibrated,0.29899598393574295,0.02428849650003974,0.29899598393574295,0.32822079201544063,249.0,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,OWL-ViT,0.15,topk_calibrated,0.29899598393574295,0.02428849650003974,0.29899598393574295,0.32822079201544063,249.0,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,OWL-ViT,0.2,topk_calibrated,0.29899598393574295,0.02428849650003974,0.29899598393574295,0.32822079201544063,249.0,,,20,outputs/coco_owlvit_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,OWL-ViT,0.05,ihw_lite_K,0.0490575228039961,0.032553783126510256,0.04586840208301492,0.1716805301261504,96.15,,,20,outputs/coco_owlvit_1000_20seed_formal_hist,,0.65,0.6,
table2_baselines,COCO val,OWL-ViT,0.1,ihw_lite_K,0.07772639876840752,0.0390461903124051,0.06545787187127709,0.25137218117548515,146.25,,,20,outputs/coco_owlvit_1000_20seed_formal_hist,,0.8,0.9,
table2_baselines,COCO val,OWL-ViT,0.15,ihw_lite_K,0.12591433195697257,0.06543339993942218,0.09491241871451654,0.3425397442307283,213.05,,,20,outputs/coco_owlvit_1000_20seed_formal_hist,,0.8,0.9,
table2_baselines,COCO val,OWL-ViT,0.2,ihw_lite_K,0.16895038069792365,0.07776010650499098,0.1275714310730488,0.3975851237366701,262.35,,,20,outputs/coco_owlvit_1000_20seed_formal_hist,,0.7,0.95,
table2_baselines,COCO val,YOLO-World,0.05,topk_calibrated,0.22738095238095238,0.030270097327538305,0.22738095238095238,0.41607229875152296,210.0,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,YOLO-World,0.1,topk_calibrated,0.22738095238095238,0.030270097327538305,0.22738095238095238,0.41607229875152296,210.0,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,YOLO-World,0.15,topk_calibrated,0.22738095238095238,0.030270097327538305,0.22738095238095238,0.41607229875152296,210.0,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,0.0,0.0,
table2_baselines,COCO val,YOLO-World,0.2,topk_calibrated,0.22738095238095238,0.030270097327538305,0.22738095238095238,0.41607229875152296,210.0,,,20,outputs/coco_yoloworld_val_1000_mix_analysis,,0.15,0.15,
table2_baselines,COCO val,YOLO-World,0.05,ihw_lite_K,0.06043223103122919,0.03224143595151024,0.052622922389212526,0.38391138215663057,160.65,,,20,outputs/coco_yoloworld_val_1000_20seed_formal_hist,,0.45,0.55,
table2_baselines,COCO val,YOLO-World,0.1,ihw_lite_K,0.1035266895739897,0.07336197184042487,0.08208587033560596,0.475565317073503,212.15,,,20,outputs/coco_yoloworld_val_1000_20seed_formal_hist,,0.6,0.85,
table2_baselines,COCO val,YOLO-World,0.15,ihw_lite_K,0.1396153280696871,0.09893589731322425,0.10424502617521292,0.5392372914549887,252.05,,,20,outputs/coco_yoloworld_val_1000_20seed_formal_hist,,0.85,0.95,
table2_baselines,COCO val,YOLO-World,0.2,ihw_lite_K,0.16468838101554942,0.09671121807036623,0.12499438510026657,0.5989128534229924,289.4,,,20,outputs/coco_yoloworld_val_1000_20seed_formal_hist,,0.8,1.0,
table2_baselines,VOC 2012,GDino,0.05,topk_calibrated,0.6503577817531305,0.016635029102830032,0.6503577817531305,0.34526590058539935,559.0,,,20,outputs/voc_1000_gdino_analysis,,0.0,0.0,
table2_baselines,VOC 2012,GDino,0.1,topk_calibrated,0.6503577817531305,0.016635029102830032,0.6503577817531305,0.34526590058539935,559.0,,,20,outputs/voc_1000_gdino_analysis,,0.0,0.0,
table2_baselines,VOC 2012,GDino,0.15,topk_calibrated,0.6503577817531305,0.016635029102830032,0.6503577817531305,0.34526590058539935,559.0,,,20,outputs/voc_1000_gdino_analysis,,0.0,0.0,
table2_baselines,VOC 2012,GDino,0.2,topk_calibrated,0.6503577817531305,0.016635029102830032,0.6503577817531305,0.34526590058539935,559.0,,,20,outputs/voc_1000_gdino_analysis,,0.0,0.0,
table2_baselines,VOC 2012,GDino,0.05,ihw_lite_K,0.09429895492014388,0.025984181193403483,0.11392705981769236,0.30475222857799167,191.05,,,20,outputs/voc_gdino_1000_20seed_formal_hist,,0.05,0.0,
table2_baselines,VOC 2012,GDino,0.1,ihw_lite_K,0.15587070409613285,0.032859159861026464,0.19134121910492563,0.4176428421406002,280.55,,,20,outputs/voc_gdino_1000_20seed_formal_hist,,0.0,0.0,
table2_baselines,VOC 2012,GDino,0.15,ihw_lite_K,0.20725888426668743,0.03030845700019769,0.25374664652545764,0.4985773629386186,356.6,,,20,outputs/voc_gdino_1000_20seed_formal_hist,,0.05,0.0,
table2_baselines,VOC 2012,GDino,0.2,ihw_lite_K,0.2539852749139449,0.028808768099500177,0.3092731236372659,0.5315065780613764,404.3,,,20,outputs/voc_gdino_1000_20seed_formal_hist,,0.05,0.0,
table2_baselines,VOC 2012,OWL-ViT,0.05,topk_calibrated,0.25498007968127484,0.023409999139363157,0.25498007968127484,0.4298917816332325,251.0,,,20,outputs/voc_1000_owlvit_analysis,,0.0,0.0,
table2_baselines,VOC 2012,OWL-ViT,0.1,topk_calibrated,0.25498007968127484,0.023409999139363157,0.25498007968127484,0.4298917816332325,251.0,,,20,outputs/voc_1000_owlvit_analysis,,0.0,0.0,
table2_baselines,VOC 2012,OWL-ViT,0.15,topk_calibrated,0.25498007968127484,0.023409999139363157,0.25498007968127484,0.4298917816332325,251.0,,,20,outputs/voc_1000_owlvit_analysis,,0.0,0.0,
table2_baselines,VOC 2012,OWL-ViT,0.2,topk_calibrated,0.25498007968127484,0.023409999139363157,0.25498007968127484,0.4298917816332325,251.0,,,20,outputs/voc_1000_owlvit_analysis,,0.0,0.0,
table2_baselines,VOC 2012,OWL-ViT,0.05,ihw_lite_K,0.032429618699794674,0.031142808597572392,0.026357623008480706,0.14406105399603614,64.95,,,20,outputs/voc_owlvit_1000_20seed_formal_hist,,0.75,0.85,
table2_baselines,VOC 2012,OWL-ViT,0.1,ihw_lite_K,0.06500581458551799,0.04320890735969483,0.05485438080900288,0.21273125387925393,99.6,,,20,outputs/voc_owlvit_1000_20seed_formal_hist,,0.85,0.95,
table2_baselines,VOC 2012,OWL-ViT,0.15,ihw_lite_K,0.09897405619311447,0.03989056507648066,0.08213965359106004,0.3315435325346824,161.65,,,20,outputs/voc_owlvit_1000_20seed_formal_hist,,0.9,1.0,
table2_baselines,VOC 2012,OWL-ViT,0.2,ihw_lite_K,0.15153318964600515,0.06476668721957582,0.11341900457184399,0.42703062335185854,223.75,,,20,outputs/voc_owlvit_1000_20seed_formal_hist,,0.8,1.0,
table2_baselines,VOC 2012,YOLO-World,0.05,topk_calibrated,0.1823529411764706,0.024324715518853707,0.1823529411764706,0.5014744640943973,238.0,,,20,outputs/voc_yoloworld_1000_mix_analysis,,0.0,0.0,
table2_baselines,VOC 2012,YOLO-World,0.1,topk_calibrated,0.1823529411764706,0.024324715518853707,0.1823529411764706,0.5014744640943973,238.0,,,20,outputs/voc_yoloworld_1000_mix_analysis,,0.0,0.0,
table2_baselines,VOC 2012,YOLO-World,0.15,topk_calibrated,0.1823529411764706,0.024324715518853707,0.1823529411764706,0.5014744640943973,238.0,,,20,outputs/voc_yoloworld_1000_mix_analysis,,0.1,0.1,
table2_baselines,VOC 2012,YOLO-World,0.2,topk_calibrated,0.1823529411764706,0.024324715518853707,0.1823529411764706,0.5014744640943973,238.0,,,20,outputs/voc_yoloworld_1000_mix_analysis,,0.75,0.75,
table2_baselines,VOC 2012,YOLO-World,0.05,ihw_lite_K,0.04407490166693879,0.016232666935778954,0.043872620219654955,0.6574975497449298,267.9,,,20,outputs/voc_yoloworld_1000_20seed_formal_hist,,0.65,0.75,
table2_baselines,VOC 2012,YOLO-World,0.1,ihw_lite_K,0.07948054711632394,0.023214835903369646,0.07213431484963405,0.7605738248537878,322.05,,,20,outputs/voc_yoloworld_1000_20seed_formal_hist,,0.8,0.9,
table2_baselines,VOC 2012,YOLO-World,0.15,ihw_lite_K,0.11464538137294138,0.027009623315198773,0.10541993030098828,0.8167405845454583,359.9,,,20,outputs/voc_yoloworld_1000_20seed_formal_hist,,0.95,0.95,
table2_baselines,VOC 2012,YOLO-World,0.2,ihw_lite_K,0.15059195073800605,0.026076098657973053,0.13821600633597303,0.858206831940497,394.1,,,20,outputs/voc_yoloworld_1000_20seed_formal_hist,,1.0,1.0,
