threshold,fdp_pooled,fdp_family,recall,rejections
0.05,0.8891305506155944,0.8684721713491301,1.0,6181.45
0.055,0.8781624756141205,0.8569297289566016,0.9714275866567723,5468.6
0.06,0.8671301984864559,0.8438979792715349,0.9416355760858053,4861.2
0.065,0.854534999445532,0.8293241760380008,0.9241576503196891,4358.8
0.07,0.8412952074150544,0.8120362142320012,0.9094767207270703,3933.05
0.075,0.8285644855005602,0.7982974928977951,0.8925075798609153,3573.65
0.08,0.8168622740414995,0.7852343384967637,0.8714425710413701,3267.0
0.085,0.8054266405724999,0.7727231222697646,0.8533554584309897,3012.35
0.09,0.7941530077809468,0.7606240093629029,0.8359051438001132,2790.0
0.095,0.7815628734627247,0.7440740071010739,0.8244336579540702,2594.35
0.1,0.7687510477018493,0.7285732926288068,0.815976396673784,2426.7
0.105,0.7572351788146936,0.7146298260227535,0.8028609991941457,2275.2
0.11,0.746653649099924,0.7020347090923618,0.7905948572662895,2146.55
0.115,0.7356184922613164,0.6894207077950428,0.7800170923355318,2029.9
0.12,0.7262545767434735,0.6774926284395028,0.7682680172439467,1931.1
0.125,0.7142807542601786,0.6640165217187054,0.7573610806767076,1824.05
0.13,0.7043418504257135,0.6513672078257041,0.7465432618389027,1738.15
0.135,0.6940743068299644,0.6392112640927012,0.7352931642584022,1654.75
0.14,0.6822813069216423,0.6263100243946504,0.7272691278379858,1576.7
0.145,0.6733934068690436,0.61577012705294,0.7177161532628931,1514.4
0.15,0.6624712235007937,0.6056577043083627,0.7090181255617904,1447.85
0.155,0.6505300535009387,0.5900010854080339,0.6990189972664476,1379.55
0.16,0.6394710163685774,0.5748027516880965,0.693450835256152,1327.75
0.165,0.6283890722298369,0.5647571570428049,0.6858658525111142,1274.55
0.17,0.6184844641820788,0.5531362025235615,0.6777764185405576,1227.25
0.175,0.6086960548303566,0.5410345506772332,0.670990512409451,1184.8
0.18,0.5979338546677598,0.5304275052480556,0.6663625363532433,1146.2
0.185,0.5872476525979354,0.5185292391441741,0.660200264941296,1106.2
0.19,0.578373732727923,0.5068600762796616,0.6542553693258831,1073.55
0.195,0.5682542169800319,0.49423754903804157,0.6486181216513116,1039.75
0.2,0.5598743881501648,0.48550191514602803,0.6415948926688845,1009.0
0.205,0.5486403835074166,0.47354158204793617,0.6387417488760734,979.85
0.21,0.538925564159028,0.46709027340619,0.6333235855169276,951.5
0.215,0.5302959585098298,0.4563048608954916,0.629015754848209,928.15
0.22,0.5227602419993116,0.4449510985819975,0.6236474871439396,905.85
0.225,0.5141238837330084,0.4321766316839665,0.6155907305343368,879.05
0.23,0.5059895987136314,0.4197748488712046,0.6110790941805156,858.55
0.235,0.4984833746931532,0.4083591451258676,0.6058503159207855,839.0
0.24,0.4899542677149912,0.3963005896717001,0.5978461701441349,814.7
0.245,0.482205593116512,0.3886880364462682,0.5945789068341422,798.45
0.25,0.47633806445764443,0.38086122671529143,0.5886990034276789,781.35
0.255,0.4669374803743619,0.3658892236773899,0.5812658154641986,758.1
0.26,0.45897272892066354,0.35537510042288506,0.5747143738293996,738.4
0.265,0.44997509218232157,0.34666142248216864,0.5698412162586862,720.15
0.27,0.4426086574104337,0.34077690596948745,0.5647845274524392,704.3
0.275,0.43315719168307043,0.3319589284539163,0.5612338799025645,687.65
0.28,0.42608719448797505,0.3245701817060873,0.558145938061546,674.9
0.285,0.4154607891018654,0.3168807824286277,0.5537144908394147,656.9
0.29,0.40637055010466616,0.3096706620161064,0.5490449371569079,641.1
0.295,0.3962970086394241,0.3020714538412124,0.5457194451030516,626.25
0.3,0.3910613928460366,0.2966135234587887,0.5393058471413916,613.0
0.305,0.38480166195525667,0.29011868348156067,0.5330443066294608,599.8
0.31,0.37875183369536003,0.28167942207664126,0.5241525503991118,583.95
0.315,0.36982705278933137,0.2704999416385906,0.519537331899928,570.45
0.32,0.3634166503231228,0.26580595124500006,0.5152583259846726,560.15
0.325,0.35115668284435936,0.2561170750255512,0.5112459432070338,544.85
0.33,0.3444289915111973,0.24924712762025578,0.5060563884196669,533.3
0.335,0.33699897236476767,0.24224841230021377,0.5031475147846752,524.0
0.34,0.33204537860055267,0.23833220639396036,0.4965464386391555,513.05
0.345,0.32187503712275145,0.22575827996998016,0.49140220872398616,499.95
0.35,0.3150436465851157,0.21978433815657156,0.487556827909671,490.95
0.355,0.30711854785020903,0.21542541662223366,0.48296428100244315,480.55
0.36,0.29748579126048774,0.2097597502303036,0.47792929881074403,469.05
0.365,0.2872417080148072,0.20559876249848363,0.4733336774623407,457.5
0.37,0.2776686381023902,0.19886139529900052,0.46781280002445697,445.85
0.375,0.2684824345105019,0.1927041819584471,0.4627331081705238,435.3
0.38,0.2617397722648083,0.18742504025661558,0.45631239086263686,425.1
0.385,0.2546290859435529,0.18262639187534138,0.4499816146241689,415.0
0.39,0.24644870932437582,0.17546080198178166,0.4443869481365083,405.2
