seed,alpha,method,threshold,cal_fdp,rejections,fp,tp,fdp_pooled,fdp_family,recall
0,0.05,score_threshold_cal,0.6149999999999998,0.042682926829268296,211,8,203,0.037914691943127965,0.04201680672268908,0.2954876273653566
0,0.1,score_threshold_cal,0.5049999999999998,0.09090909090909091,301,38,263,0.12624584717607973,0.08436620511088595,0.38282387190684136
0,0.15,score_threshold_cal,0.4649999999999998,0.1411764705882353,352,64,288,0.18181818181818182,0.10061865619760356,0.4192139737991266
0,0.2,score_threshold_cal,0.4049999999999998,0.19877675840978593,465,134,331,0.28817204301075267,0.15847698697161064,0.48180494905385735
1,0.05,score_threshold_cal,0.6699999999999997,0.04827586206896552,174,3,171,0.017241379310344827,0.02180685358255452,0.23717059639389737
1,0.1,score_threshold_cal,0.5899999999999997,0.09905660377358491,221,7,214,0.03167420814479638,0.033516988062442604,0.29680998613037446
1,0.15,score_threshold_cal,0.5099999999999998,0.14391143911439114,268,17,251,0.06343283582089553,0.04964844998402045,0.34812760055478503
1,0.2,score_threshold_cal,0.4649999999999998,0.19756838905775076,308,30,278,0.09740259740259741,0.07905299828376751,0.3855755894590846
2,0.05,score_threshold_cal,0.6399999999999998,0.047058823529411764,157,5,152,0.03184713375796178,0.033639143730886854,0.2040268456375839
2,0.1,score_threshold_cal,0.5499999999999998,0.0954356846473029,212,23,189,0.10849056603773585,0.06303492944714319,0.2536912751677852
2,0.15,score_threshold_cal,0.48499999999999976,0.1485148514851485,285,54,231,0.18947368421052632,0.08342218607873257,0.3100671140939597
2,0.2,score_threshold_cal,0.4399999999999998,0.1983695652173913,352,90,262,0.2556818181818182,0.1226428011379075,0.3516778523489933
3,0.05,score_threshold_cal,0.5949999999999998,0.04891304347826087,175,15,160,0.08571428571428572,0.08690476190476189,0.2250351617440225
3,0.1,score_threshold_cal,0.5399999999999998,0.09813084112149532,209,24,185,0.11483253588516747,0.1045271629778672,0.26019690576652604
3,0.15,score_threshold_cal,0.48999999999999977,0.1469387755102041,252,35,217,0.1388888888888889,0.120511433011433,0.30520393811533053
3,0.2,score_threshold_cal,0.4349999999999998,0.2,320,66,254,0.20625,0.17699757869249394,0.35724331926863573
4,0.05,score_threshold_cal,0.6099999999999998,0.05,174,7,167,0.040229885057471264,0.02704031465093412,0.2585139318885449
4,0.1,score_threshold_cal,0.5099999999999998,0.09765625,233,24,209,0.10300429184549356,0.06366906474820144,0.3235294117647059
4,0.15,score_threshold_cal,0.4649999999999998,0.14333333333333334,267,39,228,0.14606741573033707,0.10737362086843057,0.35294117647058826
4,0.2,score_threshold_cal,0.42999999999999977,0.18950437317784258,311,57,254,0.1832797427652733,0.13474794436332896,0.3931888544891641
5,0.05,score_threshold_cal,0.5899999999999997,0.05,181,12,169,0.06629834254143646,0.044314829713059806,0.2908777969018933
5,0.1,score_threshold_cal,0.5399999999999998,0.09170305676855896,212,25,187,0.1179245283018868,0.045545314900153615,0.3218588640275387
5,0.15,score_threshold_cal,0.48499999999999976,0.14855072463768115,255,43,212,0.16862745098039217,0.08713187977893859,0.3648881239242685
5,0.2,score_threshold_cal,0.4499999999999998,0.196875,291,58,233,0.19931271477663232,0.13226523717595146,0.4010327022375215
6,0.05,score_threshold_cal,0.5849999999999997,0.047619047619047616,221,18,203,0.08144796380090498,0.048263031734106114,0.2827298050139276
6,0.1,score_threshold_cal,0.5099999999999998,0.09163346613545817,278,39,239,0.14028776978417265,0.07472682309638831,0.3328690807799443
6,0.15,score_threshold_cal,0.4599999999999998,0.14666666666666667,343,74,269,0.21574344023323616,0.1174514975139325,0.3746518105849582
6,0.2,score_threshold_cal,0.4149999999999998,0.19718309859154928,426,124,302,0.29107981220657275,0.12483467273098381,0.4206128133704735
