seed,n_tp,n_tp_reachable_T1,n_tp_reachable_tight,n_tp_rejected,n_rejected_total,ceiling_T1,ceiling_tight,actual_recall,official_recall,efficiency_T1,efficiency_tight,C_m,m,phi_max,n_tp_score>=0.0,ceiling_score>=0.0,n_tp_score>=0.1,ceiling_score>=0.1,n_tp_score>=0.2,ceiling_score>=0.2,n_tp_score>=0.3,ceiling_score>=0.3,n_tp_score>=0.4,ceiling_score>=0.4,n_tp_score>=0.5,ceiling_score>=0.5,config
0,715,108,129,129,133,0.15104895104895105,0.18041958041958042,0.18041958041958042,0.1804195804195804,1.1944444444444444,1.0,5447.559607554503,5128,299.79182509505705,715,0.15104895104895105,565,0.1911504424778761,439,0.2460136674259681,371,0.29110512129380056,292,0.3698630136986301,225,0.48,COCO-1k/GDino
1,660,105,149,149,155,0.1590909090909091,0.22575757575757577,0.22575757575757577,0.2257575757575757,1.4190476190476191,1.0,4983.756032121619,5218,216.83808283124355,660,0.1590909090909091,536,0.1958955223880597,429,0.24475524475524477,372,0.28225806451612906,308,0.3409090909090909,249,0.42168674698795183,COCO-1k/GDino
2,672,93,107,107,118,0.13839285714285715,0.15922619047619047,0.15922619047619047,0.1592261904761904,1.150537634408602,1.0,4372.8376732727,4569,461.5551106924164,672,0.13839285714285715,546,0.17032967032967034,425,0.2188235294117647,350,0.26571428571428574,269,0.34572490706319703,214,0.43457943925233644,COCO-1k/GDino
3,609,125,136,136,140,0.20525451559934318,0.2233169129720854,0.2233169129720854,0.2233169129720854,1.088,1.0,6683.0194799518995,6073,315.7956457199406,609,0.20525451559934318,486,0.257201646090535,385,0.3246753246753247,319,0.39184952978056425,266,0.4699248120300752,213,0.5868544600938967,COCO-1k/GDino
4,647,96,113,113,118,0.14837712519319937,0.17465224111282843,0.17465224111282843,0.1746522411128284,1.1770833333333333,1.0,6652.029391665021,5632,361.55596687773993,647,0.14837712519319937,520,0.18461538461538463,407,0.23587223587223588,345,0.2782608695652174,273,0.3516483516483517,207,0.463768115942029,COCO-1k/GDino
5,718,109,141,141,147,0.15181058495821728,0.19637883008356546,0.19637883008356546,0.1963788300835654,1.2935779816513762,1.0,4800.607775490318,5491,271.2182243985523,718,0.15181058495821728,578,0.18858131487889274,448,0.24330357142857142,379,0.287598944591029,294,0.3707482993197279,234,0.4658119658119658,COCO-1k/GDino
6,704,133,182,182,187,0.18892045454545456,0.2585227272727273,0.2585227272727273,0.2585227272727273,1.368421052631579,1.0,4533.371250013106,5210,386.7383391347588,704,0.18892045454545456,578,0.2301038062283737,469,0.2835820895522388,402,0.3308457711442786,337,0.39465875370919884,282,0.4716312056737589,COCO-1k/GDino
7,635,106,133,133,136,0.16692913385826771,0.2094488188976378,0.2094488188976378,0.2094488188976378,1.2547169811320755,1.0,5807.51242235998,5927,298.5976202039825,635,0.16692913385826771,526,0.20152091254752852,423,0.25059101654846333,348,0.3045977011494253,281,0.37722419928825623,220,0.4818181818181818,COCO-1k/GDino
8,704,108,124,124,125,0.1534090909090909,0.17613636363636365,0.17613636363636365,0.1761363636363636,1.1481481481481481,1.0,5623.464934637858,4927,357.83823675086677,704,0.1534090909090909,570,0.18947368421052632,434,0.2488479262672811,361,0.29916897506925205,281,0.38434163701067614,215,0.5023255813953489,COCO-1k/GDino
9,720,94,115,115,120,0.13055555555555556,0.1597222222222222,0.1597222222222222,0.1597222222222222,1.2234042553191489,1.0,5107.081296339709,4713,299.85816277962874,720,0.13055555555555556,578,0.16262975778546712,443,0.21218961625282168,365,0.25753424657534246,297,0.3164983164983165,223,0.42152466367713004,COCO-1k/GDino
