seed,n_tp,n_tp_reachable_T1,n_tp_reachable_tight,n_tp_rejected,n_rejected_total,ceiling_T1,ceiling_tight,actual_recall,official_recall,efficiency_T1,efficiency_tight,C_m,m,phi_max,n_tp_score>=0.0,ceiling_score>=0.0,n_tp_score>=0.1,ceiling_score>=0.1,n_tp_score>=0.2,ceiling_score>=0.2,n_tp_score>=0.3,ceiling_score>=0.3,n_tp_score>=0.4,ceiling_score>=0.4,n_tp_score>=0.5,ceiling_score>=0.5,config
10,648,103,142,142,146,0.15895061728395063,0.2191358024691358,0.2191358024691358,0.2191358024691358,1.378640776699029,1.0,4994.787894831646,5666,360.4477697841727,648,0.15895061728395063,527,0.1954459203036053,413,0.24939467312348668,362,0.2845303867403315,294,0.35034013605442177,236,0.4364406779661017,COCO-1k/GDino
11,627,97,121,121,131,0.1547049441786284,0.19298245614035087,0.19298245614035087,0.1929824561403508,1.247422680412371,1.0,5116.518996033953,5981,279.35694183864916,627,0.1547049441786284,511,0.1898238747553816,399,0.24310776942355888,334,0.2904191616766467,267,0.36329588014981273,213,0.45539906103286387,COCO-1k/GDino
12,811,99,116,116,119,0.1220715166461159,0.14303329223181258,0.14303329223181258,0.1430332922318125,1.1717171717171717,1.0,5938.082748735635,5178,456.84972052845524,811,0.1220715166461159,665,0.14887218045112782,503,0.19681908548707752,412,0.24029126213592233,325,0.3046153846153846,244,0.4057377049180328,COCO-1k/GDino
13,563,92,108,108,112,0.16341030195381884,0.19182948490230906,0.19182948490230906,0.191829484902309,1.1739130434782608,1.0,9468.642715821326,6367,284.0144003777148,563,0.16341030195381884,464,0.19827586206896552,356,0.25842696629213485,299,0.3076923076923077,245,0.37551020408163266,192,0.4791666666666667,COCO-1k/GDino
14,701,84,117,117,120,0.11982881597717546,0.16690442225392296,0.16690442225392296,0.1669044222539229,1.3928571428571428,1.0,5435.380004044244,4703,510.06604459524965,701,0.11982881597717546,568,0.14788732394366197,430,0.19534883720930232,356,0.23595505617977527,293,0.28668941979522183,225,0.37333333333333335,COCO-1k/GDino
15,702,88,106,106,109,0.12535612535612536,0.150997150997151,0.150997150997151,0.150997150997151,1.2045454545454544,1.0,5874.1164116656255,4960,470.78306374881066,702,0.12535612535612536,569,0.1546572934973638,432,0.2037037037037037,333,0.26426426426426425,269,0.3271375464684015,212,0.41509433962264153,COCO-1k/GDino
16,747,99,128,128,134,0.13253012048192772,0.1713520749665328,0.1713520749665328,0.1713520749665328,1.2929292929292928,1.0,5164.901525015394,4543,508.1800188501414,747,0.13253012048192772,605,0.16363636363636364,470,0.21063829787234042,397,0.24937027707808565,311,0.3183279742765273,242,0.4090909090909091,COCO-1k/GDino
17,613,102,117,117,122,0.16639477977161501,0.19086460032626426,0.19086460032626426,0.1908646003262642,1.1470588235294117,1.0,7654.459907278879,5908,461.68634146341464,613,0.16639477977161501,494,0.20647773279352227,386,0.26424870466321243,325,0.31384615384615383,263,0.38783269961977185,203,0.5024630541871922,COCO-1k/GDino
18,805,102,124,124,132,0.1267080745341615,0.15403726708074533,0.15403726708074533,0.1540372670807453,1.2156862745098038,1.0,4069.709005407282,4767,348.364500484966,805,0.1267080745341615,654,0.1559633027522936,478,0.21338912133891214,386,0.26424870466321243,297,0.3434343434343434,233,0.43776824034334766,COCO-1k/GDino
19,844,140,166,166,176,0.16587677725118483,0.1966824644549763,0.1966824644549763,0.1966824644549763,1.1857142857142857,1.0,3977.124669960797,4813,355.7014691478942,844,0.16587677725118483,696,0.20114942528735633,519,0.2697495183044316,433,0.3233256351039261,345,0.4057971014492754,280,0.5,COCO-1k/GDino
0,3487,501,640,640,674,0.14367651276168628,0.18353885861772298,0.18353885861772298,0.1835388586177229,1.2774451097804391,1.0,28030.67895166982,27844,426.16070247933885,3487,0.14367651276168628,2772,0.18073593073593072,2242,0.22346119536128456,1878,0.26677316293929715,1582,0.3166877370417193,1271,0.3941778127458694,COCO-full/GDino
1,3510,434,543,543,570,0.12364672364672365,0.1547008547008547,0.1547008547008547,0.1547008547008547,1.2511520737327189,1.0,25810.86233271469,27463,369.3084832365087,3510,0.12364672364672365,2775,0.1563963963963964,2242,0.1935771632471008,1866,0.23258306538049303,1560,0.2782051282051282,1258,0.3441971383147854,COCO-full/GDino
2,3425,457,552,552,579,0.13343065693430656,0.16116788321167883,0.16116788321167883,0.1611678832116788,1.2078774617067833,1.0,27971.160410292196,28683,477.92578496226594,3425,0.13343065693430656,2760,0.16557971014492753,2226,0.20530098831985624,1875,0.24373333333333333,1544,0.2959844559585492,1237,0.3694421988682296,COCO-full/GDino
3,3362,456,575,575,652,0.1356335514574658,0.1710291493158834,0.1710291493158834,0.1710291493158834,1.2609649122807016,1.0,33513.102559107036,29552,391.8725805463677,3362,0.1356335514574658,2701,0.16882636060718254,2156,0.21150278293135436,1802,0.25305216426193117,1464,0.3114754098360656,1168,0.3904109589041096,COCO-full/GDino
4,3390,477,603,603,631,0.1407079646017699,0.17787610619469027,0.17787610619469027,0.1778761061946902,1.2641509433962266,1.0,30736.20416283368,28273,453.1329759948529,3390,0.1407079646017699,2742,0.1739606126914661,2255,0.21152993348115298,1894,0.2518479408658923,1565,0.3047923322683706,1239,0.38498789346246975,COCO-full/GDino
5,3411,437,529,529,552,0.12811492231017296,0.15508648490178834,0.15508648490178834,0.1550864849017883,1.2105263157894737,1.0,33169.70374832085,29908,496.084391351185,3411,0.12811492231017296,2729,0.16013191645291316,2194,0.199179580674567,1807,0.24183729939125623,1470,0.2972789115646258,1165,0.3742489270386266,COCO-full/GDino
6,3349,439,536,536,579,0.13108390564347566,0.1600477754553598,0.1600477754553598,0.1600477754553598,1.2209567198177678,1.0,30275.715602115066,29950,435.254916095959,3349,0.13108390564347566,2646,0.1659108087679516,2104,0.20865019011406843,1781,0.24649073554183043,1501,0.29247168554297137,1198,0.3664440734557596,COCO-full/GDino
7,3462,469,586,586,620,0.13547082611207395,0.16926632004621606,0.16926632004621606,0.169266320046216,1.2494669509594882,1.0,28952.5771846204,29384,357.18644558086675,3462,0.13547082611207395,2771,0.16925297726452543,2261,0.20743034055727555,1879,0.24960085151676423,1555,0.3016077170418006,1221,0.3841113841113841,COCO-full/GDino
8,3690,466,618,618,650,0.12628726287262873,0.16747967479674797,0.16747967479674797,0.1674796747967479,1.3261802575107295,1.0,31130.553010020078,27005,444.2953329419658,3690,0.12628726287262873,2925,0.1593162393162393,2335,0.19957173447537474,1976,0.23582995951417005,1616,0.28836633663366334,1292,0.3606811145510836,COCO-full/GDino
9,3480,479,631,631,682,0.13764367816091955,0.18132183908045976,0.18132183908045976,0.1813218390804597,1.3173277661795406,1.0,29088.659460246945,27422,388.4867214017063,3480,0.13764367816091955,2822,0.16973777462792347,2303,0.20798957881024752,1946,0.24614594039054472,1621,0.29549660703269587,1266,0.37756714060031593,COCO-full/GDino
10,3553,435,565,565,607,0.12243174781874472,0.15902054601745005,0.15902054601745005,0.15902054601745,1.2988505747126438,1.0,27110.668128441735,27880,364.54056027009767,3553,0.12243174781874472,2820,0.15425531914893617,2245,0.19376391982182628,1910,0.22774869109947643,1593,0.2730696798493409,1233,0.3519870235198702,COCO-full/GDino
11,3541,408,519,519,570,0.11522168878847783,0.14656876588534312,0.14656876588534312,0.1465687658853431,1.2720588235294117,1.0,36380.35816150257,28834,582.7726621240602,3541,0.11522168878847783,2824,0.14447592067988668,2238,0.18230563002680966,1852,0.2203023758099352,1501,0.27181878747501664,1197,0.3408521303258145,COCO-full/GDino
12,3425,471,547,547,571,0.1375182481751825,0.1597080291970803,0.1597080291970803,0.1597080291970803,1.1613588110403397,1.0,31437.976534980753,28837,410.85389540786406,3425,0.1375182481751825,2755,0.17096188747731397,2211,0.2130257801899593,1853,0.2541824069077172,1538,0.30624187256176855,1227,0.3830480847595762,COCO-full/GDino
13,3481,425,554,554,577,0.12209135305946567,0.1591496696351623,0.1591496696351623,0.1591496696351623,1.3035294117647058,1.0,30209.707891778657,28773,368.4591208996784,3481,0.12209135305946567,2784,0.1526580459770115,2218,0.19161406672678089,1871,0.22715125601282737,1561,0.27226137091607944,1245,0.3405622489959839,COCO-full/GDino
14,3726,510,657,657,709,0.13687600644122383,0.17632850241545894,0.17632850241545894,0.1763285024154589,1.2882352941176471,1.0,27257.922973398585,28538,437.84218962008146,3726,0.13687600644122383,2995,0.17028380634390652,2399,0.212588578574406,2009,0.2538576406172225,1666,0.30612244897959184,1348,0.37833827893175076,COCO-full/GDino
15,3552,447,550,550,590,0.1258445945945946,0.15484234234234234,0.15484234234234234,0.1548423423423423,1.2304250559284116,1.0,26421.965627686724,29504,500.6946793970247,3552,0.1258445945945946,2785,0.16050269299820466,2214,0.2018970189701897,1825,0.24493150684931506,1479,0.3022312373225152,1165,0.38369098712446353,COCO-full/GDino
16,3560,413,509,509,535,0.11601123595505618,0.14297752808988765,0.14297752808988765,0.1429775280898876,1.2324455205811138,1.0,29527.353275110203,27132,437.96500110059424,3560,0.11601123595505618,2841,0.14537134811686026,2282,0.18098159509202455,1924,0.21465696465696466,1592,0.2594221105527638,1249,0.32986389111289033,COCO-full/GDino
17,3343,467,603,603,666,0.13969488483398146,0.18037690696978761,0.18037690696978761,0.1803769069697876,1.291220556745182,1.0,30386.016509633875,28851,400.42865296803654,3343,0.13969488483398146,2691,0.17354143441099962,2189,0.21333942439470077,1881,0.2482721956406167,1553,0.3007083065035415,1235,0.37732793522267205,COCO-full/GDino
18,3642,464,578,578,622,0.12740252608456892,0.1587040087863811,0.1587040087863811,0.1587040087863811,1.2456896551724137,1.0,30499.018495708908,29233,394.9353933025477,3642,0.12740252608456892,2949,0.15734147168531706,2361,0.19652689538331217,1976,0.23481781376518218,1662,0.27918170878459686,1321,0.35124905374716126,COCO-full/GDino
19,3613,482,605,605,666,0.13340714088015498,0.16745087185164684,0.16745087185164684,0.1674508718516468,1.2551867219917014,1.0,31867.06170287147,28159,479.13510368771705,3613,0.13340714088015498,2843,0.16953921913471684,2269,0.2124283825473777,1879,0.25651942522618415,1527,0.31565160445317614,1195,0.40251046025104603,COCO-full/GDino
0,533,159,186,186,203,0.29831144465290804,0.34896810506566606,0.34896810506566606,0.348968105065666,1.1698113207547172,1.0,6149.662171739283,5642,1051.0892307692309,533,0.29831144465290804,422,0.3767772511848341,364,0.4368131868131868,332,0.4789156626506024,306,0.5196078431372549,275,0.5781818181818181,VOC-1k/GDino
1,544,128,171,171,180,0.23529411764705882,0.31433823529411764,0.31433823529411764,0.3143382352941176,1.3359375,1.0,5915.489194067146,5078,2160.449241540257,544,0.23529411764705882,430,0.29767441860465116,369,0.34688346883468835,334,0.38323353293413176,308,0.4155844155844156,265,0.4830188679245283,VOC-1k/GDino
2,566,139,200,200,211,0.24558303886925795,0.35335689045936397,0.35335689045936397,0.3533568904593639,1.4388489208633095,1.0,6431.803780506116,4988,1064.320704057279,566,0.24558303886925795,454,0.30616740088105726,399,0.3483709273182957,374,0.3716577540106952,347,0.40057636887608067,313,0.4440894568690096,VOC-1k/GDino
3,577,159,203,203,218,0.2755632582322357,0.35181975736568455,0.35181975736568455,0.3518197573656845,1.2767295597484276,1.0,4943.548545137968,5520,1104.3547794117646,577,0.2755632582322357,447,0.35570469798657717,390,0.4076923076923077,358,0.4441340782122905,323,0.49226006191950467,292,0.5445205479452054,VOC-1k/GDino
4,543,122,168,168,175,0.22467771639042358,0.30939226519337015,0.30939226519337015,0.3093922651933701,1.3770491803278688,1.0,7911.914329082635,5441,1991.935710111046,543,0.22467771639042358,437,0.2791762013729977,385,0.3168831168831169,355,0.3436619718309859,329,0.3708206686930091,294,0.41496598639455784,VOC-1k/GDino
5,556,142,166,166,182,0.25539568345323743,0.29856115107913667,0.29856115107913667,0.2985611510791366,1.169014084507042,1.0,7017.820668478201,5616,2063.445835942392,556,0.25539568345323743,441,0.3219954648526077,371,0.38274932614555257,333,0.4264264264264264,308,0.461038961038961,277,0.5126353790613718,VOC-1k/GDino
6,614,137,186,186,196,0.22312703583061888,0.30293159609120524,0.30293159609120524,0.3029315960912052,1.3576642335766425,1.0,5830.495720733686,4857,2261.5130858186244,614,0.22312703583061888,496,0.2762096774193548,425,0.32235294117647056,383,0.3577023498694517,361,0.37950138504155123,320,0.428125,VOC-1k/GDino
7,615,171,208,208,217,0.2780487804878049,0.3382113821138211,0.3382113821138211,0.3382113821138211,1.2163742690058479,1.0,4620.5246377768,5369,694.1144338118021,615,0.2780487804878049,502,0.34063745019920316,443,0.3860045146726862,403,0.42431761786600497,373,0.4584450402144772,336,0.5089285714285714,VOC-1k/GDino
8,572,161,222,222,239,0.28146853146853146,0.3881118881118881,0.3881118881118881,0.3881118881118881,1.37888198757764,1.0,3724.29532625519,4991,1138.380547112462,572,0.28146853146853146,471,0.34182590233545646,412,0.3907766990291262,369,0.4363143631436314,340,0.47352941176470587,318,0.5062893081761006,VOC-1k/GDino
9,648,165,219,219,233,0.25462962962962965,0.33796296296296297,0.33796296296296297,0.3379629629629629,1.3272727272727272,1.0,4420.049051981638,5193,2240.254129606099,648,0.25462962962962965,495,0.3333333333333333,439,0.37585421412300685,404,0.4084158415841584,379,0.43535620052770446,352,0.46875,VOC-1k/GDino
10,521,142,168,168,180,0.272552783109405,0.32245681381957775,0.32245681381957775,0.3224568138195777,1.1830985915492958,1.0,7056.149134367617,5330,1121.2450450450451,521,0.272552783109405,429,0.331002331002331,370,0.3837837837837838,329,0.4316109422492401,306,0.46405228758169936,277,0.5126353790613718,VOC-1k/GDino
11,571,159,213,213,220,0.27845884413309985,0.37302977232924694,0.37302977232924694,0.3730297723292469,1.3396226415094339,1.0,4361.726499824304,5090,525.6651785714286,571,0.27845884413309985,471,0.3375796178343949,416,0.38221153846153844,390,0.4076923076923077,363,0.4380165289256198,327,0.48623853211009177,VOC-1k/GDino
12,535,73,73,73,74,0.13644859813084112,0.13644859813084112,0.13644859813084112,0.1364485981308411,1.0,1.0,3004335.7474088054,4925,1000000.0,535,0.13644859813084112,422,0.17298578199052134,365,0.2,338,0.21597633136094674,317,0.2302839116719243,284,0.25704225352112675,VOC-1k/GDino
13,558,137,183,183,195,0.24551971326164876,0.3279569892473118,0.3279569892473118,0.3279569892473118,1.335766423357664,1.0,5701.1704818166745,5942,1152.8312629399586,558,0.24551971326164876,453,0.30242825607064017,388,0.35309278350515466,358,0.38268156424581007,331,0.41389728096676737,295,0.46440677966101696,VOC-1k/GDino
14,542,176,212,212,228,0.3247232472324723,0.39114391143911437,0.39114391143911437,0.3911439114391143,1.2045454545454546,1.0,4782.223171924971,5346,1072.0561403508773,542,0.3247232472324723,426,0.4131455399061033,374,0.47058823529411764,355,0.49577464788732395,335,0.5253731343283582,307,0.5732899022801303,VOC-1k/GDino
15,577,161,206,206,212,0.27902946273830154,0.35701906412478335,0.35701906412478335,0.3570190641247833,1.279503105590062,1.0,5744.674998061591,6101,968.5093542546772,577,0.27902946273830154,471,0.34182590233545646,399,0.40350877192982454,360,0.44722222222222224,330,0.48787878787878786,305,0.5278688524590164,VOC-1k/GDino
16,648,149,178,178,188,0.22993827160493827,0.27469135802469136,0.27469135802469136,0.2746913580246913,1.1946308724832215,1.0,4512.542383568385,4919,1196.5384615384614,648,0.22993827160493827,512,0.291015625,438,0.3401826484018265,396,0.37626262626262624,363,0.41046831955922863,314,0.4745222929936306,VOC-1k/GDino
17,508,127,158,158,165,0.25,0.3110236220472441,0.3110236220472441,0.3110236220472441,1.2440944881889764,1.0,4775.669961079913,5598,986.195652173913,508,0.25,404,0.31435643564356436,358,0.3547486033519553,334,0.38023952095808383,311,0.40836012861736337,271,0.46863468634686345,VOC-1k/GDino
18,591,142,186,186,203,0.24027072758037224,0.3147208121827411,0.3147208121827411,0.3147208121827411,1.3098591549295775,1.0,4513.7376738486355,5443,1000000.0,591,0.24027072758037224,483,0.2939958592132505,426,0.3333333333333333,391,0.3631713554987212,355,0.4,313,0.4536741214057508,VOC-1k/GDino
19,529,153,195,195,209,0.2892249527410208,0.3686200378071834,0.3686200378071834,0.3686200378071834,1.2745098039215688,1.0,7015.035979253897,5655,2046.282051282051,529,0.2892249527410208,434,0.35253456221198154,382,0.4005235602094241,341,0.44868035190615835,321,0.4766355140186916,289,0.5294117647058824,VOC-1k/GDino
0,573,60,63,63,64,0.10471204188481675,0.1099476439790576,0.1099476439790576,0.1099476439790576,1.05,1.0,6001542.920145582,1867,1000000.0,573,0.10471204188481675,483,0.12422360248447205,386,0.15544041450777202,298,0.20134228187919462,242,0.24793388429752067,201,0.29850746268656714,COCO-1k/OWL
1,513,39,52,52,52,0.07602339181286549,0.10136452241715399,0.10136452241715399,0.1013645224171539,1.3333333333333333,1.0,1411.73089443069,1670,121.0189655172414,513,0.07602339181286549,437,0.08924485125858124,349,0.11174785100286533,263,0.1482889733840304,196,0.1989795918367347,150,0.26,COCO-1k/OWL
2,537,42,47,47,47,0.0782122905027933,0.08752327746741155,0.08752327746741155,0.0875232774674115,1.119047619047619,1.0,2256.542395690523,2030,325.6487919858574,537,0.0782122905027933,450,0.09333333333333334,364,0.11538461538461539,266,0.15789473684210525,189,0.2222222222222222,141,0.2978723404255319,COCO-1k/OWL
3,553,42,46,46,47,0.0759493670886076,0.08318264014466546,0.08318264014466546,0.0831826401446654,1.0952380952380951,1.0,1818.8945420180225,1757,160.5430463576159,553,0.0759493670886076,474,0.08860759493670886,336,0.125,218,0.1926605504587156,147,0.2857142857142857,118,0.3559322033898305,COCO-1k/OWL
4,603,55,70,70,70,0.0912106135986733,0.11608623548922056,0.11608623548922056,0.1160862354892205,1.2727272727272727,1.0,2505.5914016438833,1674,331.9323583180987,603,0.0912106135986733,527,0.10436432637571158,385,0.14285714285714285,268,0.20522388059701493,195,0.28205128205128205,155,0.3548387096774194,COCO-1k/OWL
5,556,30,32,32,33,0.0539568345323741,0.05755395683453238,0.05755395683453238,0.0575539568345323,1.0666666666666669,1.0,2096.0012520911814,1798,121.70588235294117,556,0.0539568345323741,466,0.06437768240343347,351,0.08547008547008547,238,0.12605042016806722,171,0.17543859649122806,130,0.23076923076923078,COCO-1k/OWL
6,534,41,47,47,48,0.07677902621722846,0.08801498127340825,0.08801498127340825,0.0880149812734082,1.1463414634146343,1.0,3326.831774699537,2002,329.38524590163934,534,0.07677902621722846,445,0.09213483146067415,351,0.1168091168091168,258,0.15891472868217055,190,0.21578947368421053,142,0.2887323943661972,COCO-1k/OWL
7,560,53,57,57,58,0.09464285714285714,0.10178571428571428,0.10178571428571428,0.1017857142857142,1.0754716981132075,1.0,1928.7082476482115,1703,379.9925742574257,560,0.09464285714285714,478,0.1108786610878661,363,0.14600550964187328,273,0.19413919413919414,192,0.2760416666666667,138,0.38405797101449274,COCO-1k/OWL
8,494,59,68,68,72,0.1194331983805668,0.13765182186234817,0.13765182186234817,0.1376518218623481,1.1525423728813557,1.0,2541.4476436510986,2430,320.4028290282903,494,0.1194331983805668,399,0.14786967418546365,318,0.18553459119496854,256,0.23046875,186,0.3172043010752688,135,0.43703703703703706,COCO-1k/OWL
9,575,59,69,69,72,0.10260869565217391,0.12,0.12,0.12,1.1694915254237288,1.0,1986.5761973107763,1544,355.96884735202497,575,0.10260869565217391,490,0.12040816326530612,365,0.16164383561643836,275,0.21454545454545454,203,0.29064039408866993,165,0.3575757575757576,COCO-1k/OWL
10,447,56,58,58,58,0.12527964205816555,0.1297539149888143,0.1297539149888143,0.1297539149888143,1.0357142857142856,1.0,2681.0706605575433,1989,183.7573047107931,447,0.12527964205816555,392,0.14285714285714285,318,0.1761006289308176,223,0.25112107623318386,159,0.3522012578616352,126,0.4444444444444444,COCO-1k/OWL
11,534,60,72,72,74,0.11235955056179775,0.1348314606741573,0.1348314606741573,0.1348314606741573,1.2,1.0,1648.878498923627,1768,202.1227963525836,534,0.11235955056179775,463,0.12958963282937366,380,0.15789473684210525,270,0.2222222222222222,198,0.30303030303030304,161,0.37267080745341613,COCO-1k/OWL
12,546,43,54,54,54,0.07875457875457875,0.0989010989010989,0.0989010989010989,0.0989010989010989,1.255813953488372,1.0,2741.6509238166477,1983,346.1357186921653,546,0.07875457875457875,459,0.09368191721132897,363,0.1184573002754821,259,0.16602316602316602,199,0.21608040201005024,151,0.2847682119205298,COCO-1k/OWL
13,534,51,64,64,65,0.09550561797752809,0.1198501872659176,0.1198501872659176,0.1198501872659176,1.2549019607843137,1.0,2170.2937294126946,2071,90.7177033492823,534,0.09550561797752809,458,0.11135371179039301,365,0.13972602739726028,276,0.18478260869565216,215,0.2372093023255814,172,0.29651162790697677,COCO-1k/OWL
14,553,50,55,55,56,0.09041591320072333,0.09945750452079566,0.09945750452079566,0.0994575045207956,1.1,1.0,2098.700708086396,1887,361.2972972972973,553,0.09041591320072333,461,0.10845986984815618,371,0.1347708894878706,281,0.17793594306049823,209,0.23923444976076555,155,0.3225806451612903,COCO-1k/OWL
15,535,57,57,57,59,0.10654205607476636,0.10654205607476636,0.10654205607476636,0.1065420560747663,1.0,1.0,2182.412895334338,1790,186.63355145746579,535,0.10654205607476636,459,0.12418300653594772,352,0.16193181818181818,260,0.21923076923076923,198,0.2878787878787879,156,0.36538461538461536,COCO-1k/OWL
16,525,55,62,62,66,0.10476190476190476,0.1180952380952381,0.1180952380952381,0.1180952380952381,1.1272727272727272,1.0,1738.1328675511859,2063,171.6434250764526,525,0.10476190476190476,452,0.12168141592920353,362,0.15193370165745856,262,0.2099236641221374,201,0.2736318407960199,151,0.36423841059602646,COCO-1k/OWL
17,551,46,60,60,62,0.08348457350272233,0.1088929219600726,0.1088929219600726,0.1088929219600726,1.3043478260869563,1.0,1570.022859460376,1902,87.21897590361446,551,0.08348457350272233,471,0.09766454352441614,375,0.12266666666666666,273,0.1684981684981685,209,0.22009569377990432,158,0.2911392405063291,COCO-1k/OWL
18,458,64,72,72,74,0.13973799126637554,0.1572052401746725,0.1572052401746725,0.1572052401746725,1.125,1.0,1774.7588575646178,1821,117.12853271389857,458,0.13973799126637554,399,0.16040100250626566,314,0.20382165605095542,233,0.27467811158798283,179,0.3575418994413408,136,0.47058823529411764,COCO-1k/OWL
19,506,67,83,83,87,0.1324110671936759,0.16403162055335968,0.16403162055335968,0.1640316205533596,1.2388059701492535,1.0,1290.6150848949617,1646,193.23988439306356,506,0.1324110671936759,431,0.1554524361948956,343,0.19533527696793002,267,0.250936329588015,206,0.32524271844660196,158,0.4240506329113924,COCO-1k/OWL
0,423,56,58,58,58,0.13238770685579196,0.13711583924349882,0.13711583924349882,0.1371158392434988,1.0357142857142858,1.0,986.0272026328039,935,151.10506706408347,423,0.13238770685579196,374,0.1497326203208556,281,0.199288256227758,163,0.34355828220858897,112,0.5,90,0.6,VOC-1k/OWL
1,452,46,51,51,53,0.10176991150442478,0.11283185840707964,0.11283185840707964,0.1128318584070796,1.1086956521739129,1.0,921.8817864448837,1011,136.3740157480315,452,0.10176991150442478,396,0.11616161616161616,290,0.15862068965517243,158,0.2911392405063291,115,0.4,85,0.5411764705882353,VOC-1k/OWL
2,439,41,41,41,41,0.09339407744874716,0.09339407744874716,0.09339407744874716,0.0933940774487471,1.0,1.0,1179.911566998606,1057,127.76603773584905,439,0.09339407744874716,389,0.10539845758354756,286,0.14335664335664336,157,0.2611464968152866,100,0.41,71,0.5774647887323944,VOC-1k/OWL
3,482,45,54,54,54,0.09336099585062241,0.11203319502074689,0.11203319502074689,0.1120331950207468,1.2,1.0,1013.0126357471472,1022,135.40435458786936,482,0.09336099585062241,425,0.10588235294117647,312,0.14423076923076922,176,0.2556818181818182,117,0.38461538461538464,86,0.5232558139534884,VOC-1k/OWL
4,477,32,32,32,33,0.06708595387840671,0.06708595387840671,0.06708595387840671,0.0670859538784067,1.0,1.0,1451.8666903903516,1052,1000000.0,477,0.06708595387840671,410,0.07804878048780488,315,0.10158730158730159,158,0.20253164556962025,87,0.367816091954023,58,0.5517241379310345,VOC-1k/OWL
5,452,19,19,19,21,0.0420353982300885,0.0420353982300885,0.0420353982300885,0.0420353982300885,1.0,1.0,1000978.1115736061,1055,1000000.0,452,0.0420353982300885,399,0.047619047619047616,300,0.06333333333333334,163,0.1165644171779141,111,0.17117117117117117,81,0.2345679012345679,VOC-1k/OWL
