dataset,detector,mode,rho,alpha,floor_mean,rejections_mean,pooled_fdp_mean,pooled_fdp_std,per_family_fdp_mean,recall_mean,tp_retention_mean,pass_rate
COCO val,GDino,adaptive_fit,0.8,0.05,0.095,137.4,0.041983878661172515,0.01633508942079822,0.044185944239288434,0.1906110990133098,0.8303628845461741,0.8
COCO val,GDino,adaptive_fit,0.8,0.1,0.095,167.5,0.055633068602549664,0.020556921512932137,0.058425134876565865,0.22885388158387793,0.8303628845461741,1.0
COCO val,GDino,adaptive_fit,0.8,0.15,0.095,191.15,0.08003657135073314,0.02700931233079592,0.07865941364827558,0.25380073718221363,0.8303628845461741,1.0
COCO val,GDino,adaptive_fit,0.8,0.2,0.095,208.95,0.0946039558648159,0.02736822683575484,0.08993072475867869,0.2726615341762137,0.8303628845461741,1.0
COCO val,GDino,adaptive_fit,0.85,0.05,0.05,104.0,0.02741385459262589,0.018780223271866302,0.0299952546533373,0.14716825097091843,1.0,0.95
COCO val,GDino,adaptive_fit,0.85,0.1,0.05,134.0,0.039629685549485434,0.019760984781064667,0.03842897600521435,0.1870700239336989,1.0,1.0
COCO val,GDino,adaptive_fit,0.85,0.15,0.05,152.45,0.050699711896335084,0.022011574767608354,0.05047091261885428,0.21017981944608805,1.0,1.0
COCO val,GDino,adaptive_fit,0.85,0.2,0.05,166.85,0.059829906010127776,0.021170533679815223,0.06229480869041011,0.22774421557704785,1.0,1.0
COCO val,GDino,adaptive_fit,0.9,0.05,0.05,104.0,0.02741385459262589,0.018780223271866302,0.0299952546533373,0.14716825097091843,1.0,0.95
COCO val,GDino,adaptive_fit,0.9,0.1,0.05,134.0,0.039629685549485434,0.019760984781064667,0.03842897600521435,0.1870700239336989,1.0,1.0
COCO val,GDino,adaptive_fit,0.9,0.15,0.05,152.45,0.050699711896335084,0.022011574767608354,0.05047091261885428,0.21017981944608805,1.0,1.0
COCO val,GDino,adaptive_fit,0.9,0.2,0.05,166.85,0.059829906010127776,0.021170533679815223,0.06229480869041011,0.22774421557704785,1.0,1.0
COCO val,GDino,fixed_0.40,0.8,0.05,0.4,192.8,0.058963099225618,0.028506236963716167,0.052191451767262684,0.26216894906494964,0.4208056241177031,0.45
COCO val,GDino,fixed_0.40,0.8,0.1,0.4,261.35,0.11578700916127176,0.03403289245759821,0.09275806453008137,0.3333835497059553,0.4208056241177031,0.3
COCO val,GDino,fixed_0.40,0.8,0.15,0.4,341.95,0.194091905071266,0.060226086746622824,0.1364394595561304,0.39526435869211557,0.4208056241177031,0.2
COCO val,GDino,fixed_0.40,0.8,0.2,0.4,369.45,0.21415971758983177,0.04318826499134031,0.15716809424575776,0.4192286067136769,0.4208056241177031,0.4
COCO val,GDino,fixed_0.40,0.85,0.05,0.4,192.8,0.058963099225618,0.028506236963716167,0.052191451767262684,0.26216894906494964,0.4208056241177031,0.45
COCO val,GDino,fixed_0.40,0.85,0.1,0.4,261.35,0.11578700916127176,0.03403289245759821,0.09275806453008137,0.3333835497059553,0.4208056241177031,0.3
COCO val,GDino,fixed_0.40,0.85,0.15,0.4,341.95,0.194091905071266,0.060226086746622824,0.1364394595561304,0.39526435869211557,0.4208056241177031,0.2
COCO val,GDino,fixed_0.40,0.85,0.2,0.4,369.45,0.21415971758983177,0.04318826499134031,0.15716809424575776,0.4192286067136769,0.4208056241177031,0.4
COCO val,GDino,fixed_0.40,0.9,0.05,0.4,192.8,0.058963099225618,0.028506236963716167,0.052191451767262684,0.26216894906494964,0.4208056241177031,0.45
COCO val,GDino,fixed_0.40,0.9,0.1,0.4,261.35,0.11578700916127176,0.03403289245759821,0.09275806453008137,0.3333835497059553,0.4208056241177031,0.3
COCO val,GDino,fixed_0.40,0.9,0.15,0.4,341.95,0.194091905071266,0.060226086746622824,0.1364394595561304,0.39526435869211557,0.4208056241177031,0.2
COCO val,GDino,fixed_0.40,0.9,0.2,0.4,369.45,0.21415971758983177,0.04318826499134031,0.15716809424575776,0.4192286067136769,0.4208056241177031,0.4
COCO val,GDino,no_floor,0.8,0.05,0.0,104.0,0.02741385459262589,0.018780223271866302,0.0299952546533373,0.14716825097091843,1.0,0.95
COCO val,GDino,no_floor,0.8,0.1,0.0,134.0,0.039629685549485434,0.019760984781064667,0.03842897600521435,0.1870700239336989,1.0,1.0
COCO val,GDino,no_floor,0.8,0.15,0.0,152.45,0.050699711896335084,0.022011574767608354,0.05047091261885428,0.21017981944608805,1.0,1.0
COCO val,GDino,no_floor,0.8,0.2,0.0,166.85,0.059829906010127776,0.021170533679815223,0.06229480869041011,0.22774421557704785,1.0,1.0
COCO val,GDino,no_floor,0.85,0.05,0.0,104.0,0.02741385459262589,0.018780223271866302,0.0299952546533373,0.14716825097091843,1.0,0.95
COCO val,GDino,no_floor,0.85,0.1,0.0,134.0,0.039629685549485434,0.019760984781064667,0.03842897600521435,0.1870700239336989,1.0,1.0
COCO val,GDino,no_floor,0.85,0.15,0.0,152.45,0.050699711896335084,0.022011574767608354,0.05047091261885428,0.21017981944608805,1.0,1.0
COCO val,GDino,no_floor,0.85,0.2,0.0,166.85,0.059829906010127776,0.021170533679815223,0.06229480869041011,0.22774421557704785,1.0,1.0
COCO val,GDino,no_floor,0.9,0.05,0.0,104.0,0.02741385459262589,0.018780223271866302,0.0299952546533373,0.14716825097091843,1.0,0.95
COCO val,GDino,no_floor,0.9,0.1,0.0,134.0,0.039629685549485434,0.019760984781064667,0.03842897600521435,0.1870700239336989,1.0,1.0
COCO val,GDino,no_floor,0.9,0.15,0.0,152.45,0.050699711896335084,0.022011574767608354,0.05047091261885428,0.21017981944608805,1.0,1.0
COCO val,GDino,no_floor,0.9,0.2,0.0,166.85,0.059829906010127776,0.021170533679815223,0.06229480869041011,0.22774421557704785,1.0,1.0
COCO val,OWL-ViT,adaptive_fit,0.8,0.05,0.1,57.7,0.02297902839045687,0.020131529749492772,0.01741691440624899,0.10621424063479575,0.8510706781341131,0.9
COCO val,OWL-ViT,adaptive_fit,0.8,0.1,0.1,77.5,0.03650833208185365,0.031123498104789725,0.028280777905296473,0.1403900921884041,0.8510706781341131,0.95
COCO val,OWL-ViT,adaptive_fit,0.8,0.15,0.1,91.75,0.045760006655766405,0.03337688504755984,0.03452448920226904,0.1646165089864526,0.8510706781341131,1.0
COCO val,OWL-ViT,adaptive_fit,0.8,0.2,0.1,109.05,0.058208070170419,0.038159161477944625,0.04201457281377312,0.19275518612458215,0.8510706781341131,1.0
COCO val,OWL-ViT,adaptive_fit,0.85,0.05,0.0675,48.85,0.017771935478817003,0.017868530536750124,0.014804328241101884,0.09032734282382895,0.9427029518796513,0.95
COCO val,OWL-ViT,adaptive_fit,0.85,0.1,0.0675,65.95,0.026252075582413593,0.020500512765346177,0.02088040193212476,0.12073194965095162,0.9427029518796513,1.0
COCO val,OWL-ViT,adaptive_fit,0.85,0.15,0.0675,79.1,0.03939152452478438,0.030934010188364853,0.029762880891403193,0.14294961543816057,0.9427029518796513,1.0
COCO val,OWL-ViT,adaptive_fit,0.85,0.2,0.0675,91.55,0.04201380089182533,0.03196621468304506,0.03351460052094855,0.16471098175708226,0.9427029518796513,1.0
COCO val,OWL-ViT,adaptive_fit,0.9,0.05,0.05,44.15,0.01506692876171351,0.017121226055589436,0.014591760140461721,0.08194439827946712,1.0,0.95
COCO val,OWL-ViT,adaptive_fit,0.9,0.1,0.05,60.9,0.023126840745530605,0.018446307069595533,0.017243434477702692,0.11203360184812025,1.0,1.0
COCO val,OWL-ViT,adaptive_fit,0.9,0.15,0.05,73.8,0.03532432072063415,0.030223603457989325,0.02607783297446719,0.13403494087635076,1.0,1.0
COCO val,OWL-ViT,adaptive_fit,0.9,0.2,0.05,84.95,0.0380209358944394,0.03014670724286686,0.030380842461104552,0.1536473722969824,1.0,1.0
COCO val,OWL-ViT,fixed_0.40,0.8,0.05,0.4,81.35,0.03814165083389593,0.0300519652958134,0.032078322907510705,0.14719168559613668,0.36415348231013217,0.6
COCO val,OWL-ViT,fixed_0.40,0.8,0.1,0.4,115.15,0.06533711759318865,0.038375610260349115,0.04919581819049543,0.20116633312135193,0.36415348231013217,0.85
COCO val,OWL-ViT,fixed_0.40,0.8,0.15,0.4,147.1,0.08564416841683668,0.04771083870957368,0.06403843603487704,0.25092813182858187,0.36415348231013217,0.9
COCO val,OWL-ViT,fixed_0.40,0.8,0.2,0.4,192.55,0.1431943898599017,0.06359573312758345,0.09262831514745852,0.30646654591000805,0.36415348231013217,0.9
