dataset,detector,alpha,bin,n_candidates,n_rejections,pooled_fdp,recall,loo_mean,pass_rate
COCO val,GDino,0.05,large,1846.55,81.2,0.027492984398115948,0.24372996033763505,1.213341200588516,0.95
COCO val,GDino,0.05,medium,1913.55,18.85,0.023446874762664237,0.08514816623806967,0.9253295694211137,0.7
COCO val,GDino,0.05,small,2403.8,3.95,0.06583333333333333,0.02522296236295757,0.7495107564200648,0.75
COCO val,GDino,0.1,large,1846.55,97.6,0.03974831247443165,0.2892521034200313,1.213341200588516,0.95
COCO val,GDino,0.1,medium,1913.55,27.65,0.03589491606709195,0.12212282266425196,0.9253295694211137,0.95
COCO val,GDino,0.1,small,2403.8,8.75,0.04069397993311037,0.05793515417323688,0.7495107564200648,0.85
COCO val,GDino,0.15,large,1846.55,108.6,0.05147362028199028,0.31801407957647965,1.213341200588516,1.0
COCO val,GDino,0.15,medium,1913.55,33.2,0.049057694387086716,0.14349098653959064,0.9253295694211137,1.0
COCO val,GDino,0.15,small,2403.8,10.65,0.043205727021516496,0.07001473604793104,0.7495107564200648,0.9
COCO val,GDino,0.2,large,1846.55,117.15,0.06097414644215131,0.3399313070382152,1.213341200588516,1.0
COCO val,GDino,0.2,medium,1913.55,37.9,0.057264741815088935,0.16212802974101198,0.9253295694211137,1.0
COCO val,GDino,0.2,small,2403.8,11.8,0.05168677813414655,0.07629134802186817,0.7495107564200648,0.95
COCO val,OWL-ViT,0.05,large,589.1,33.15,0.0037192717996289426,0.13063945888180223,1.4011991519825455,1.0
COCO val,OWL-ViT,0.05,medium,823.95,9.15,0.04797619047619048,0.053751785398562145,1.0387738480884652,0.7
COCO val,OWL-ViT,0.05,small,1074.1,1.85,0.08666666666666667,0.014826432037551135,0.6835718910359933,0.85
COCO val,OWL-ViT,0.1,large,589.1,44.95,0.008099466139239543,0.17676890442888957,1.4011991519825455,1.0
COCO val,OWL-ViT,0.1,medium,823.95,13.3,0.05595048226627174,0.07650203415507899,1.0387738480884652,0.75
COCO val,OWL-ViT,0.1,small,1074.1,2.65,0.10095238095238095,0.021002377057246155,0.6835718910359933,0.75
COCO val,OWL-ViT,0.15,large,589.1,54.5,0.021278413172439024,0.21125710210686424,1.4011991519825455,1.0
COCO val,OWL-ViT,0.15,medium,823.95,16.2,0.07268698893698894,0.0917368652791655,1.0387738480884652,0.85
COCO val,OWL-ViT,0.15,small,1074.1,3.1,0.07916666666666668,0.0253413935231722,0.6835718910359933,0.75
COCO val,OWL-ViT,0.2,large,589.1,61.5,0.02543892106316963,0.23683895673829225,1.4011991519825455,1.0
COCO val,OWL-ViT,0.2,medium,823.95,19.1,0.06780885889709419,0.10800099235578228,1.0387738480884652,0.95
COCO val,OWL-ViT,0.2,small,1074.1,4.35,0.06902777777777777,0.03670511778035283,0.6835718910359933,0.8
COCO val,YOLO-World,0.05,large,293.9,47.65,0.01737003578999832,0.2346829999410566,2.164472867537195,0.95
COCO val,YOLO-World,0.05,medium,275.3,5.6,0.13560245310245309,0.03997395148764252,1.471851951372306,0.4
COCO val,YOLO-World,0.05,small,235.15,0.05,0.0,0.0006944444444444444,0.10937831027642324,1.0
COCO val,YOLO-World,0.1,large,293.9,54.7,0.01972979657518308,0.26725734593623335,2.164472867537195,1.0
COCO val,YOLO-World,0.1,medium,275.3,7.6,0.11837600909582333,0.05329061087311594,1.471851951372306,0.4
COCO val,YOLO-World,0.1,small,235.15,0.2,0.0,0.0028525641025641023,0.10937831027642324,1.0
