m_target,m_actual_mean,rejections_mean,fdp_pooled_mean,fdp_pooled_std,recall_mean,recall_std,loo_mean,loo_std,no_rejection_rate_mean,pass_rate
50,50.0,28.65,0.05961933754367292,0.0494663477965754,0.038773375295733825,0.017306419763440235,1.0509029993154824,0.4459544079828968,0.9607076350093109,0.75
100,100.0,40.6,0.07004426295062682,0.049996036660124275,0.054784137518884335,0.019340050227060795,0.9390924287380431,0.3490376312403041,0.9437616387337059,0.9
200,200.0,48.45,0.06160410424539794,0.038535647606325184,0.06598344949499142,0.01648915220000395,0.9237335295244572,0.2673230510844702,0.9316573556797021,0.95
500,500.0,57.6,0.06422327032365148,0.027291060368548305,0.07810660788698291,0.021930040045601795,0.9955348183818875,0.26859088661269914,0.9204841713221599,0.9
1000,1000.0,58.25,0.0626700716701785,0.03218009532725153,0.07924301411363083,0.021258357864682192,0.9357670217840601,0.19014353426422448,0.9196461824953446,0.9
2000,2000.0,59.3,0.06233227737439886,0.030475118431071757,0.08056498506680772,0.021680081303020307,0.9640947097935385,0.2339860442934923,0.9181564245810054,0.95
all,5288.7,59.75,0.06030067178058555,0.029609079909866054,0.08145446273550255,0.021787699781939018,0.9534607793543491,0.1882321549651834,0.9175046554934825,0.95
