seed,template,own_model,fit_phi_max_pertemplate,fit_phi_max_global,phi_max_ratio,cal_C_m_local,cal_m_local,cal_C_m_global,cal_m_global
0,a {cat} object,True,84.08668076109937,14.53485428362943,5.785175352999994,2026.0397818757456,1903,30975.296102497432,30893
0,other,False,14.53485428362943,14.53485428362943,1.0,7959.540664168222,5685,30975.296102497432,30893
0,a {cat} in the scene,False,14.53485428362943,14.53485428362943,1.0,7435.283200684082,8081,30975.296102497432,30893
0,a visible {cat} in the scene,True,152.135593220339,14.53485428362943,10.466950012129734,984.1317313533032,1021,30975.296102497432,30893
0,a photo of a {cat},True,20.547504025764894,14.53485428362943,1.4136711400614106,1456.1142160683705,1396,30975.296102497432,30893
0,the {cat},True,70.9221501390176,14.53485428362943,4.8794538118553445,1224.2483686259689,1316,30975.296102497432,30893
0,a small {cat} near the center,False,14.53485428362943,14.53485428362943,1.0,10020.883329415225,11491,30975.296102497432,30893
1,a {cat} object,True,96.40398550724636,15.270362519106541,6.313143213635173,2046.0644076170827,2357,32847.33150833265,33455
1,other,False,15.270362519106541,15.270362519106541,1.0,8348.638109981399,6076,32847.33150833265,33455
1,a {cat} in the scene,False,15.270362519106541,15.270362519106541,1.0,8960.793722486149,10389,32847.33150833265,33455
1,a visible {cat} in the scene,True,192.37410071942443,15.270362519106541,12.597873853926037,884.4029271278768,898,32847.33150833265,33455
1,a photo of a {cat},True,16.698093941456776,15.270362519106541,1.0934968911552578,1577.4025626239477,1602,32847.33150833265,33455
1,the {cat},True,60.442514474772544,15.270362519106541,3.9581584523056232,1566.6093656453777,1576,32847.33150833265,33455
1,a small {cat} near the center,False,15.270362519106541,15.270362519106541,1.0,9501.786765203145,10557,32847.33150833265,33455
2,a {cat} object,True,98.61966824644551,14.761963323793172,6.680660700971354,2263.0125564511573,2278,33364.094711491925,33550
2,other,False,14.761963323793172,14.761963323793172,1.0,8525.79667586511,6456,33364.094711491925,33550
2,a {cat} in the scene,False,14.761963323793172,14.761963323793172,1.0,8735.003098233266,9093,33364.094711491925,33550
2,a visible {cat} in the scene,True,83.33631484794276,14.761963323793172,5.6453408682856026,749.0443866683429,833,33364.094711491925,33550
2,a photo of a {cat},True,18.25394389540237,14.761963323793172,1.2365525841661495,1594.3517927739235,1585,33364.094711491925,33550
2,the {cat},True,71.52436003303056,14.761963323793172,4.845179361592667,1049.3454008936426,1110,33364.094711491925,33550
2,a small {cat} near the center,False,14.761963323793172,14.761963323793172,1.0,10604.018439435698,12195,33364.094711491925,33550
3,a {cat} object,True,99.08285163776493,14.461738770863619,6.8513788838026395,2108.4132924747237,2174,32267.56248349488,33004
3,other,False,14.461738770863619,14.461738770863619,1.0,8256.943992161456,6284,32267.56248349488,33004
3,a {cat} in the scene,False,14.461738770863619,14.461738770863619,1.0,8065.453564376164,8892,32267.56248349488,33004
3,a visible {cat} in the scene,True,139.5073649754501,14.461738770863619,9.646652258476596,1114.9060781549738,1184,32267.56248349488,33004
3,a photo of a {cat},True,17.697339122689826,14.461738770863619,1.2237352232046288,1936.5456276801228,1994,32267.56248349488,33004
3,the {cat},True,69.4,14.461738770863619,4.798869700220398,1100.2345265094232,1198,32267.56248349488,33004
3,a small {cat} near the center,False,14.461738770863619,14.461738770863619,1.0,9807.584678963723,11278,32267.56248349488,33004
4,a {cat} object,True,61.38653341409247,14.062520979268937,4.365258085985358,1787.8100410911754,1824,31689.85425165547,31517
4,other,False,14.062520979268937,14.062520979268937,1.0,8330.700512714577,6100,31689.85425165547,31517
4,a {cat} in the scene,False,14.062520979268937,14.062520979268937,1.0,8457.156370135674,9418,31689.85425165547,31517
4,a visible {cat} in the scene,True,147.74420529801324,14.062520979268937,10.506238925141426,1215.5981972851537,1194,31689.85425165547,31517
4,a photo of a {cat},True,18.964242805652496,14.062520979268937,1.348566365419807,1827.8213118668677,1811,31689.85425165547,31517
4,the {cat},True,143.4010327022375,14.062520979268937,10.197391556865249,1243.7471130593422,1051,31689.85425165547,31517
4,a small {cat} near the center,False,14.062520979268937,14.062520979268937,1.0,9076.756360900485,10119,31689.85425165547,31517
5,a {cat} object,True,100.37076923076923,14.572590552344652,6.88764079867873,1637.4620156235997,1616,30257.26975989416,29340
5,other,False,14.572590552344652,14.572590552344652,1.0,9123.228619892563,6591,30257.26975989416,29340
5,a {cat} in the scene,False,14.572590552344652,14.572590552344652,1.0,7763.533906541794,8190,30257.26975989416,29340
5,a visible {cat} in the scene,True,170.21639042357276,14.572590552344652,11.68058553571217,817.5266160230792,888,30257.26975989416,29340
5,a photo of a {cat},True,30.62681818181818,14.572590552344652,2.101672868101718,1716.046919401062,1527,30257.26975989416,29340
5,the {cat},True,77.02005347593582,14.572590552344652,5.285268477096113,1097.8613904406466,1053,30257.26975989416,29340
5,a small {cat} near the center,False,14.572590552344652,14.572590552344652,1.0,8264.758136141872,9475,30257.26975989416,29340
6,a {cat} object,True,73.40024009603842,14.235325223189758,5.156203946536276,1880.8355700631523,1780,31417.462208928875,30952
6,other,False,14.235325223189758,14.235325223189758,1.0,8063.725935013593,5852,31417.462208928875,30952
6,a {cat} in the scene,False,14.235325223189758,14.235325223189758,1.0,7799.364640065924,8351,31417.462208928875,30952
6,a visible {cat} in the scene,True,79.772397094431,14.235325223189758,5.603833831943611,839.5914799469622,966,31417.462208928875,30952
6,a photo of a {cat},True,16.660592481951703,14.235325223189758,1.170369641770538,1524.2030451881383,1437,31417.462208928875,30952
6,the {cat},True,68.37104072398189,14.235325223189758,4.802913853531318,1161.2911214468986,1121,31417.462208928875,30952
6,a small {cat} near the center,False,14.235325223189758,14.235325223189758,1.0,10258.84788718903,11445,31417.462208928875,30952
7,a {cat} object,True,81.33322010869566,13.754023573359795,5.913412876958433,1820.0164439811592,1906,30315.53723907149,30216
7,other,False,13.754023573359795,13.754023573359795,1.0,8290.6488773612,5973,30315.53723907149,30216
7,a {cat} in the scene,False,13.754023573359795,13.754023573359795,1.0,7547.287865656572,8369,30315.53723907149,30216
7,a visible {cat} in the scene,True,72.4080791426216,13.754023573359795,5.264501602488816,954.2035132316214,1074,30315.53723907149,30216
7,a photo of a {cat},True,18.57699443413729,13.754023573359795,1.3506589061050558,1875.7776748389656,1920,30315.53723907149,30216
7,the {cat},True,75.32584269662921,13.754023573359795,5.47664051140119,918.0927048261416,918,30315.53723907149,30216
7,a small {cat} near the center,False,13.754023573359795,13.754023573359795,1.0,8931.350669909418,10056,30315.53723907149,30216
8,a {cat} object,True,38.477635782747605,13.502932827303926,2.849576182808448,1935.270036837684,2134,32051.441754780702,32987
8,other,False,13.502932827303926,13.502932827303926,1.0,8516.6986478226,6574,32051.441754780702,32987
8,a {cat} in the scene,False,13.502932827303926,13.502932827303926,1.0,8045.44849902155,8836,32051.441754780702,32987
8,a visible {cat} in the scene,True,80.71148936170214,13.502932827303926,5.97733028772072,1232.8492700199886,1297,32051.441754780702,32987
8,a photo of a {cat},True,21.539669421487602,13.502932827303926,1.5951845200572132,1755.3206900969783,1738,32051.441754780702,32987
8,the {cat},True,154.24479600333058,13.502932827303926,11.423058825519462,1006.7004298066934,981,32051.441754780702,32987
8,a small {cat} near the center,False,13.502932827303926,13.502932827303926,1.0,9671.374180596433,11427,32051.441754780702,32987
9,a {cat} object,True,74.30476190476189,15.090433919837434,4.923964565862024,1917.708215244401,2107,33117.71719499875,33693
9,other,False,15.090433919837434,15.090433919837434,1.0,8306.225056679257,6275,33117.71719499875,33693
9,a {cat} in the scene,False,15.090433919837434,15.090433919837434,1.0,7865.96459957569,8440,33117.71719499875,33693
9,a visible {cat} in the scene,True,153.77455166524337,15.090433919837434,10.190200790919334,1151.3876627105083,1258,33117.71719499875,33693
9,a photo of a {cat},True,18.87605435801312,15.090433919837434,1.2508622653454136,1991.2095067237033,1938,33117.71719499875,33693
9,the {cat},True,130.2607913669065,15.090433919837434,8.632010985162564,1219.9720734632424,1193,33117.71719499875,33693
9,a small {cat} near the center,False,15.090433919837434,15.090433919837434,1.0,10776.825018591762,12482,33117.71719499875,33693
10,a {cat} object,True,56.11408796606385,14.828244533581652,3.7842704737557975,1828.5729144801305,1960,32149.29747674239,31580
10,other,False,14.828244533581652,14.828244533581652,1.0,8181.206226252937,5593,32149.29747674239,31580
10,a {cat} in the scene,False,14.828244533581652,14.828244533581652,1.0,9059.94942168904,9805,32149.29747674239,31580
10,a visible {cat} in the scene,True,142.64991023339317,14.828244533581652,9.62014821851182,1137.053679131308,1296,32149.29747674239,31580
10,a photo of a {cat},True,16.215698787492023,14.828244533581652,1.093568341874063,1173.6892774276853,1170,32149.29747674239,31580
10,the {cat},True,144.9099099099099,14.828244533581652,9.772560034448528,1333.2740810812536,1358,32149.29747674239,31580
10,a small {cat} near the center,False,14.828244533581652,14.828244533581652,1.0,9304.683345547624,10398,32149.29747674239,31580
11,a {cat} object,True,76.24227441285538,14.72054831944117,5.179309408751001,1890.826021280682,1837,30826.10832120289,30263
11,other,False,14.72054831944117,14.72054831944117,1.0,8218.785408891239,5659,30826.10832120289,30263
11,a {cat} in the scene,False,14.72054831944117,14.72054831944117,1.0,7389.622261766625,8221,30826.10832120289,30263
11,a visible {cat} in the scene,True,79.98087876322214,14.72054831944117,5.433281222112684,998.938360469919,1078,30826.10832120289,30263
11,a photo of a {cat},True,17.175570032573287,14.72054831944117,1.1667751540131024,1913.0653644794493,1958,30826.10832120289,30263
11,the {cat},True,77.77379949452401,14.72054831944117,5.283349356749811,984.0262450948985,1131,30826.10832120289,30263
11,a small {cat} near the center,False,14.72054831944117,14.72054831944117,1.0,9404.324565058261,10379,30826.10832120289,30263
12,a {cat} object,True,97.37582781456955,13.695919468549036,7.109842317500548,2043.7065423884394,1954,32386.006829499027,31950
12,other,False,13.695919468549036,13.695919468549036,1.0,8582.846933762637,6555,32386.006829499027,31950
12,a {cat} in the scene,False,13.695919468549036,13.695919468549036,1.0,9601.34230976925,10513,32386.006829499027,31950
12,a visible {cat} in the scene,True,74.0983379501385,13.695919468549036,5.410249243966136,1015.5866360621609,1062,32386.006829499027,31950
12,a photo of a {cat},True,20.430733410942956,13.695919468549036,1.491738722461064,1660.2287897992296,1624,32386.006829499027,31950
12,the {cat},True,76.97212837837837,13.695919468549036,5.620077465783529,1196.4099956868151,1120,32386.006829499027,31950
12,a small {cat} near the center,False,13.695919468549036,13.695919468549036,1.0,8435.64016104219,9122,32386.006829499027,31950
13,a {cat} object,True,96.28828972559029,14.767255388299692,6.520391717602506,2347.2826456609387,2213,31799.930724586804,31606
13,other,False,14.767255388299692,14.767255388299692,1.0,7773.081829530862,5582,31799.930724586804,31606
13,a {cat} in the scene,False,14.767255388299692,14.767255388299692,1.0,8807.701336900314,9516,31799.930724586804,31606
13,a visible {cat} in the scene,True,119.70037453183522,14.767255388299692,8.105797007254004,1651.276353414063,1510,31799.930724586804,31606
13,a photo of a {cat},True,22.898384925975773,14.767255388299692,1.5506188742505593,2140.4664948273175,2056,31799.930724586804,31606
13,the {cat},True,80.94978723404255,14.767255388299692,5.4817083544299114,909.6403092882235,840,31799.930724586804,31606
13,a small {cat} near the center,False,14.767255388299692,14.767255388299692,1.0,8615.071641371313,9889,31799.930724586804,31606
14,a {cat} object,True,67.34580397181294,14.603955061226438,4.611477075180567,2333.5556084321834,2383,31356.313195882303,31414
14,other,False,14.603955061226438,14.603955061226438,1.0,8172.567779729673,6009,31356.313195882303,31414
14,a {cat} in the scene,False,14.603955061226438,14.603955061226438,1.0,7629.7061571892145,8045,31356.313195882303,31414
14,a visible {cat} in the scene,True,75.83518360375747,14.603955061226438,5.192783960634075,894.2187724824754,989,31356.313195882303,31414
14,a photo of a {cat},True,18.185730353562523,14.603955061226438,1.2452606350348006,1601.9754044127058,1662,31356.313195882303,31414
14,the {cat},True,144.8172043010753,14.603955061226438,9.916300323709265,1210.658596725007,1156,31356.313195882303,31414
14,a small {cat} near the center,False,14.603955061226438,14.603955061226438,1.0,9663.703300476001,11170,31356.313195882303,31414
15,a {cat} object,True,78.07850707850707,14.699850980414167,5.311516911466487,1938.7199699733014,2107,31823.949540169175,32294
15,other,False,14.699850980414167,14.699850980414167,1.0,8268.820326411787,6389,31823.949540169175,32294
15,a {cat} in the scene,False,14.699850980414167,14.699850980414167,1.0,9654.197242707123,10808,31823.949540169175,32294
15,a visible {cat} in the scene,True,84.91935483870968,14.699850980414167,5.776885422298144,891.1948241481527,902,31823.949540169175,32294
