config,strategy,rejections,fdp,recall,pass_rate,mean_family_fdp
isotonic_clip500,pertemplate,98.55,0.038885888358117474,0.05593231338130987,1.0,0.003258145363408521
isotonic_clip500,global,3.2,0.41,0.0011079145629506993,0.25,0.001086048454469507
isotonic_clip500_alpha,α=0.05,77.8,0.017229166216092703,0.04512011856790748,0.95,0.0011695906432748538
isotonic_clip500_alpha,α=0.1,98.55,0.038885888358117474,0.05593231338130987,1.0,0.003258145363408521
isotonic_clip500_alpha,α=0.15,114.8,0.06038719553691824,0.06375113471878964,1.0,0.005847953216374269
isotonic_clip500_alpha,α=0.2,131.95,0.10236302286625643,0.06998469109497452,1.0,0.011382623224728487
isotonic_clip1000,pertemplate,97.9,0.03807109891407743,0.05560426344523513,1.0,0.0031746031746031746
isotonic_clip1000,global,3.2,0.41,0.0011079145629506993,0.25,0.001086048454469507
isotonic_clip1000_alpha,α=0.05,78.0,0.01779263932951086,0.045208821773774124,0.95,0.0012113617376775271
isotonic_clip1000_alpha,α=0.1,97.9,0.03807109891407743,0.05560426344523513,1.0,0.0031746031746031746
isotonic_clip1000_alpha,α=0.15,113.55,0.05963219344076341,0.06309957891319624,1.0,0.005722639933166249
isotonic_clip1000_alpha,α=0.2,130.2,0.10295438827113837,0.06903266406716237,1.0,0.01129908103592314
isotonic_noclip,pertemplate,97.25,0.038485769175646174,0.05521887276251412,1.0,0.0031746031746031746
isotonic_noclip,global,3.2,0.41,0.0011079145629506993,0.25,0.001086048454469507
isotonic_noclip_alpha,α=0.05,77.9,0.017874715972701728,0.045147470570087334,0.95,0.0012113617376775271
isotonic_noclip_alpha,α=0.1,97.25,0.038485769175646174,0.05521887276251412,1.0,0.0031746031746031746
isotonic_noclip_alpha,α=0.15,111.55,0.05964805944721534,0.06197567291876745,1.0,0.005639097744360902
isotonic_noclip_alpha,α=0.2,126.85,0.10411652698186591,0.06720097953234601,1.0,0.011090225563909773
hist80_sm01_clip500,pertemplate,91.4,0.03778121620757742,0.05198715894110763,1.0,0.0029239766081871343
hist80_sm01_clip500,global,3.2,0.41,0.0011079145629506993,0.25,0.001086048454469507
hist80_sm01_clip500_alpha,α=0.05,65.3,0.014082438397109803,0.03812742380406077,1.0,0.0007936507936507937
hist80_sm01_clip500_alpha,α=0.1,91.4,0.03778121620757742,0.05198715894110763,1.0,0.0029239766081871343
hist80_sm01_clip500_alpha,α=0.15,108.45,0.059517122705292316,0.060293518357908804,1.0,0.005430242272347535
hist80_sm01_clip500_alpha,α=0.2,123.9,0.10278074577734897,0.0656743278497827,1.0,0.01073517126148705
hist80_sm01_noclip,pertemplate,89.6,0.0381110255346938,0.05095955452363108,1.0,0.002882205513784461
hist80_sm01_noclip,global,3.2,0.41,0.0011079145629506993,0.25,0.001086048454469507
hist80_sm01_noclip_alpha,α=0.05,64.0,0.014166783876192125,0.037338594215280387,1.0,0.0007936507936507937
hist80_sm01_noclip_alpha,α=0.1,89.6,0.0381110255346938,0.05095955452363108,1.0,0.002882205513784461
hist80_sm01_noclip_alpha,α=0.15,106.6,0.059313985352699126,0.059283304523803704,1.0,0.0053049289891395155
hist80_sm01_noclip_alpha,α=0.2,122.35,0.10387061801933901,0.06477376791012293,1.0,0.010693400167084376
logreg_noclip,pertemplate,91.05,0.03753672689156088,0.05177466674170189,1.0,0.0028404344193817877
logreg_noclip,global,3.2,0.41,0.0011079145629506993,0.25,0.001086048454469507
logreg_noclip_alpha,α=0.05,64.05,0.020383367896870418,0.03714824394885124,0.9,0.001086048454469507
logreg_noclip_alpha,α=0.1,91.05,0.03753672689156088,0.05177466674170189,1.0,0.0028404344193817877
logreg_noclip_alpha,α=0.15,107.4,0.059597271841643526,0.059711807752977276,1.0,0.005346700083542188
logreg_noclip_alpha,α=0.2,123.6,0.10155369376683672,0.06565177244146633,1.0,0.010526315789473684
