seed,alpha,strategy,rejections,fdp,recall,mean_family_fdp,max_evalue
0,0.05,global,0,0.0,0.0,0.0,14.48990763662719
0,0.1,global,3,0.3333333333333333,0.0010147133434804667,0.000835421888053467,14.48990763662719
0,0.15,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,14.48990763662719
0,0.2,global,43,0.2558139534883721,0.016235413495687467,0.009189640768588136,14.48990763662719
0,0.05,pertemplate_phi_local_Cm,63,0.015873015873015872,0.03145611364789447,0.000835421888053467,136.83626459075347
0,0.1,pertemplate_phi_local_Cm,96,0.020833333333333332,0.047691527143581935,0.001670843776106934,136.83626459075347
0,0.15,pertemplate_phi_local_Cm,115,0.05217391304347826,0.055301877219685436,0.005012531328320802,136.83626459075347
0,0.2,pertemplate_phi_local_Cm,132,0.10606060606060606,0.059868087265347536,0.011695906432748537,136.83626459075347
0,0.05,pertemplate_phi_global_Cm,66,0.015151515151515152,0.03297818366311517,0.000835421888053467,150.99469377667114
0,0.1,pertemplate_phi_global_Cm,99,0.030303030303030304,0.0487062404870624,0.002506265664160401,150.99469377667114
0,0.15,pertemplate_phi_global_Cm,124,0.10483870967741936,0.0563165905631659,0.01086048454469507,150.99469377667114
0,0.2,pertemplate_phi_global_Cm,138,0.09420289855072464,0.06341958396752917,0.01086048454469507,150.99469377667114
1,0.05,global,0,0.0,0.0,0.0,15.546098584858854
1,0.1,global,1,1.0,0.0,0.000835421888053467,15.546098584858854
1,0.15,global,28,0.35714285714285715,0.012684989429175475,0.00835421888053467,15.546098584858854
1,0.2,global,59,0.3389830508474576,0.02748414376321353,0.01670843776106934,15.546098584858854
1,0.05,pertemplate_phi_local_Cm,37,0.05405405405405406,0.02466525722339676,0.001670843776106934,160.61293292308977
1,0.1,pertemplate_phi_local_Cm,72,0.08333333333333333,0.046511627906976744,0.005012531328320802,160.61293292308977
1,0.15,pertemplate_phi_local_Cm,86,0.10465116279069768,0.05426356589147287,0.007518796992481203,160.61293292308977
