seed,alpha,iou_thresh,n_candidates,n_clusters,compression_ratio,mean_cluster_size,max_cluster_size,nms_rej,nms_fp,nms_tp,nms_tp_members,nms_fdp_pooled,nms_family_fdp_mean,nms_recall_cluster,nms_recall_members,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall,total_tp_clusters,nms_hit_tp_clusters,base_hit_tp_clusters,nms_recall_object,base_recall_object
0,0.05,0.5,5834,3676,0.6300994172094617,1.587051142546246,30,164,9,155,184,0.054878048780487805,0.01520572450805009,0.29080675422138835,0.3452157598499062,164,11,153,0.06707317073170732,0.018783542039355994,0.2870544090056285,329,155,153,0.47112462006079026,0.46504559270516715
0,0.1,0.5,5834,3676,0.6300994172094617,1.587051142546246,30,208,18,190,241,0.08653846153846154,0.026833631484794274,0.35647279549718575,0.4521575984990619,203,17,186,0.08374384236453201,0.026744186046511628,0.34896810506566606,329,190,186,0.5775075987841946,0.5653495440729484
0,0.15,0.5,5834,3676,0.6300994172094617,1.587051142546246,30,229,25,204,265,0.1091703056768559,0.03354203935599284,0.3827392120075047,0.4971857410881801,234,27,207,0.11538461538461539,0.03623534088650368,0.3883677298311445,329,204,207,0.6200607902735562,0.6291793313069909
0,0.2,0.5,5834,3676,0.6300994172094617,1.587051142546246,30,242,32,210,278,0.1322314049586777,0.0372192407076128,0.39399624765478425,0.5215759849906192,247,30,217,0.1214574898785425,0.03862055257404094,0.4071294559099437,329,210,216,0.6382978723404256,0.6565349544072948
1,0.05,0.5,5839,3723,0.6376091796540504,1.5683588503894708,29,143,5,138,164,0.03496503496503497,0.008944543828264758,0.2536764705882353,0.3014705882352941,130,5,125,0.038461538461538464,0.008944543828264758,0.22977941176470587,327,138,125,0.42201834862385323,0.382262996941896
1,0.1,0.5,5839,3723,0.6376091796540504,1.5683588503894708,29,173,8,165,199,0.046242774566473986,0.0129695885509839,0.30330882352941174,0.36580882352941174,180,9,171,0.05,0.014758497316636851,0.31433823529411764,327,165,169,0.5045871559633027,0.5168195718654435
1,0.15,0.5,5839,3723,0.6376091796540504,1.5683588503894708,29,194,13,181,226,0.06701030927835051,0.020572450805008944,0.3327205882352941,0.41544117647058826,202,14,188,0.06930693069306931,0.020700230002555584,0.34558823529411764,327,181,187,0.5535168195718655,0.5718654434250765
1,0.2,0.5,5839,3723,0.6376091796540504,1.5683588503894708,29,208,16,192,248,0.07692307692307693,0.023255813953488372,0.35294117647058826,0.45588235294117646,219,19,200,0.0867579908675799,0.02517250191668796,0.36764705882352944,327,192,197,0.5871559633027523,0.6024464831804281
10,0.05,0.5,5428,3508,0.6462785556374355,1.5473204104903078,22,149,10,139,160,0.06711409395973154,0.017889087656529516,0.2667946257197697,0.30710172744721687,150,10,140,0.06666666666666667,0.017889087656529516,0.2687140115163148,319,139,138,0.43573667711598746,0.43260188087774293
10,0.1,0.5,5428,3508,0.6462785556374355,1.5473204104903078,22,179,14,165,201,0.0782122905027933,0.022182468694096603,0.31669865642994244,0.3857965451055662,180,12,168,0.06666666666666667,0.02146690518783542,0.32245681381957775,319,165,164,0.5172413793103449,0.5141065830721003
10,0.15,0.5,5428,3508,0.6462785556374355,1.5473204104903078,22,200,14,186,239,0.07,0.022182468694096603,0.3570057581573896,0.45873320537428025,208,17,191,0.08173076923076923,0.023971377459749553,0.3666026871401152,319,186,186,0.5830721003134797,0.5830721003134797
10,0.2,0.5,5428,3508,0.6462785556374355,1.5473204104903078,22,222,20,202,271,0.09009009009009009,0.031127012522361358,0.3877159309021113,0.5201535508637236,230,22,208,0.09565217391304348,0.03291592128801431,0.39923224568138194,319,202,202,0.6332288401253918,0.6332288401253918
11,0.05,0.5,6109,3926,0.6426583728924538,1.556036678553235,37,182,6,176,211,0.03296703296703297,0.009168157423971377,0.30823117338003503,0.36952714535901926,171,7,164,0.04093567251461988,0.01095706618962433,0.287215411558669,379,176,163,0.46437994722955145,0.43007915567282323
11,0.1,0.5,6109,3926,0.6426583728924538,1.556036678553235,37,214,6,208,266,0.028037383177570093,0.009168157423971377,0.36427320490367776,0.4658493870402802,220,7,213,0.031818181818181815,0.01095706618962433,0.37302977232924694,379,208,208,0.5488126649076517,0.5488126649076517
11,0.15,0.5,6109,3926,0.6426583728924538,1.556036678553235,37,234,8,226,294,0.03418803418803419,0.012745974955277281,0.3957968476357268,0.5148861646234676,241,9,232,0.03734439834024896,0.014534883720930232,0.4063047285464098,379,226,225,0.5963060686015831,0.5936675461741425
11,0.2,0.5,6109,3926,0.6426583728924538,1.556036678553235,37,257,13,244,321,0.05058365758754864,0.02169051878354204,0.4273204903677758,0.5621716287215411,268,16,252,0.05970149253731343,0.024054433938154866,0.4413309982486865,379,244,246,0.6437994722955145,0.6490765171503958
12,0.05,0.5,6142,3887,0.6328557473135786,1.58013892462053,74,74,1,73,85,0.013513513513513514,0.0017889087656529517,0.13644859813084112,0.1588785046728972,73,1,72,0.0136986301369863,0.0017889087656529517,0.13457943925233645,326,73,72,0.22392638036809817,0.22085889570552147
12,0.1,0.5,6142,3887,0.6328557473135786,1.58013892462053,74,74,1,73,85,0.013513513513513514,0.0017889087656529517,0.13644859813084112,0.1588785046728972,74,1,73,0.013513513513513514,0.0017889087656529517,0.13644859813084112,326,73,73,0.22392638036809817,0.22392638036809817
12,0.15,0.5,6142,3887,0.6328557473135786,1.58013892462053,74,74,1,73,85,0.013513513513513514,0.0017889087656529517,0.13644859813084112,0.1588785046728972,74,1,73,0.013513513513513514,0.0017889087656529517,0.13644859813084112,326,73,73,0.22392638036809817,0.22392638036809817
12,0.2,0.5,6142,3887,0.6328557473135786,1.58013892462053,74,74,1,73,85,0.013513513513513514,0.0017889087656529517,0.13644859813084112,0.1588785046728972,74,1,73,0.013513513513513514,0.0017889087656529517,0.13644859813084112,326,73,73,0.22392638036809817,0.22392638036809817
13,0.05,0.5,5689,3690,0.6486201441378098,1.5417344173441734,23,158,7,151,180,0.04430379746835443,0.011627906976744186,0.27060931899641577,0.3225806451612903,142,9,133,0.06338028169014084,0.01520572450805009,0.23835125448028674,341,151,133,0.44281524926686217,0.39002932551319647
13,0.1,0.5,5689,3690,0.6486201441378098,1.5417344173441734,23,197,12,185,225,0.06091370558375635,0.0176654740608229,0.33154121863799285,0.4032258064516129,195,12,183,0.06153846153846154,0.0189823096799841,0.3279569892473118,341,185,183,0.5425219941348973,0.5366568914956011
13,0.15,0.5,5689,3690,0.6486201441378098,1.5417344173441734,23,221,14,207,257,0.06334841628959276,0.021243291592128802,0.3709677419354839,0.460573476702509,229,15,214,0.06550218340611354,0.02291790896442059,0.3835125448028674,341,207,212,0.6070381231671554,0.6217008797653959
13,0.2,0.5,5689,3690,0.6486201441378098,1.5417344173441734,23,235,17,218,272,0.07234042553191489,0.023901808785529714,0.3906810035842294,0.4874551971326165,243,16,227,0.06584362139917696,0.024706817730073542,0.4068100358422939,341,218,224,0.6392961876832844,0.656891495601173
14,0.05,0.5,5586,3663,0.6557465091299678,1.524979524979525,28,182,11,171,213,0.06043956043956044,0.012999403697078114,0.3154981549815498,0.3929889298892989,187,11,176,0.058823529411764705,0.01520572450805009,0.3247232472324723,344,171,170,0.49709302325581395,0.4941860465116279
14,0.1,0.5,5586,3663,0.6557465091299678,1.524979524979525,28,219,17,202,276,0.0776255707762557,0.020849305733026662,0.3726937269372694,0.5092250922509225,228,16,212,0.07017543859649122,0.02146690518783542,0.39114391143911437,344,202,205,0.5872093023255814,0.5959302325581395
14,0.15,0.5,5586,3663,0.6557465091299678,1.524979524979525,28,243,20,223,304,0.0823045267489712,0.024522957662492545,0.4114391143911439,0.5608856088560885,251,21,230,0.08366533864541832,0.02616279069767442,0.42435424354243545,344,223,222,0.6482558139534884,0.6453488372093024
14,0.2,0.5,5586,3663,0.6557465091299678,1.524979524979525,28,252,22,230,317,0.0873015873015873,0.028100775193798447,0.42435424354243545,0.584870848708487,266,22,244,0.08270676691729323,0.027862254025044723,0.45018450184501846,344,230,235,0.6686046511627907,0.6831395348837209
15,0.05,0.5,5950,3852,0.6473949579831932,1.5446521287642783,30,169,3,166,198,0.01775147928994083,0.0038759689922480624,0.2876949740034662,0.3431542461005199,167,3,164,0.017964071856287425,0.0038759689922480624,0.28422876949740034,364,166,162,0.45604395604395603,0.44505494505494503
15,0.1,0.5,5950,3852,0.6473949579831932,1.5446521287642783,30,208,7,201,252,0.03365384615384615,0.010137149672033394,0.3483535528596187,0.43674176776429807,212,6,206,0.02830188679245283,0.009242695289206918,0.35701906412478335,364,201,204,0.5521978021978022,0.5604395604395604
15,0.15,0.5,5950,3852,0.6473949579831932,1.5446521287642783,30,224,8,216,276,0.03571428571428571,0.01073345259391771,0.37435008665511266,0.4783362218370884,232,11,221,0.04741379310344827,0.014439049322770252,0.3830155979202773,364,216,218,0.5934065934065934,0.5989010989010989
15,0.2,0.5,5950,3852,0.6473949579831932,1.5446521287642783,30,243,17,226,295,0.06995884773662552,0.026833631484794278,0.39168110918544197,0.511265164644714,250,19,231,0.076,0.028750319447993864,0.4003466204506066,364,226,228,0.6208791208791209,0.6263736263736264
16,0.05,0.5,5895,3645,0.6183206106870229,1.617283950617284,74,145,10,135,158,0.06896551724137931,0.016696481812760882,0.20833333333333334,0.24382716049382716,145,10,135,0.06896551724137931,0.016696481812760882,0.20833333333333334,378,135,132,0.35714285714285715,0.3492063492063492
16,0.1,0.5,5895,3645,0.6183206106870229,1.617283950617284,74,182,10,172,216,0.054945054945054944,0.016696481812760882,0.2654320987654321,0.3333333333333333,188,10,178,0.05319148936170213,0.016696481812760882,0.27469135802469136,378,172,173,0.455026455026455,0.4576719576719577
16,0.15,0.5,5895,3645,0.6183206106870229,1.617283950617284,74,200,14,186,237,0.07,0.022510435301132975,0.28703703703703703,0.36574074074074076,211,15,196,0.07109004739336493,0.024299344066785925,0.30246913580246915,378,186,191,0.49206349206349204,0.5052910052910053
16,0.2,0.5,5895,3645,0.6183206106870229,1.617283950617284,74,218,18,200,259,0.08256880733944955,0.0251937984496124,0.30864197530864196,0.39969135802469136,235,18,217,0.07659574468085106,0.0251937984496124,0.33487654320987653,378,200,210,0.5291005291005291,0.5555555555555556
17,0.05,0.5,6054,3903,0.6446977205153618,1.5511145272867026,28,129,4,125,149,0.031007751937984496,0.006261180679785331,0.24606299212598426,0.2933070866141732,122,4,118,0.03278688524590164,0.006261180679785331,0.23228346456692914,321,125,117,0.3894080996884735,0.3644859813084112
17,0.1,0.5,6054,3903,0.6446977205153618,1.5511145272867026,28,170,10,160,191,0.058823529411764705,0.011180679785330949,0.31496062992125984,0.37598425196850394,165,7,158,0.04242424242424243,0.009391771019677997,0.3110236220472441,321,160,155,0.4984423676012461,0.48286604361370716
17,0.15,0.5,6054,3903,0.6446977205153618,1.5511145272867026,28,205,18,187,234,0.08780487804878048,0.013883919697873186,0.36811023622047245,0.46062992125984253,195,14,181,0.07179487179487179,0.013864042933810376,0.3562992125984252,321,187,177,0.5825545171339563,0.5514018691588785
17,0.2,0.5,6054,3903,0.6446977205153618,1.5511145272867026,28,230,26,204,271,0.11304347826086956,0.02524349035976943,0.4015748031496063,0.5334645669291339,234,26,208,0.1111111111111111,0.02434903597694295,0.4094488188976378,321,204,204,0.6355140186915887,0.6355140186915887
18,0.05,0.5,6413,4220,0.6580383595820989,1.5196682464454976,22,163,11,152,179,0.06748466257668712,0.01967799642218247,0.2571912013536379,0.30287648054145516,145,10,135,0.06896551724137931,0.017889087656529516,0.22842639593908629,377,152,134,0.40318302387267907,0.35543766578249336
18,0.1,0.5,6413,4220,0.6580383595820989,1.5196682464454976,22,214,20,194,230,0.09345794392523364,0.028324388789505068,0.32825719120135366,0.38917089678510997,203,17,186,0.08374384236453201,0.026446034585569468,0.3147208121827411,377,194,185,0.5145888594164456,0.4907161803713528
18,0.15,0.5,6413,4220,0.6580383595820989,1.5196682464454976,22,228,24,204,241,0.10526315789473684,0.032796660703637445,0.34517766497461927,0.4077834179357022,243,22,221,0.09053497942386832,0.028234943351222418,0.3739424703891709,377,204,217,0.5411140583554377,0.5755968169761273
18,0.2,0.5,6413,4220,0.6580383595820989,1.5196682464454976,22,245,30,215,263,0.12244897959183673,0.04174120453190221,0.3637901861252115,0.4450084602368866,266,28,238,0.10526315789473684,0.03896839594514013,0.4027072758037225,377,215,234,0.5702917771883289,0.6206896551724138
19,0.05,0.5,5671,3654,0.6443308058543467,1.5519978106185002,37,167,8,159,183,0.04790419161676647,0.013416815742397137,0.3005671077504726,0.34593572778827975,160,8,152,0.05,0.013416815742397137,0.28733459357277885,336,159,149,0.4732142857142857,0.44345238095238093
19,0.1,0.5,5671,3654,0.6443308058543467,1.5519978106185002,37,209,15,194,230,0.07177033492822966,0.020572450805008944,0.3667296786389414,0.43478260869565216,209,14,195,0.06698564593301436,0.020125223613595707,0.3686200378071834,336,194,192,0.5773809523809523,0.5714285714285714
19,0.15,0.5,5671,3654,0.6443308058543467,1.5519978106185002,37,240,25,215,262,0.10416666666666667,0.03130590339892665,0.4064272211720227,0.4952741020793951,237,21,216,0.08860759493670886,0.02830309225658063,0.40831758034026466,336,215,214,0.6398809523809523,0.6369047619047619
19,0.2,0.5,5671,3654,0.6443308058543467,1.5519978106185002,37,245,25,220,273,0.10204081632653061,0.03130590339892665,0.4158790170132325,0.5160680529300568,254,27,227,0.1062992125984252,0.031443620978504706,0.42911153119092627,336,220,224,0.6547619047619048,0.6666666666666666
