bin,left,right,null_count,tp_count,p0,p1,phi
0,0.050003208220005,0.05047764461487529,226,6,0.013847373879094736,0.003097345132743363,0.22367743947604382
1,0.05047764461487529,0.05095525830984111,221,10,0.013542365643872385,0.0048672566371681415,0.3594096308698079
2,0.05095525830984111,0.05140443723648782,226,5,0.013847373879094736,0.002654867256637168,0.1917235195508947
3,0.05140443723648782,0.05186223983764642,223,8,0.013664368937961325,0.003982300884955752,0.2914368678887484
4,0.05186223983764642,0.052390221506357124,225,6,0.013786372232050266,0.003097345132743363,0.22466716265956613
5,0.052390221506357124,0.05289287492632863,225,6,0.013786372232050266,0.003097345132743363,0.22466716265956613
6,0.05289287492632863,0.05345984566956757,226,6,0.013847373879094736,0.003097345132743363,0.22367743947604382
7,0.05345984566956757,0.05401297807693474,226,5,0.013847373879094736,0.002654867256637168,0.1917235195508947
8,0.05401297807693474,0.05456215608865019,225,6,0.013786372232050266,0.003097345132743363,0.22466716265956613
9,0.05456215608865019,0.055204372853040654,221,10,0.013542365643872385,0.0048672566371681415,0.3594096308698079
10,0.055204372853040654,0.05583516974002121,224,7,0.013725370585005794,0.0035398230088495575,0.25790363815142575
11,0.05583516974002121,0.056415802985429725,220,11,0.013481363996827915,0.005309734513274336,0.39385736595523163
12,0.056415802985429725,0.057086553052067716,224,7,0.013725370585005794,0.0035398230088495575,0.25790363815142575
13,0.057086553052067716,0.05771710798144335,227,5,0.013908375526139206,0.002654867256637168,0.19088262692128552
14,0.05771710798144335,0.058465398848056724,221,10,0.013542365643872385,0.0048672566371681415,0.3594096308698079
15,0.058465398848056724,0.0592387497425079,223,8,0.013664368937961325,0.003982300884955752,0.2914368678887484
16,0.0592387497425079,0.059920387342572184,219,12,0.013420362349783443,0.005752212389380531,0.42861826226870475
17,0.059920387342572184,0.06063384637236588,225,6,0.013786372232050266,0.003097345132743363,0.22466716265956613
18,0.06063384637236588,0.06134973727166648,221,10,0.013542365643872385,0.0048672566371681415,0.3594096308698079
19,0.06134973727166648,0.0620491467416286,229,2,0.014030378820228145,0.001327433628318584,0.09461138899576761
20,0.0620491467416286,0.06278279609978195,225,7,0.013786372232050266,0.0035398230088495575,0.2567624716109327
21,0.06278279609978195,0.06354794874787327,226,5,0.013847373879094736,0.002654867256637168,0.1917235195508947
22,0.06354794874787327,0.0644124463200569,224,7,0.013725370585005794,0.0035398230088495575,0.25790363815142575
23,0.0644124463200569,0.06532134413719175,220,11,0.013481363996827915,0.005309734513274336,0.39385736595523163
24,0.06532134413719175,0.06621749699115745,219,12,0.013420362349783443,0.005752212389380531,0.42861826226870475
25,0.06621749699115745,0.06719566956162452,218,13,0.013359360702738974,0.006194690265486726,0.46369660969006343
