method,alpha,total_rejections,fdp,recall
betting,0.05,36.8,0.006896551724137931,0.08105784588806864
betting,0.1,47.8,0.013607775871926815,0.10449218479969584
betting,0.15,52.8,0.012333965844402276,0.11556978910867624
betting,0.2,64.0,0.012672852244844901,0.14012258003423245
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,109.0,0.08498143180392564,0.21971845315055258
pvalue_bh,0.1,174.4,0.12420494943929741,0.3358668437213811
pvalue_bh,0.15,239.6,0.15241629253654362,0.44535991353766996
pvalue_bh,0.2,305.0,0.1865715926042076,0.5452643403943477
