seed,alpha,R_statistic,iou_thresh,n_cal_all_null_clusters,total_tp_clusters,total_tp_candidates,sa_rej,sa_fp,sa_tp,sa_fdp_pooled,sa_family_fdp_mean,sa_recall_object,base_rej,base_fp,base_tp,base_fdp_pooled,base_family_fdp_mean,base_recall_candidate,base_recall_object
0,0.05,max_phi,0.5,3622,433,715,107,3,104,0.028037383177570093,0.0026070763500931097,0.24018475750577367,111,3,108,0.02702702702702703,0.0026070763500931097,0.15104895104895105,0.24480369515011546
0,0.1,max_phi,0.5,3622,433,715,126,5,121,0.03968253968253968,0.004158907510862818,0.279445727482679,133,4,129,0.03007518796992481,0.0032278088144009932,0.18041958041958042,0.29330254041570436
0,0.15,max_phi,0.5,3622,433,715,154,9,145,0.05844155844155844,0.009745499689633766,0.3348729792147806,156,6,150,0.038461538461538464,0.006021104903786468,0.2097902097902098,0.3371824480369515
0,0.2,max_phi,0.5,3622,433,715,163,10,153,0.06134969325153374,0.010552451893234015,0.3533487297921478,173,8,165,0.046242774566473986,0.008690254500310366,0.23076923076923078,0.371824480369515
1,0.05,max_phi,0.5,3551,425,660,105,3,102,0.02857142857142857,0.0037243947858473,0.24,96,1,95,0.010416666666666666,0.00186219739292365,0.14393939393939395,0.2235294117647059
1,0.1,max_phi,0.5,3551,425,660,142,6,136,0.04225352112676056,0.005005650257046906,0.32,155,6,149,0.03870967741935484,0.004519409826672397,0.22575757575757577,0.34823529411764703
1,0.15,max_phi,0.5,3551,425,660,161,8,153,0.049689440993788817,0.007778255264288784,0.36,174,7,167,0.040229885057471264,0.006381607219596047,0.25303030303030305,0.3905882352941176
1,0.2,max_phi,0.5,3551,425,660,181,12,169,0.06629834254143646,0.01280618822518264,0.3976470588235294,193,10,183,0.05181347150259067,0.011020171634696773,0.2772727272727273,0.4211764705882353
2,0.05,max_phi,0.5,3351,407,672,100,9,91,0.09,0.0111731843575419,0.22358722358722358,102,9,93,0.08823529411764706,0.0111731843575419,0.13839285714285715,0.22604422604422605
2,0.1,max_phi,0.5,3351,407,672,119,13,106,0.1092436974789916,0.013904407200496587,0.26044226044226043,118,11,107,0.09322033898305085,0.013656114214773432,0.15922619047619047,0.257985257985258
2,0.15,max_phi,0.5,3351,407,672,139,14,125,0.10071942446043165,0.015766604593420237,0.3071253071253071,136,12,124,0.08823529411764706,0.01551831160769708,0.18452380952380953,0.29484029484029484
2,0.2,max_phi,0.5,3351,407,672,145,17,128,0.11724137931034483,0.019553072625698324,0.3144963144963145,144,13,131,0.09027777777777778,0.01738050900062073,0.1949404761904762,0.31203931203931207
3,0.05,max_phi,0.5,4118,384,609,119,4,115,0.03361344537815126,0.004655493482309125,0.2994791666666667,120,2,118,0.016666666666666666,0.002793296089385475,0.19376026272577998,0.3046875
3,0.1,max_phi,0.5,4118,384,609,134,5,129,0.03731343283582089,0.006517690875232775,0.3359375,140,4,136,0.02857142857142857,0.004655493482309125,0.2233169129720854,0.3515625
3,0.15,max_phi,0.5,4118,384,609,151,6,145,0.039735099337748346,0.008379888268156424,0.3776041666666667,154,6,148,0.03896103896103896,0.008379888268156424,0.24302134646962234,0.3802083333333333
3,0.2,max_phi,0.5,4118,384,609,161,9,152,0.055900621118012424,0.01303538175046555,0.3958333333333333,171,10,161,0.05847953216374269,0.013345747982619489,0.26436781609195403,0.4140625
4,0.05,max_phi,0.5,3955,396,647,86,1,85,0.011627906976744186,0.00186219739292365,0.21464646464646464,94,2,92,0.02127659574468085,0.0037243947858473,0.14219474497681608,0.23232323232323232
4,0.1,max_phi,0.5,3955,396,647,111,3,108,0.02702702702702703,0.004345127250155183,0.2727272727272727,118,5,113,0.0423728813559322,0.006828057107386715,0.17465224111282843,0.28535353535353536
4,0.15,max_phi,0.5,3955,396,647,129,8,121,0.06201550387596899,0.010552451893234015,0.3055555555555556,130,7,123,0.05384615384615385,0.010552451893234015,0.1901081916537867,0.30808080808080807
4,0.2,max_phi,0.5,3955,396,647,140,9,131,0.06428571428571428,0.01148355058969584,0.33080808080808083,148,10,138,0.06756756756756757,0.013345747982619489,0.2132921174652241,0.34595959595959597
