bin,left,right,null_count,tp_count,p0,p1,raw_phi,phi
0,0.050002247095108,0.0505631368607282,70,6,0.014589412255106295,0.004889975550122249,0.3351728955640936,0.3351728955640936
1,0.0505631368607282,0.051154087483882886,68,7,0.0141725719049604,0.0057049714751426246,0.4025360755549164,0.4025360755549164
2,0.051154087483882886,0.05170019902288908,70,5,0.014589412255106295,0.004074979625101874,0.2793107463034113,0.2793107463034113
3,0.05170019902288908,0.0522345952689647,70,6,0.014589412255106295,0.004889975550122249,0.3351728955640936,0.3351728955640936
4,0.0522345952689647,0.05281343497335905,71,4,0.014797832430179242,0.0032599837000814994,0.22030143370409908,0.22030143370409908
5,0.05281343497335905,0.05337356626987454,71,4,0.014797832430179242,0.0032599837000814994,0.22030143370409908,0.22030143370409908
6,0.05337356626987454,0.054104113951325326,75,1,0.01563151313047103,0.0008149959250203749,0.05213800597663678,0.05213800597663678
7,0.054104113951325326,0.05460492148995392,68,7,0.0141725719049604,0.0057049714751426246,0.4025360755549164,0.4025360755549164
8,0.05460492148995392,0.05518107078969478,66,9,0.013755731554814505,0.007334963325183374,0.5332296065792399,0.5332296065792399
9,0.05518107078969478,0.055843137204647,68,7,0.0141725719049604,0.0057049714751426246,0.4025360755549164,0.4025360755549164
10,0.055843137204647,0.05657081678509706,70,6,0.014589412255106295,0.004889975550122249,0.3351728955640936,0.3351728955640936
11,0.05657081678509706,0.057224573940038645,70,5,0.014589412255106295,0.004074979625101874,0.2793107463034113,0.2793107463034113
12,0.057224573940038645,0.05785336904227728,74,1,0.015423092955398083,0.0008149959250203749,0.05284257362496971,0.05284257362496971
13,0.05785336904227728,0.05857551023364064,68,8,0.0141725719049604,0.006519967400162999,0.46004122920561863,0.46004122920561863
14,0.05857551023364064,0.0592732932418584,70,5,0.014589412255106295,0.004074979625101874,0.2793107463034113,0.2793107463034113
15,0.0592732932418584,0.06011475399136538,73,2,0.015214672780325135,0.0016299918500407497,0.10713288899308929,0.10713288899308929
16,0.06011475399136538,0.06089966036379331,72,4,0.015006252605252188,0.0032599837000814994,0.21724169156931994,0.21724169156931994
17,0.06089966036379331,0.0619002223014831,68,7,0.0141725719049604,0.0057049714751426246,0.4025360755549164,0.4025360755549164
18,0.0619002223014831,0.06273731365799896,72,3,0.015006252605252188,0.0024449877750611247,0.16293126867698995,0.16293126867698995
19,0.06273731365799896,0.0636322498321533,71,4,0.014797832430179242,0.0032599837000814994,0.22030143370409908,0.22030143370409908
