method,alpha,total_rejections,fdp,recall
betting,0.05,33.8,0.07619186765615336,0.28344791565107175
betting,0.1,42.6,0.10044111017471673,0.3500896356118283
betting,0.15,47.4,0.10794509173275316,0.3859272700861969
betting,0.2,50.4,0.13060850745192087,0.4021047293599585
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,60.4,0.18718040295106564,0.44736991221997835
pvalue_bh,0.1,80.2,0.2482463524130191,0.5423694243437371
pvalue_bh,0.15,96.0,0.3155513884316033,0.5877892682698322
pvalue_bh,0.2,110.8,0.3688363562558554,0.6258406132054454
