method,alpha,total_rejections,fdp,recall
betting,0.05,9.038805230781335,0.060830282035801105,0.07810093255929224
betting,0.1,11.148990985734986,0.051431496371081756,0.1011862940685385
betting,0.15,13.183322798141598,0.052081549441072565,0.1145572726964921
betting,0.2,13.685759021698432,0.05293581340794924,0.1273870205535162
binary,0.05,0.0,0.0,0.0
binary,0.1,0.0,0.0,0.0
binary,0.15,0.0,0.0,0.0
binary,0.2,0.0,0.0,0.0
pvalue_bh,0.05,13.520355024924458,0.06116045155142645,0.1123845570612393
pvalue_bh,0.1,12.65701386583739,0.06737839463988889,0.06840133425550929
pvalue_bh,0.15,14.422205101855958,0.08326610979546203,0.0494749841104507
pvalue_bh,0.2,17.484278652549552,0.08562314406603803,0.0668528208704973
