method,alpha,total_rejections,fdp,recall
betting,0.05,20.25,0.1239245660112365,0.02311172407464259
betting,0.1,47.05,0.15063405744466582,0.05176051509814682
betting,0.15,76.65,0.1890613404284182,0.07956263430769642
betting,0.2,97.6,0.2286469522022534,0.09718400266476472
binary,0.05,0.75,0.006666666666666666,0.0009730538922155689
binary,0.1,0.85,0.0058823529411764705,0.001122754491017964
binary,0.15,0.85,0.0058823529411764705,0.001122754491017964
binary,0.2,2.05,0.020465686274509808,0.0020724751614090257
pvalue_bh,0.05,186.05,0.36234228427411885,0.1528584619606912
pvalue_bh,0.1,282.4,0.4345932591798086,0.20542465133483256
pvalue_bh,0.15,384.9,0.5113341721415787,0.242313802567757
pvalue_bh,0.2,506.55,0.5620757066809582,0.2853988250071063
