method,alpha,total_rejections,fdp,recall
betting,0.05,12.720062892926277,0.03181833101425408,0.02496140720868905
betting,0.1,13.663820841916804,0.027045994281146544,0.028797047385440616
betting,0.15,17.00882124075622,0.021151523065407723,0.030087899900744574
betting,0.2,20.019990009987513,0.01819740353155823,0.03398864276544161
binary,0.05,0.0,0.0,0.0
binary,0.1,13.863621460498695,0.14426245016127676,0.013975424859373687
binary,0.15,0.0,0.0,0.0
binary,0.2,20.571825392998065,0.223606797749979,0.015306417703123562
