bin,left,right,null_count,tp_count,p0,p1,phi
0,0.0501458197832107,0.052514373883604935,22,2,0.028255528255528257,0.002477291494632535,0.08767457724482101
1,0.052514373883604935,0.05569640770554534,19,4,0.02457002457002457,0.004128819157720892,0.1680429397192403
2,0.05569640770554534,0.05930449068546292,22,1,0.028255528255528257,0.0016515276630883566,0.05844971816321401
3,0.05930449068546292,0.06124799028038978,21,3,0.02702702702702703,0.0033030553261767133,0.12221304706853839
4,0.06124799028038978,0.0634767226874828,19,4,0.02457002457002457,0.004128819157720892,0.1680429397192403
5,0.0634767226874828,0.06557498127222056,19,4,0.02457002457002457,0.004128819157720892,0.1680429397192403
6,0.06557498127222056,0.06858504712581627,20,4,0.025798525798525797,0.004128819157720892,0.16004089497070506
7,0.06858504712581627,0.0717497646808624,19,4,0.02457002457002457,0.004128819157720892,0.1680429397192403
8,0.0717497646808624,0.07528599426150319,18,5,0.02334152334152334,0.00495458298926507,0.21226476596114563
9,0.07528599426150319,0.0801109299063682,21,2,0.02702702702702703,0.002477291494632535,0.09165978530140378
10,0.0801109299063682,0.08437458500266069,19,5,0.02457002457002457,0.00495458298926507,0.20165152766308836
11,0.08437458500266069,0.08942350596189493,17,6,0.022113022113022112,0.005780346820809248,0.26140012845215155
12,0.08942350596189493,0.0968234308063984,23,0,0.029484029484029485,0.0008257638315441783,0.02800715661987338
13,0.0968234308063984,0.10390118062496187,21,3,0.02702702702702703,0.0033030553261767133,0.12221304706853839
14,0.10390118062496187,0.10922850668430326,16,7,0.020884520884520884,0.006606110652353427,0.31631612182445235
15,0.10922850668430326,0.11492748707532881,18,5,0.02334152334152334,0.00495458298926507,0.21226476596114563
16,0.11492748707532881,0.1209744274616241,20,4,0.025798525798525797,0.004128819157720892,0.16004089497070506
17,0.1209744274616241,0.13149380385875697,20,3,0.025798525798525797,0.0033030553261767133,0.12803271597656404
18,0.13149380385875697,0.14169933497905732,17,6,0.022113022113022112,0.005780346820809248,0.26140012845215155
19,0.14169933497905732,0.1514206081628799,23,0,0.029484029484029485,0.0008257638315441783,0.02800715661987338
20,0.1514206081628799,0.16260440498590464,17,7,0.022113022113022112,0.006606110652353427,0.2987430039453161
21,0.16260440498590464,0.17384983897209166,16,7,0.020884520884520884,0.006606110652353427,0.31631612182445235
22,0.17384983897209166,0.1915239945054054,16,7,0.020884520884520884,0.006606110652353427,0.31631612182445235
23,0.1915239945054054,0.19996996819973,16,8,0.020884520884520884,0.007431874483897605,0.35585563705250883
24,0.19996996819973,0.2203506529331207,18,5,0.02334152334152334,0.00495458298926507,0.21226476596114563
25,0.2203506529331207,0.23634797930717466,13,10,0.0171990171990172,0.009083402146985962,0.5281349534033267
26,0.23634797930717466,0.25670554041862487,20,4,0.025798525798525797,0.004128819157720892,0.16004089497070506
27,0.25670554041862487,0.27462318539619446,18,5,0.02334152334152334,0.00495458298926507,0.21226476596114563
28,0.27462318539619446,0.2927373379468918,12,11,0.01597051597051597,0.00990916597853014,0.6204662389633487
29,0.2927373379468918,0.3140136897563934,12,11,0.01597051597051597,0.00990916597853014,0.6204662389633487
30,0.3140136897563934,0.3365181565284729,14,10,0.018427518427518427,0.009083402146985962,0.49292595650977156
31,0.3365181565284729,0.36179770231246944,15,8,0.019656019656019656,0.007431874483897605,0.3780966143682907
32,0.36179770231246944,0.392022016644478,16,7,0.020884520884520884,0.006606110652353427,0.31631612182445235
33,0.392022016644478,0.42224427461624164,16,8,0.020884520884520884,0.007431874483897605,0.35585563705250883
34,0.42224427461624164,0.45268429815769196,9,14,0.012285012285012284,0.012386457473162676,1.0082576383154418
35,0.45268429815769196,0.4888221800327303,12,11,0.01597051597051597,0.00990916597853014,0.6204662389633487
36,0.4888221800327303,0.5191739857196809,7,17,0.009828009828009828,0.01486374896779521,1.5123864574731627
37,0.5191739857196809,0.5352842926979064,9,14,0.012285012285012284,0.012386457473162676,1.0082576383154418
38,0.5352842926979064,0.5613493621349335,11,12,0.014742014742014743,0.010734929810074319,0.7281860721167079
39,0.5613493621349335,0.5996754169464111,13,10,0.0171990171990172,0.009083402146985962,0.5281349534033267
40,0.5996754169464111,0.629461568593979,7,17,0.009828009828009828,0.01486374896779521,1.5123864574731627
41,0.629461568593979,0.6551726818084718,5,18,0.007371007371007371,0.01568951279933939,2.1285439031103772
42,0.6551726818084718,0.6780222594738007,7,16,0.009828009828009828,0.014037985136251032,1.4283649876135425
43,0.6780222594738007,0.7054139018058777,6,18,0.0085995085995086,0.01568951279933939,1.8244662026660374
44,0.7054139018058777,0.7260595262050629,4,19,0.006142506142506142,0.016515276630883566,2.688687035507845
45,0.7260595262050629,0.7482046723365784,3,20,0.004914004914004914,0.017341040462427744,3.528901734104046
46,0.7482046723365784,0.7653031826019288,3,21,0.004914004914004914,0.018166804293971925,3.6969446738232867
47,0.7653031826019288,0.7762272119522095,3,20,0.004914004914004914,0.017341040462427744,3.528901734104046
48,0.7762272119522095,0.7952068805694581,3,20,0.004914004914004914,0.017341040462427744,3.528901734104046
49,0.7952068805694581,0.8094766139984131,2,21,0.0036855036855036856,0.018166804293971925,4.929259565097715
50,0.8094766139984131,0.8225001215934754,1,23,0.002457002457002457,0.01981833195706028,8.066061106523534
51,0.8225001215934754,0.8318826079368593,3,20,0.004914004914004914,0.017341040462427744,3.528901734104046
52,0.8318826079368593,0.842269539833069,1,22,0.002457002457002457,0.018992568125516102,7.7299752270850535
53,0.842269539833069,0.8545989394187928,2,22,0.0036855036855036856,0.018992568125516102,5.153316818056703
54,0.8545989394187928,0.8650515377521515,3,20,0.004914004914004914,0.017341040462427744,3.528901734104046
55,0.8650515377521515,0.8747416853904725,0,23,0.0012285012285012285,0.01981833195706028,16.13212221304707
56,0.8747416853904725,0.8815994143486023,1,23,0.002457002457002457,0.01981833195706028,8.066061106523534
57,0.8815994143486023,0.8908377528190613,1,22,0.002457002457002457,0.018992568125516102,7.7299752270850535
58,0.8908377528190613,0.8983224391937256,1,22,0.002457002457002457,0.018992568125516102,7.7299752270850535
59,0.8983224391937256,0.9037355184555054,2,21,0.0036855036855036856,0.018166804293971925,4.929259565097715
60,0.9037355184555054,0.9087821960449218,0,24,0.0012285012285012285,0.02064409578860446,16.804293971924032
61,0.9087821960449218,0.9154667377471923,0,23,0.0012285012285012285,0.01981833195706028,16.13212221304707
62,0.9154667377471923,0.9229915142059326,0,23,0.0012285012285012285,0.01981833195706028,16.13212221304707
63,0.9229915142059326,0.927232313156128,0,24,0.0012285012285012285,0.02064409578860446,16.804293971924032
64,0.927232313156128,0.933179646730423,0,23,0.0012285012285012285,0.01981833195706028,16.13212221304707
