alpha,num_test_families,num_rejected_families,total_rejections,fp,tp,fdp,recall,mean_family_fdp,score_floor,total_pruned,seed,method
0.05,537,124,177,9,168,0.05084745762711865,0.23496503496503496,0.009993792675356921,0.35,5907.0,0,betting
0.1,537,148,261,28,233,0.10727969348659004,0.3258741258741259,0.01758741982205669,0.35,5907.0,0,betting
0.15,537,178,330,59,271,0.1787878787878788,0.37902097902097903,0.04532052367247898,0.35,5907.0,0,betting
0.2,537,179,349,68,281,0.19484240687679083,0.393006993006993,0.04747756898594887,0.35,5907.0,0,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,5907.0,0,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,5907.0,0,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,5907.0,0,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,5907.0,0,binary
0.05,537,203,459,126,333,0.27450980392156865,0.46573426573426574,0.07297897588157486,0.35,,0,pvalue_bh
0.1,537,203,459,126,333,0.27450980392156865,0.46573426573426574,0.07297897588157486,0.35,,0,pvalue_bh
0.15,537,203,459,126,333,0.27450980392156865,0.46573426573426574,0.07297897588157486,0.35,,0,pvalue_bh
0.2,537,203,459,126,333,0.27450980392156865,0.46573426573426574,0.07297897588157486,0.35,,0,pvalue_bh
0.05,537,118,210,9,201,0.04285714285714286,0.30454545454545456,0.010850880962612806,0.35,5173.0,1,betting
0.1,537,127,251,13,238,0.05179282868525897,0.3606060606060606,0.011997871774408088,0.35,5173.0,1,betting
0.15,537,165,360,59,301,0.1638888888888889,0.45606060606060606,0.04993978301093855,0.35,5173.0,1,betting
0.2,537,165,362,59,303,0.16298342541436464,0.4590909090909091,0.04978459989486158,0.35,5173.0,1,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,5173.0,1,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,5173.0,1,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,5173.0,1,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,5173.0,1,binary
0.05,537,188,428,91,337,0.21261682242990654,0.5106060606060606,0.07625852835350043,0.35,,1,pvalue_bh
0.1,537,188,428,91,337,0.21261682242990654,0.5106060606060606,0.07625852835350043,0.35,,1,pvalue_bh
0.15,537,188,428,91,337,0.21261682242990654,0.5106060606060606,0.07625852835350043,0.35,,1,pvalue_bh
0.2,537,188,428,91,337,0.21261682242990654,0.5106060606060606,0.07625852835350043,0.35,,1,pvalue_bh
0.05,537,120,172,14,158,0.08139534883720931,0.23511904761904762,0.018001241464928614,0.35,6204.0,2,betting
0.1,537,140,237,27,210,0.11392405063291139,0.3125,0.026350093109869643,0.35,6204.0,2,betting
0.15,537,161,285,51,234,0.17894736842105263,0.3482142857142857,0.05026381129733085,0.35,6204.0,2,betting
0.2,537,172,346,82,264,0.23699421965317918,0.39285714285714285,0.057715371996098254,0.35,6204.0,2,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,6204.0,2,binary
0.1,537,200,455,144,311,0.31648351648351647,0.46279761904761907,0.09343100493817035,0.35,6204.0,2,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,6204.0,2,binary
0.2,537,200,455,144,311,0.31648351648351647,0.46279761904761907,0.09343100493817035,0.35,6204.0,2,binary
0.05,537,200,455,144,311,0.31648351648351647,0.46279761904761907,0.09343100493817035,0.35,,2,pvalue_bh
0.1,537,200,455,144,311,0.31648351648351647,0.46279761904761907,0.09343100493817035,0.35,,2,pvalue_bh
0.15,537,200,455,144,311,0.31648351648351647,0.46279761904761907,0.09343100493817035,0.35,,2,pvalue_bh
0.2,537,200,455,144,311,0.31648351648351647,0.46279761904761907,0.09343100493817035,0.35,,2,pvalue_bh
0.05,537,112,166,6,160,0.03614457831325301,0.2627257799671593,0.008379888268156424,0.35,4801.0,3,betting
0.1,537,154,237,26,211,0.10970464135021098,0.3464696223316913,0.031967721911855984,0.35,4801.0,3,betting
0.15,537,158,264,36,228,0.13636363636363635,0.37438423645320196,0.03629592009480277,0.35,4801.0,3,betting
0.2,537,179,314,57,257,0.18152866242038215,0.4220032840722496,0.054857231533209184,0.35,4801.0,3,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,4801.0,3,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,4801.0,3,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,4801.0,3,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,4801.0,3,binary
0.05,537,199,391,94,297,0.24040920716112532,0.4876847290640394,0.07598853143545882,0.35,,3,pvalue_bh
0.1,537,199,391,94,297,0.24040920716112532,0.4876847290640394,0.07598853143545882,0.35,,3,pvalue_bh
0.15,537,199,391,94,297,0.24040920716112532,0.4876847290640394,0.07598853143545882,0.35,,3,pvalue_bh
0.2,537,199,391,94,297,0.24040920716112532,0.4876847290640394,0.07598853143545882,0.35,,3,pvalue_bh
0.05,537,118,160,5,155,0.03125,0.23956723338485317,0.006828057107386715,0.35,5495.0,4,betting
0.1,537,148,214,17,197,0.0794392523364486,0.3044822256568779,0.01846679081315953,0.35,5495.0,4,betting
0.15,537,169,279,43,236,0.15412186379928317,0.36476043276661513,0.04845260264254678,0.35,5495.0,4,betting
0.2,537,180,390,121,269,0.31025641025641026,0.41576506955177744,0.057591131594790415,0.35,5495.0,4,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,5495.0,4,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,5495.0,4,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,5495.0,4,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,5495.0,4,binary
0.05,537,202,476,171,305,0.3592436974789916,0.4714064914992272,0.08555515062931747,0.35,,4,pvalue_bh
0.1,537,202,476,171,305,0.3592436974789916,0.4714064914992272,0.08555515062931747,0.35,,4,pvalue_bh
0.15,537,202,476,171,305,0.3592436974789916,0.4714064914992272,0.08555515062931747,0.35,,4,pvalue_bh
0.2,537,202,476,171,305,0.3592436974789916,0.4714064914992272,0.08555515062931747,0.35,,4,pvalue_bh
0.05,537,128,194,10,184,0.05154639175257732,0.2562674094707521,0.014328574384440306,0.35,5343.0,5,betting
0.1,537,150,262,27,235,0.10305343511450382,0.32729805013927576,0.02759532005342061,0.35,5343.0,5,betting
0.15,537,182,315,47,268,0.1492063492063492,0.3732590529247911,0.05585638239269524,0.35,5343.0,5,betting
0.2,537,184,408,119,289,0.2916666666666667,0.4025069637883008,0.05871534307288497,0.35,5343.0,5,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,5343.0,5,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,5343.0,5,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,5343.0,5,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,5343.0,5,binary
0.05,537,204,500,166,334,0.332,0.46518105849582175,0.07694699900440606,0.35,,5,pvalue_bh
0.1,537,204,500,166,334,0.332,0.46518105849582175,0.07694699900440606,0.35,,5,pvalue_bh
0.15,537,204,500,166,334,0.332,0.46518105849582175,0.07694699900440606,0.35,,5,pvalue_bh
0.2,537,204,500,166,334,0.332,0.46518105849582175,0.07694699900440606,0.35,,5,pvalue_bh
0.05,537,145,243,11,232,0.04526748971193416,0.32954545454545453,0.014587212911235258,0.35,5450.0,6,betting
0.1,537,169,330,46,284,0.1393939393939394,0.4034090909090909,0.028421418225887497,0.35,5450.0,6,betting
0.15,537,191,393,79,314,0.2010178117048346,0.4460227272727273,0.051354785014002896,0.35,5450.0,6,betting
0.2,537,212,587,217,370,0.3696763202725724,0.5255681818181818,0.07793600221528837,0.35,5450.0,6,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,5450.0,6,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,5450.0,6,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,5450.0,6,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,5450.0,6,binary
0.05,537,212,588,218,370,0.3707482993197279,0.5255681818181818,0.0779948084487491,0.35,,6,pvalue_bh
0.1,537,212,588,218,370,0.3707482993197279,0.5255681818181818,0.0779948084487491,0.35,,6,pvalue_bh
0.15,537,212,588,218,370,0.3707482993197279,0.5255681818181818,0.0779948084487491,0.35,,6,pvalue_bh
0.2,537,212,588,218,370,0.3707482993197279,0.5255681818181818,0.0779948084487491,0.35,,6,pvalue_bh
0.05,537,111,182,10,172,0.054945054945054944,0.27086614173228346,0.006362507759155804,0.35,5251.0,7,betting
0.1,537,134,225,17,208,0.07555555555555556,0.32755905511811023,0.014276846679081317,0.35,5251.0,7,betting
0.15,537,158,293,42,251,0.14334470989761092,0.3952755905511811,0.02866010463775827,0.35,5251.0,7,betting
0.2,537,167,316,52,264,0.16455696202531644,0.415748031496063,0.03403012257760861,0.35,5251.0,7,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,5251.0,7,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,5251.0,7,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,5251.0,7,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,5251.0,7,binary
0.05,537,192,440,124,316,0.2818181818181818,0.49763779527559054,0.06741114255080735,0.35,,7,pvalue_bh
0.1,537,192,440,124,316,0.2818181818181818,0.49763779527559054,0.06741114255080735,0.35,,7,pvalue_bh
0.15,537,192,440,124,316,0.2818181818181818,0.49763779527559054,0.06741114255080735,0.35,,7,pvalue_bh
0.2,537,192,440,124,316,0.2818181818181818,0.49763779527559054,0.06741114255080735,0.35,,7,pvalue_bh
0.05,537,130,171,4,167,0.023391812865497075,0.2372159090909091,0.0062073246430788325,0.35,6425.0,8,betting
0.1,537,151,216,15,201,0.06944444444444445,0.28551136363636365,0.014897579143389197,0.35,6425.0,8,betting
0.15,537,173,265,29,236,0.10943396226415095,0.3352272727272727,0.031890130353817506,0.35,6425.0,8,betting
0.2,537,178,350,95,255,0.2714285714285714,0.3622159090909091,0.036513755874789396,0.35,6425.0,8,betting
0.05,537,0,0,0,0,0.0,0.0,0.0,0.35,6425.0,8,binary
0.1,537,0,0,0,0,0.0,0.0,0.0,0.35,6425.0,8,binary
0.15,537,0,0,0,0,0.0,0.0,0.0,0.35,6425.0,8,binary
0.2,537,0,0,0,0,0.0,0.0,0.0,0.35,6425.0,8,binary
0.05,537,210,531,210,321,0.3954802259887006,0.4559659090909091,0.07846669773815947,0.35,,8,pvalue_bh
0.1,537,210,531,210,321,0.3954802259887006,0.4559659090909091,0.07846669773815947,0.35,,8,pvalue_bh
0.15,537,210,531,210,321,0.3954802259887006,0.4559659090909091,0.07846669773815947,0.35,,8,pvalue_bh
0.2,537,210,531,210,321,0.3954802259887006,0.4559659090909091,0.07846669773815947,0.35,,8,pvalue_bh
0.05,537,109,179,13,166,0.07262569832402235,0.23055555555555557,0.014483757500517277,0.35,6315.0,9,betting
0.1,537,136,263,37,226,0.14068441064638784,0.3138888888888889,0.03128209468991592,0.35,6315.0,9,betting
0.15,537,156,313,57,256,0.18210862619808307,0.35555555555555557,0.046528456025662725,0.35,6315.0,9,betting
0.2,537,166,360,83,277,0.23055555555555557,0.38472222222222224,0.0563869608562346,0.35,6315.0,9,betting
