seed,template,alpha,cal_null_count,tmpl_phi_max,tmpl_C_m,global_phi_max,global_C_m,global_m,fit_phi_max,mean_K,median_K,T1_global,T1_tmpl,phi_max_below_T1_global,phi_max_below_T1_tmpl
0,a photo of a {cat},0.05,409,5.568395061728395,397.83476373893177,13.023583131882889,7832.0330560442035,8186,13.023583131882889,21.166666666666668,15.0,427.06118162277875,inf,True,True
0,a photo of a {cat},0.1,409,5.568395061728395,397.83476373893177,13.023583131882889,7832.0330560442035,8186,13.023583131882889,21.166666666666668,15.0,207.8634535897379,424.57995793986845,True,True
0,a photo of a {cat},0.15,409,5.568395061728395,397.83476373893177,13.023583131882889,7832.0330560442035,8186,13.023583131882889,21.166666666666668,15.0,137.3604460687465,208.7810536977039,True,True
0,a photo of a {cat},0.2,409,5.568395061728395,397.83476373893177,13.023583131882889,7832.0330560442035,8186,13.023583131882889,21.166666666666668,15.0,102.5706063602217,138.4246986160119,True,True
0,a small {cat} near the center,0.05,2509,13.023583131882889,2199.441015324925,13.023583131882889,7832.0330560442035,8186,13.023583131882889,62.91836734693877,59.0,1422.4415048929923,2211.27560745043,True,True
0,a small {cat} near the center,0.1,2509,13.023583131882889,2199.441015324925,13.023583131882889,7832.0330560442035,8186,13.023583131882889,62.91836734693877,59.0,652.0120516341854,735.7722059729539,True,True
0,a small {cat} near the center,0.15,2509,13.023583131882889,2199.441015324925,13.023583131882889,7832.0330560442035,8186,13.023583131882889,62.91836734693877,59.0,422.93824927873226,441.30530410639057,True,True
0,a small {cat} near the center,0.2,2509,13.023583131882889,2199.441015324925,13.023583131882889,7832.0330560442035,8186,13.023583131882889,62.91836734693877,59.0,312.9783940783138,315.1697257841852,True,True
0,a visible {cat} in the scene,0.05,347,13.023583131882889,354.8385073550648,13.023583131882889,7832.0330560442035,8186,13.023583131882889,18.74074074074074,9.0,375.76708052077873,inf,True,True
0,a visible {cat} in the scene,0.1,347,13.023583131882889,354.8385073550648,13.023583131882889,7832.0330560442035,8186,13.023583131882889,18.74074074074074,9.0,183.4819702095184,414.0873725130598,True,True
0,a visible {cat} in the scene,0.15,347,13.023583131882889,354.8385073550648,13.023583131882889,7832.0330560442035,8186,13.023583131882889,18.74074074074074,9.0,121.37350297486526,198.74727111098386,True,True
0,a visible {cat} in the scene,0.2,347,13.023583131882889,354.8385073550648,13.023583131882889,7832.0330560442035,8186,13.023583131882889,18.74074074074074,9.0,90.67881342945846,130.75173661641622,True,True
0,a {cat} in the scene,0.05,2515,13.023583131882889,2257.7102872688456,13.023583131882889,7832.0330560442035,8186,13.023583131882889,55.395348837209305,44.0,1225.74516768981,1776.397537251235,True,True
