seed,alpha,global_m,global_C_m,global_phi_max,fit_phi_max,mean_K,T1,phi_max_below_T1
0,0.05,8186,7832.0330560442035,13.023583131882889,13.023583131882889,31.959866220735787,663.2678130742022,True
0,0.1,8186,7832.0330560442035,13.023583131882889,13.023583131882889,31.959866220735787,318.1618910238319,True
0,0.15,8186,7832.0330560442035,13.023583131882889,13.023583131882889,31.959866220735787,209.27413548396305,True
0,0.2,8186,7832.0330560442035,13.023583131882889,13.023583131882889,31.959866220735787,155.91408451856296,True
1,0.05,8121,8031.061941603731,13.30422140120416,13.30422140120416,31.066889632107024,665.274899924618,True
1,0.1,8121,8031.061941603731,13.30422140120416,13.30422140120416,31.066889632107024,319.40793656910836,True
1,0.15,8121,8031.061941603731,13.30422140120416,13.30422140120416,31.066889632107024,210.1525915926524,True
1,0.2,8121,8031.061941603731,13.30422140120416,13.30422140120416,31.066889632107024,156.59005222756582,True
2,0.05,7887,7961.372228995178,11.568975367140506,11.568975367140506,27.809364548494983,603.9453308721502,True
2,0.1,7887,7961.372228995178,11.568975367140506,11.568975367140506,27.809364548494983,290.93748636082915,True
2,0.15,7887,7961.372228995178,11.568975367140506,11.568975367140506,27.809364548494983,191.62411034764165,True
2,0.2,7887,7961.372228995178,11.568975367140506,11.568975367140506,27.809364548494983,142.8584594317733,True
3,0.05,8992,8547.837879455636,12.633155183205739,12.633155183205739,26.86622073578595,543.180960449411,True
3,0.1,8992,8547.837879455636,12.633155183205739,12.633155183205739,26.86622073578595,263.2269689016928,True
3,0.15,8992,8547.837879455636,12.633155183205739,12.633155183205739,26.86622073578595,173.7016238191613,True
3,0.2,8992,8547.837879455636,12.633155183205739,12.633155183205739,26.86622073578595,129.61772359419513,True
4,0.05,8190,7931.491488964775,13.410026079397277,13.410026079397277,29.903010033444815,624.7263269375312,True
4,0.1,8190,7931.491488964775,13.410026079397277,13.410026079397277,29.903010033444815,300.52759018346853,True
4,0.15,8190,7931.491488964775,13.410026079397277,13.410026079397277,29.903010033444815,197.85281761692934,True
4,0.2,8190,7931.491488964775,13.410026079397277,13.410026079397277,29.903010033444815,147.4699455724455,True
5,0.05,8093,8246.708625339968,14.206956102144733,14.206956102144733,26.153846153846153,569.7671115432705,True
5,0.1,8093,8246.708625339968,14.206956102144733,14.206956102144733,26.153846153846153,275.37083661837215,True
5,0.15,8093,8246.708625339968,14.206956102144733,14.206956102144733,26.153846153846153,181.55970114001474,True
5,0.2,8093,8246.708625339968,14.206956102144733,14.206956102144733,26.153846153846153,135.42439928786098,True
6,0.05,8072,7842.788826310092,12.47763936937928,12.47763936937928,29.535117056856187,619.161911482884,True
6,0.1,8072,7842.788826310092,12.47763936937928,12.47763936937928,29.535117056856187,297.8248197073787,True
6,0.15,8072,7842.788826310092,12.47763936937928,12.47763936937928,29.535117056856187,196.06802773655258,True
6,0.2,8072,7842.788826310092,12.47763936937928,12.47763936937928,29.535117056856187,146.1376682619882,True
7,0.05,7804,7808.739832615386,13.830281476997579,13.830281476997579,29.02006688963211,627.3293863412923,True
7,0.1,7804,7808.739832615386,13.830281476997579,13.830281476997579,29.02006688963211,301.55183429622133,True
7,0.15,7804,7808.739832615386,13.830281476997579,13.830281476997579,29.02006688963211,198.47964539993131,True
7,0.2,7804,7808.739832615386,13.830281476997579,13.830281476997579,29.02006688963211,147.91979148587683,True
