seed,template,n_null,mean_phi,loo_mean_within_template,loo_mean_from_global
0,a photo of a {cat},409,0.972701133836019,1.0,1.0166621392687736
0,a small {cat} near the center,2509,0.8766205720705161,1.0,0.9162392384735033
0,a visible {cat} in the scene,347,1.0225893583719445,1.0,1.0688050507106408
0,a {cat} in the scene,2515,0.8976979273434774,1.0000000000000002,0.9382691800007937
0,a {cat} object,464,0.768487156399268,1.0,0.8032187577948985
0,other,1669,1.1945663191852278,1.0,1.2485544709625245
0,the {cat},273,0.9959679672784987,1.0000000000000002,1.0409805119310487
1,a photo of a {cat},352,1.03775793810943,1.0,1.0493795561118233
1,a small {cat} near the center,2412,0.8594697129032296,1.0,0.8690947211264234
1,a visible {cat} in the scene,427,1.0468883877801678,1.0,1.0586122556371436
1,a {cat} in the scene,2682,0.9368949053624659,1.0,0.947386980921384
1,a {cat} object,394,0.8535823551060903,1.0,0.8631414321319892
1,other,1639,1.253929399808869,1.0000000000000002,1.267971873444963
1,the {cat},215,1.123046455366604,1.0,1.1356232003125304
2,a photo of a {cat},408,0.9908202366920467,1.0,0.9815643562462183
2,a small {cat} near the center,3057,0.8964422343305701,1.0,0.8880679986818748
2,a visible {cat} in the scene,290,1.1998020335785469,0.9999999999999998,1.1885939215818226
2,a {cat} in the scene,1806,0.9152058691628255,1.0,0.9066563504967827
2,a {cat} object,468,0.8339689437638992,0.9999999999999998,0.8261783107578721
2,other,1656,1.3237267157297217,1.0,1.3113609446543861
2,the {cat},202,1.155942404457945,1.0,1.145144013083091
3,a photo of a {cat},512,1.055915781610508,1.0,1.110783199464045
3,a small {cat} near the center,2852,0.8409955881473135,1.0000000000000002,0.8846953387822372
3,a visible {cat} in the scene,294,1.0558130944941098,1.0,1.110675176527289
3,a {cat} in the scene,2802,0.8723416876466531,1.0,0.9176702419885214
3,a {cat} object,964,0.8484048529125952,1.0,0.892489603216
3,other,1232,1.3829162163165176,1.0,1.4547752066058202
3,the {cat},336,0.9891787696370102,1.0,1.0405784038036119
4,a photo of a {cat},343,1.075882284559127,1.0,1.1109481643898647
4,a small {cat} near the center,2379,0.8434721406317759,1.0000000000000002,0.8709631525653805
4,a visible {cat} in the scene,355,1.0976462299288652,1.0,1.1334214549211794
4,a {cat} in the scene,2666,0.8952343336343509,1.0,0.9244124138147829
4,a {cat} object,771,0.7987977231069048,1.0000000000000002,0.8248326763443882
4,other,1479,1.2960148697243639,1.0,1.3382554589903413
4,the {cat},197,1.2528195983061698,1.0,1.2936523382018723
5,a photo of a {cat},428,1.0421554395159836,1.0,1.0227309288079958
5,a small {cat} near the center,2696,0.889426881766883,1.0,0.8728490457418875
5,a visible {cat} in the scene,546,1.1292277162724649,1.0,1.1081802841574644
5,a {cat} in the scene,2137,0.946610758712322,1.0,0.9289670847250289
5,a {cat} object,668,0.7585648443446343,1.0,0.7444261176413328
5,other,1349,1.4317721754150292,1.0,1.4050856823083337
5,the {cat},269,1.2086383601246165,1.0000000000000002,1.1861108101276323
6,a photo of a {cat},371,0.9530073076996761,1.0,0.9808596352798993
6,a small {cat} near the center,2630,0.8821502717565444,1.0,0.9079317512325537
6,a visible {cat} in the scene,200,1.3448881116447335,1.0000000000000002,1.3841934390453092
6,a {cat} in the scene,2178,0.8526698442490774,1.0,0.8775897369171902
6,a {cat} object,811,0.8741001518583611,1.0,0.8996463607602072
6,other,1662,1.2613735976958111,1.0000000000000002,1.298238153046251
6,the {cat},220,1.0808055218308816,1.0000000000000002,1.1123928446156448
7,a photo of a {cat},319,0.9523673683960441,1.0000000000000002,0.9517892902411415
7,a small {cat} near the center,3209,0.8577264275366016,1.0000000000000002,0.8572057955545581
7,a visible {cat} in the scene,289,1.0858678945547835,1.0,1.0852087828193517
7,a {cat} in the scene,1856,0.9778825439858495,1.0,0.9772889783561378
7,a {cat} object,187,0.888698832277072,1.0000000000000002,0.8881594003327669
7,other,1603,1.315438519448019,0.9999999999999997,1.3146400604736308
7,the {cat},341,1.02313807817313,1.0,1.0225170428541261
8,a photo of a {cat},422,1.0036922219954396,1.0000000000000002,0.9775058781378695
8,a small {cat} near the center,2223,0.8678796698029762,1.0,0.8452366772974922
8,a visible {cat} in the scene,286,1.236726749684089,1.0,1.2044605317983936
8,a {cat} in the scene,2200,0.9089595302279192,1.0,0.8852447635997168
8,a {cat} object,337,0.8583816950871948,1.0,0.8359865048725003
8,other,1621,1.4098446078841935,1.0,1.3730617427002842
8,the {cat},244,1.0186110547726832,1.0000000000000002,0.9920354783630447
9,a photo of a {cat},381,1.0210038713926943,1.0000000000000002,1.0389083049385208
9,a small {cat} near the center,2716,0.8682020604446652,1.0,0.8834269450226028
