prompt,sum_phi,n_null,min_null
person,1753.768805047388,1083,200
chair,991.1475112555374,593,200
broccoli,323.87330655503797,354,200
car,152.57915787427126,242,200
truck,128.39103001025086,226,200
boat,111.33366010030656,192,200
bench,99.17581635820306,164,200
cup,89.95796202284491,135,200
bottle,69.70527895060837,135,200
suitcase,69.88906338260362,108,200
handbag,102.04498547972162,104,200
remote,45.962181190171684,89,200
banana,98.95443145690756,83,200
backpack,93.4075113895314,73,200
bicycle,45.62023573878212,72,200
book,56.03244898537555,70,200
traffic light,31.972112738162743,67,200
umbrella,28.58181538001975,66,200
dining table,40.52719812410158,63,200
scissors,29.55434222095073,60,200
donut,25.935248068153662,55,200
train,27.090073032611695,54,200
sink,33.83412946775169,53,200
giraffe,22.478611459868304,52,200
potted plant,181.37190843013144,50,200
horse,135.48231129867048,47,200
fork,27.765793075002076,47,200
toothbrush,357.2609833311259,45,200
cake,28.52044379086867,45,200
apple,32.009053536859106,42,200
bird,15.377107096352658,42,200
wine glass,16.352720820252923,41,200
baseball bat,17.421768606732527,40,200
refrigerator,32.63799137574017,39,200
zebra,44.011779058715746,37,200
spoon,40.51290317579652,37,200
dog,24.068837724540924,35,200
clock,25.082719620949167,34,200
sandwich,26.171110477062737,33,200
airplane,28.2489945732074,32,200
sports ball,13.124082528603347,32,200
cow,80.2834907064815,31,200
baseball glove,28.555237336208712,31,200
bowl,313.3206508290529,30,200
bear,15.036505679515393,30,200
tie,14.155103102944475,30,200
skis,27.80092498507557,29,200
laptop,24.49148433439691,26,200
motorcycle,19.857786787042304,26,200
vase,19.38437787755182,26,200
teddy bear,14.8479549359907,26,200
skateboard,14.701624939824184,26,200
cat,29.664206589609016,25,200
snowboard,26.920401278908614,25,200
kite,18.42941103637824,25,200
toilet,45.08614893785858,24,200
surfboard,15.304545787983416,24,200
couch,11.855723784026349,24,200
frisbee,9.459397264818206,23,200
bus,10.797451550736875,20,200
knife,8.665071974496653,20,200
carrot,10.891602637957407,19,200
elephant,8.152388565775967,19,200
fire hydrant,15.507448979194974,18,200
cell phone,9.294351527804183,17,200
orange,7.372017501363779,17,200
oven,36.62279368471909,16,200
hot dog,24.243060046374016,15,200
mouse,13.374012700441204,15,200
microwave,21.95611972193544,14,200
stop sign,8.087796165463942,14,200
bed,6.9263426579554235,13,200
hair drier,5.942417396514301,13,200
tv,4.783078196362613,12,200
sheep,17.81104766578841,11,200
tennis racket,2.880052904677973,6,200
pizza,2.8300409288779176,6,200
toaster,1.9417235927809169,6,200
parking meter,1.6184945487372113,6,200
keyboard,1.6829177406516704,3,200
